consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff
yes,176,2026-05-18_13h53.50.063,explain2,2025.1.1,MacIntel,59.17159763,6a024abe5630bf4b97e63b23,6a05d39198ca5b2f348a4575,6a0b5204699fde86419a824b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176,2026-05-18_13h53.50.063,explain2,2025.1.1,MacIntel,59.17159763,6a024abe5630bf4b97e63b23,6a05d39198ca5b2f348a4575,6a0b5204699fde86419a824b,46.0678,46.0682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176,2026-05-18_13h53.50.063,explain2,2025.1.1,MacIntel,59.17159763,6a024abe5630bf4b97e63b23,6a05d39198ca5b2f348a4575,6a0b5204699fde86419a824b,,,46.069,62.9799,1,[11.914899999976157],[11.914899999976157],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176,2026-05-18_13h53.50.063,explain2,2025.1.1,MacIntel,59.17159763,6a024abe5630bf4b97e63b23,6a05d39198ca5b2f348a4575,6a0b5204699fde86419a824b,,,,,,,,62.9801,81.5972,1,[13.621099999994044],[13.621099999994044],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176,2026-05-18_13h53.50.063,explain2,2025.1.1,MacIntel,59.17159763,6a024abe5630bf4b97e63b23,6a05d39198ca5b2f348a4575,6a0b5204699fde86419a824b,,,,,,,,,,,,,81.5975,98.7081,1,[12.115400000005963],[12.115400000005963],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176,2026-05-18_13h53.50.063,explain2,2025.1.1,MacIntel,59.17159763,6a024abe5630bf4b97e63b23,6a05d39198ca5b2f348a4575,6a0b5204699fde86419a824b,,,,,,,,,,,,,,,,,,98.7083,110.3237,1,[6.617699999988076],[6.617699999988076],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176,2026-05-18_13h53.50.063,explain2,2025.1.1,MacIntel,59.17159763,6a024abe5630bf4b97e63b23,6a05d39198ca5b2f348a4575,6a0b5204699fde86419a824b,,,,,,,,,,,,,,,,,,,,,,,110.3339,134.1719,1,[20.839199999988097],[20.839199999988097],Looks like a healthy young reptile. ,134.1722,135.1729,0,0,0,0,1,F,E,E_F.png,training,1,1,8,high,stripes,feet,E,W,F,C,176,8_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176,2026-05-18_13h53.50.063,explain2,2025.1.1,MacIntel,59.17159763,6a024abe5630bf4b97e63b23,6a05d39198ca5b2f348a4575,6a0b5204699fde86419a824b,,,,,,,,,,,,,,,,,,,,,,,135.176,183.4531,1,[45.28819999998808],[45.2883000000119],"Looks like a healthy young reptile, but may have fertility issues due to genetics or illness.",183.4531,184.4538,0,1,1,1,1,F,W,W_F.png,training,1,2,3,low,stripes,feet,E,W,F,C,176,3_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176,2026-05-18_13h53.50.063,explain2,2025.1.1,MacIntel,59.17159763,6a024abe5630bf4b97e63b23,6a05d39198ca5b2f348a4575,6a0b5204699fde86419a824b,,,,,,,,,,,,,,,,,,,,,,,184.4571,218.5124,1,[31.06570000001787],[31.06570000001787],"Looks like a healthy young reptile, but may have fertility issues due to genetics, illness or simple probabilities.",218.5125,219.5149,0,2,2,2,1,C,E,E_C.png,training,1,3,4,high,stripes,feet,E,W,F,C,176,4_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,176,2026-05-18_13h53.50.063,explain2,2025.1.1,MacIntel,59.17159763,6a024abe5630bf4b97e63b23,6a05d39198ca5b2f348a4575,6a0b5204699fde86419a824b,,,,,,,,,,,,,,,,,,,,,,,219.518,263.5996,1,[41.092199999988054],[41.092199999988054],"Looks like a healthy young reptile, but may have fertility issues due to genetics, illnesses, or simple probability. ",263.5999,264.6023,0,3,3,3,1,C,W,W_C.png,training,1,4,1,low,stripes,feet,E,W,F,C,176,1_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
