consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff
yes,207,2026-05-18_13h58.02.669,explain2,2025.1.1,iPhone,55.55555556,69d134aa584fc72a3bd04b1f,6a05d39198ca5b2f348a4575,6a0b53032193151a5d30e0ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-05-18_13h58.02.669,explain2,2025.1.1,iPhone,55.55555556,69d134aa584fc72a3bd04b1f,6a05d39198ca5b2f348a4575,6a0b53032193151a5d30e0ee,32.118,32.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-05-18_13h58.02.669,explain2,2025.1.1,iPhone,55.55555556,69d134aa584fc72a3bd04b1f,6a05d39198ca5b2f348a4575,6a0b53032193151a5d30e0ee,,,32.119,45.925,1,[8.819000000000003],[8.819000000000003],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-05-18_13h58.02.669,explain2,2025.1.1,iPhone,55.55555556,69d134aa584fc72a3bd04b1f,6a05d39198ca5b2f348a4575,6a0b53032193151a5d30e0ee,,,,,,,,45.925,61.443,1,[10.518],[10.518],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-05-18_13h58.02.669,explain2,2025.1.1,iPhone,55.55555556,69d134aa584fc72a3bd04b1f,6a05d39198ca5b2f348a4575,6a0b53032193151a5d30e0ee,,,,,,,,,,,,,61.444,75.48,1,[9.052999999999997],[9.052999999999997],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-05-18_13h58.02.669,explain2,2025.1.1,iPhone,55.55555556,69d134aa584fc72a3bd04b1f,6a05d39198ca5b2f348a4575,6a0b53032193151a5d30e0ee,,,,,,,,,,,,,,,,,,75.48,86.816,1,[6.3359999999999985],[6.3359999999999985],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-05-18_13h58.02.669,explain2,2025.1.1,iPhone,55.55555556,69d134aa584fc72a3bd04b1f,6a05d39198ca5b2f348a4575,6a0b53032193151a5d30e0ee,,,,,,,,,,,,,,,,,,,,,,,86.829,115.639,1,[25.824000000000012],[25.824000000000012],Her stripes and greenness make her fertile,115.64,116.64,0,0,0,0,1,F,W,W_F.png,training,1,1,6,high,feet,stripes,F,C,W,E,207,6_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-05-18_13h58.02.669,explain2,2025.1.1,iPhone,55.55555556,69d134aa584fc72a3bd04b1f,6a05d39198ca5b2f348a4575,6a0b53032193151a5d30e0ee,,,,,,,,,,,,,,,,,,,,,,,116.644,130.093,1,[10.451999999999998],[10.451999999999998],Her stripes and greenness,130.094,131.092,0,1,1,1,1,F,E,E_F.png,training,1,2,5,high,feet,stripes,F,C,W,E,207,5_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-05-18_13h58.02.669,explain2,2025.1.1,iPhone,55.55555556,69d134aa584fc72a3bd04b1f,6a05d39198ca5b2f348a4575,6a0b53032193151a5d30e0ee,,,,,,,,,,,,,,,,,,,,,,,131.095,158.794,1,[24.71799999999999],[24.71799999999999],Her eyeballs?,158.795,159.792,0,2,2,2,1,C,E,E_C.png,training,1,3,3,low,feet,stripes,F,C,W,E,207,3_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-05-18_13h58.02.669,explain2,2025.1.1,iPhone,55.55555556,69d134aa584fc72a3bd04b1f,6a05d39198ca5b2f348a4575,6a0b53032193151a5d30e0ee,,,,,,,,,,,,,,,,,,,,,,,159.794,177.063,1,[14.336000000000013],[14.336000000000013],They all look the same to me. So her greenness,177.064,178.062,0,3,3,3,1,C,W,W_C.png,training,1,4,3,low,feet,stripes,F,C,W,E,207,3_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-05-18_13h58.02.669,explain2,2025.1.1,iPhone,55.55555556,69d134aa584fc72a3bd04b1f,6a05d39198ca5b2f348a4575,6a0b53032193151a5d30e0ee,,,,,,,,,,,,,,,,,,,,,,,178.066,197.967,1,[16.903999999999996],[16.903999999999996],The webbed feet improve fertileness,197.967,198.966,0,4,4,4,1,F,W,W_F.png,training,2,5,6,high,feet,stripes,F,C,W,E,207,6_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-05-18_13h58.02.669,explain2,2025.1.1,iPhone,55.55555556,69d134aa584fc72a3bd04b1f,6a05d39198ca5b2f348a4575,6a0b53032193151a5d30e0ee,,,,,,,,,,,,,,,,,,,,,,,198.971,209.018,1,[7.051000000000016],[7.051000000000016],The webbed feet,209.019,210.018,0,5,5,5,1,F,E,E_F.png,training,2,6,5,high,feet,stripes,F,C,W,E,207,5_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-05-18_13h58.02.669,explain2,2025.1.1,iPhone,55.55555556,69d134aa584fc72a3bd04b1f,6a05d39198ca5b2f348a4575,6a0b53032193151a5d30e0ee,,,,,,,,,,,,,,,,,,,,,,,210.022,227.267,1,[14.26400000000001],[14.26400000000001],Less fertile because it is only on land,227.267,228.271,0,6,6,6,1,C,E,E_C.png,training,2,7,4,low,feet,stripes,F,C,W,E,207,4_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-05-18_13h58.02.669,explain2,2025.1.1,iPhone,55.55555556,69d134aa584fc72a3bd04b1f,6a05d39198ca5b2f348a4575,6a0b53032193151a5d30e0ee,,,,,,,,,,,,,,,,,,,,,,,228.275,249.548,1,[18.276999999999987],[18.276999999999987],This reptile is only on land and cannot run from predators into the water. ,249.548,250.541,0,7,7,7,1,C,W,W_C.png,training,2,8,3,low,feet,stripes,F,C,W,E,207,3_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-05-18_13h58.02.669,explain2,2025.1.1,iPhone,55.55555556,69d134aa584fc72a3bd04b1f,6a05d39198ca5b2f348a4575,6a0b53032193151a5d30e0ee,,,,,,,,,,,,,,,,,,,,,,,250.547,263.227,1,[9.701999999999998],[9.701999999999998],The webbed feet improve fertility,263.228,264.227,0,8,8,8,1,F,E,E_F.png,training,3,9,6,high,feet,stripes,F,C,W,E,207,6_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-05-18_13h58.02.669,explain2,2025.1.1,iPhone,55.55555556,69d134aa584fc72a3bd04b1f,6a05d39198ca5b2f348a4575,6a0b53032193151a5d30e0ee,,,,,,,,,,,,,,,,,,,,,,,264.232,290.867,1,[23.65500000000003],[23.65500000000003],The webbed feet improve fertility immensely because it can escape from predators on land or water ,290.868,291.865,0,9,9,9,1,F,W,W_F.png,training,3,10,10,high,feet,stripes,F,C,W,E,207,10_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-05-18_13h58.02.669,explain2,2025.1.1,iPhone,55.55555556,69d134aa584fc72a3bd04b1f,6a05d39198ca5b2f348a4575,6a0b53032193151a5d30e0ee,,,,,,,,,,,,,,,,,,,,,,,291.868,309.084,1,[14.235000000000014],[14.235000000000014],It is only on land and cannot run from predators,309.085,310.085,0,10,10,10,1,C,W,W_C.png,training,3,11,4,low,feet,stripes,F,C,W,E,207,4_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-05-18_13h58.02.669,explain2,2025.1.1,iPhone,55.55555556,69d134aa584fc72a3bd04b1f,6a05d39198ca5b2f348a4575,6a0b53032193151a5d30e0ee,,,,,,,,,,,,,,,,,,,,,,,310.09,343.686,1,[30.601],[30.601],There is less area to run from predators if this reptile is only on land ,343.687,344.686,0,11,11,11,1,C,E,E_C.png,training,3,12,3,low,feet,stripes,F,C,W,E,207,3_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-05-18_13h58.02.669,explain2,2025.1.1,iPhone,55.55555556,69d134aa584fc72a3bd04b1f,6a05d39198ca5b2f348a4575,6a0b53032193151a5d30e0ee,,,,,,,,,,,,,,,,,,,,,,,344.69,376.575,1,[28.903999999999996],[28.903999999999996],Perhaps this one is only in the water and cannot escape water predators. ,376.576,377.576,0,12,12,12,1,F,E,E_F.png,training,4,13,2,high,feet,stripes,F,C,W,E,207,2_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-05-18_13h58.02.669,explain2,2025.1.1,iPhone,55.55555556,69d134aa584fc72a3bd04b1f,6a05d39198ca5b2f348a4575,6a0b53032193151a5d30e0ee,,,,,,,,,,,,,,,,,,,,,,,377.581,398.063,1,[17.486999999999966],[17.486999999999966],Perhaps this one can run quite fast on land,398.064,399.062,0,13,13,13,1,C,E,E_C.png,training,4,14,6,low,feet,stripes,F,C,W,E,207,6_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-05-18_13h58.02.669,explain2,2025.1.1,iPhone,55.55555556,69d134aa584fc72a3bd04b1f,6a05d39198ca5b2f348a4575,6a0b53032193151a5d30e0ee,,,,,,,,,,,,,,,,,,,,,,,399.067,418.582,1,[16.519000000000005],[16.519000000000005],Perhaps this one is also only in water with the webbed feet ,418.583,419.582,0,14,14,14,1,F,W,W_F.png,training,4,15,5,high,feet,stripes,F,C,W,E,207,5_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-05-18_13h58.02.669,explain2,2025.1.1,iPhone,55.55555556,69d134aa584fc72a3bd04b1f,6a05d39198ca5b2f348a4575,6a0b53032193151a5d30e0ee,,,,,,,,,,,,,,,,,,,,,,,419.586,442.369,1,[19.786],[19.786],Perhaps this one is only on land with the claws. ,442.37,443.37,0,15,15,15,1,C,W,W_C.png,training,4,16,5,low,feet,stripes,F,C,W,E,207,5_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,2026-05-18_13h58.02.669,explain2,2025.1.1,iPhone,55.55555556,69d134aa584fc72a3bd04b1f,6a05d39198ca5b2f348a4575,6a0b53032193151a5d30e0ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443.378,448.405,1,[2.033999999999992],[2.033999999999992],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
