participant,training_responses,fertility_score,error,feedback,trial_stop_time,testing_image_order,testing_responses,training_categories,training_feet,training_stripes,testing_categories,conditionOrder,training_image_order,attention_check,cogpro_predict,cogpro_explain,relevant_dim,irrelevant_dim,feet_high,stripes_low,stripes_high,feet_low,feet_discrete_slider.response,feet_direction_slider.response,feet_continuous_slider.response,stripes_discrete_slider.response,stripes_direction_slider.response,stripes_continuous_slider.response
013,"[6.0, 10.0, 10.0, 2.0, 10.0, 4.0, 8.0, 6.0, 4.0, 4.0, 10.0, 6.0, 3.0, 8.0, 6.0, 8.0]","[10.0, 10.0, 1.0, 3.0, 5.0, 9.0, 4.0, 8.0, 3.0, 8.0, 4.0, 7.0, 8.0, 3.0, 10.0, 3.0]","[4.0, 0.0, 9.0, 1.0, 5.0, 5.0, 4.0, 2.0, 1.0, 4.0, 6.0, 1.0, 5.0, 5.0, 4.0, 5.0]",['That was harder than I thought it would be!'],428.3796,"['E_C', 'W_F', 'E_F', 'W_C']","[3.0, 8.0, 10.0, 4.0]","['high', 'high', 'low', 'low', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'high', 'low', 'high', 'low']","['C', 'C', 'F', 'F', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'C', 'F', 'C', 'F']","['W', 'E', 'E', 'W', 'W', 'W', 'E', 'E', 'E', 'E', 'W', 'W', 'E', 'W', 'W', 'E']","['high', 'low', 'low', 'high']",13,"['W_C', 'E_C', 'E_F', 'W_F', 'W_F', 'W_C', 'E_F', 'E_C', 'E_F', 'E_C', 'W_F', 'W_C', 'E_C', 'W_F', 'W_C', 'E_F']",1,2.0,6.0,feet,stripes,C,E,W,F,No,,,No,,
086,"[10.0, 8.0, 8.0, 8.0, 6.0, 5.0, 4.0, 6.0, 3.0, 6.0, 5.0, 5.0, 7.0, 6.0, 6.0, 3.0]","[8.0, 9.0, 1.0, 3.0, 6.0, 2.0, 4.0, 5.0, 7.0, 1.0, 4.0, 9.0, 3.0, 5.0, 9.0, 8.0]","[2.0, 1.0, 7.0, 5.0, 0.0, 3.0, 0.0, 1.0, 4.0, 5.0, 1.0, 4.0, 4.0, 1.0, 3.0, 5.0]",[],344.5777,"['W_C', 'E_C', 'E_F', 'W_F']","[7.0, 5.0, 4.0, 7.0]","['high', 'high', 'low', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'low', 'high', 'low', 'low', 'high', 'high']","['F', 'C', 'F', 'C', 'C', 'C', 'F', 'F', 'F', 'C', 'F', 'C', 'F', 'C', 'C', 'F']","['W', 'W', 'E', 'E', 'W', 'E', 'W', 'E', 'W', 'E', 'E', 'W', 'E', 'E', 'W', 'W']","['high', 'low', 'low', 'high']",86,"['W_F', 'W_C', 'E_F', 'E_C', 'W_C', 'E_C', 'W_F', 'E_F', 'W_F', 'E_C', 'E_F', 'W_C', 'E_F', 'E_C', 'W_C', 'W_F']",1,4.0,2.0,stripes,feet,C,E,W,F,No,,,Yes, Up/Right,6.0
027,"[6.0, 7.0, 5.0, 8.0, 8.0, 4.0, 5.0, 5.0, 6.0, 6.0, 5.0, 3.0, 4.0, 3.0, 5.0, 9.0]","[5.0, 3.0, 10.0, 9.0, 1.0, 7.0, 4.0, 7.0, 6.0, 4.0, 1.0, 1.0, 1.0, 6.0, 9.0, 6.0]","[1.0, 4.0, 5.0, 1.0, 7.0, 3.0, 1.0, 2.0, 0.0, 2.0, 4.0, 2.0, 3.0, 3.0, 4.0, 3.0]",[],486.7721,"['E_F', 'W_F', 'E_C', 'W_C']","[7.0, 8.0, 2.0, 4.0]","['low', 'low', 'high', 'high', 'low', 'high', 'low', 'high', 'high', 'low', 'low', 'high', 'low', 'high', 'high', 'low']","['C', 'C', 'F', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'F', 'C']","['W', 'E', 'E', 'W', 'W', 'W', 'E', 'E', 'E', 'W', 'E', 'W', 'W', 'E', 'W', 'E']","['high', 'high', 'low', 'low']",27,"['W_C', 'E_C', 'E_F', 'W_F', 'W_C', 'W_F', 'E_C', 'E_F', 'E_F', 'W_C', 'E_C', 'W_F', 'W_C', 'E_F', 'W_F', 'E_C']",1,4.0,4.0,feet,stripes,F,W,E,C,No,,,Yes, Up/Right,4.0
021,"[2.0, 7.0, 6.0, 8.0, 5.0, 8.0, 6.0, 9.0, 3.0, 2.0, 6.0, 7.0, 6.0, 8.0, 4.0, 6.0]","[5.0, 7.0, 3.0, 1.0, 5.0, 8.0, 2.0, 6.0, 3.0, 4.0, 7.0, 9.0, 6.0, 7.0, 7.0, 1.0]","[3.0, 0.0, 3.0, 7.0, 0.0, 0.0, 4.0, 3.0, 0.0, 2.0, 1.0, 2.0, 0.0, 1.0, 3.0, 5.0]",[],314.9243,"['E_F', 'W_F', 'E_C', 'W_C']","[7.0, 9.0, 4.0, 7.0]","['high', 'high', 'low', 'low', 'low', 'high', 'low', 'high', 'low', 'low', 'high', 'high', 'high', 'high', 'low', 'low']","['C', 'C', 'F', 'F', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'C', 'C', 'C', 'F', 'F']","['W', 'E', 'W', 'E', 'W', 'E', 'E', 'W', 'E', 'W', 'E', 'W', 'E', 'W', 'W', 'E']","['low', 'low', 'high', 'high']",21,"['W_C', 'E_C', 'W_F', 'E_F', 'W_F', 'E_C', 'E_F', 'W_C', 'E_F', 'W_F', 'E_C', 'W_C', 'E_C', 'W_C', 'W_F', 'E_F']",1,7.0,7.0,feet,stripes,C,E,W,F,Yes,Webbed,6.0,Yes,Up/Left,3.0
110,"[6.0, 2.0, 7.0, 5.0, 6.0, 7.0, 5.0, 3.0, 6.0, 5.0, 6.0, 3.0, 7.0, 7.0, 6.0, 6.0]","[1.0, 5.0, 5.0, 7.0, 6.0, 8.0, 3.0, 9.0, 4.0, 10.0, 8.0, 3.0, 8.0, 3.0, 1.0, 10.0]","[5.0, 3.0, 2.0, 2.0, 0.0, 1.0, 2.0, 6.0, 2.0, 5.0, 2.0, 0.0, 1.0, 4.0, 5.0, 4.0]",[],521.9786,"['E_C', 'W_C', 'E_F', 'W_F']","[6.0, 8.0, 6.0, 6.0]","['low', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'high', 'low', 'high', 'low', 'low', 'high']","['C', 'F', 'F', 'C', 'F', 'F', 'C', 'C', 'F', 'F', 'C', 'C', 'C', 'C', 'F', 'F']","['E', 'W', 'E', 'W', 'E', 'W', 'E', 'W', 'E', 'W', 'W', 'E', 'W', 'E', 'E', 'W']","['low', 'high', 'low', 'high']",110,"['E_C', 'W_F', 'E_F', 'W_C', 'E_F', 'W_F', 'E_C', 'W_C', 'E_F', 'W_F', 'W_C', 'E_C', 'W_C', 'E_C', 'E_F', 'W_F']",1,6.0,6.0,stripes,feet,F,E,W,C,Yes, Curved/Pointy,5.0,Yes,Up/Left,5.0
140,"[7.0, 4.0, 4.0, 6.0, 7.0, 4.0, 5.0, 7.0, 7.0, 7.0, 4.0, 4.0, 9.0, 6.0, 4.0, 7.0]","[4.0, 4.0, 10.0, 7.0, 8.0, 5.0, 8.0, 4.0, 10.0, 7.0, 3.0, 6.0, 8.0, 4.0, 4.0, 5.0]","[3.0, 0.0, 6.0, 1.0, 1.0, 1.0, 3.0, 3.0, 3.0, 0.0, 1.0, 2.0, 1.0, 2.0, 0.0, 2.0]",['No feedback.'],367.0033,"['E_C', 'W_C', 'E_F', 'W_F']","[8.0, 6.0, 7.0, 4.0]","['low', 'low', 'high', 'high', 'high', 'low', 'high', 'low', 'high', 'high', 'low', 'low', 'high', 'low', 'low', 'high']","['F', 'C', 'C', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'F', 'C', 'C', 'C', 'F', 'F']","['W', 'W', 'E', 'E', 'E', 'W', 'E', 'W', 'E', 'E', 'W', 'W', 'E', 'W', 'W', 'E']","['high', 'low', 'high', 'low']",140,"['W_F', 'W_C', 'E_C', 'E_F', 'E_F', 'W_C', 'E_C', 'W_F', 'E_C', 'E_F', 'W_F', 'W_C', 'E_C', 'W_C', 'W_F', 'E_F']",1,6.0,6.0,stripes,feet,C,W,E,F,Yes, Curved/Pointy,4.0,Yes, Up/Right,6.0
024,"[5.0, 8.0, 9.0, 5.0, 4.0, 5.0, 4.0, 9.0, 4.0, 5.0, 10.0, 4.0, 3.0, 4.0, 7.0, 6.0]","[8.0, 9.0, 2.0, 3.0, 5.0, 4.0, 10.0, 6.0, 8.0, 9.0, 2.0, 2.0, 9.0, 4.0, 9.0, 6.0]","[3.0, 1.0, 7.0, 2.0, 1.0, 1.0, 6.0, 3.0, 4.0, 4.0, 8.0, 2.0, 6.0, 0.0, 2.0, 0.0]",[],365.6358,"['W_C', 'E_C', 'E_F', 'W_F']","[7.0, 9.0, 3.0, 6.0]","['high', 'high', 'low', 'low', 'low', 'low', 'high', 'high', 'high', 'high', 'low', 'low', 'high', 'low', 'high', 'low']","['C', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'F', 'C', 'C', 'F', 'F', 'F', 'C', 'C']","['E', 'E', 'W', 'W', 'W', 'W', 'E', 'E', 'E', 'E', 'W', 'W', 'E', 'W', 'E', 'W']","['low', 'high', 'high', 'low']",24,"['E_C', 'E_F', 'W_F', 'W_C', 'W_C', 'W_F', 'E_C', 'E_F', 'E_F', 'E_C', 'W_C', 'W_F', 'E_F', 'W_F', 'E_C', 'W_C']",1,7.0,7.0,stripes,feet,C,W,E,F,No,,,No,,
161,"[6.0, 3.0, 5.0, 7.0, 3.0, 7.0, 3.0, 4.0, 7.0, 9.0, 6.0, 4.0, 5.0, 5.0, 4.0, 4.0]","[3.0, 7.0, 3.0, 7.0, 4.0, 7.0, 8.0, 9.0, 8.0, 3.0, 1.0, 6.0, 4.0, 3.0, 2.0, 9.0]","[3.0, 4.0, 2.0, 0.0, 1.0, 0.0, 5.0, 5.0, 1.0, 6.0, 5.0, 2.0, 1.0, 2.0, 2.0, 5.0]","[""I wish the look of the different lizards stood out more, they difference were so subtle I didn't actually notice them at all and thought that would have actually been more helpful. Even a different color, or lines versus spots would have been useful.\xa0""]",386.1133,"['W_C', 'E_F', 'E_C', 'W_F']","[4.0, 7.0, 4.0, 7.0]","['low', 'high', 'low', 'high', 'low', 'low', 'high', 'high', 'high', 'low', 'low', 'high', 'high', 'low', 'low', 'high']","['F', 'C', 'F', 'C', 'F', 'F', 'C', 'C', 'C', 'F', 'F', 'C', 'C', 'F', 'F', 'C']","['E', 'W', 'W', 'E', 'W', 'E', 'W', 'E', 'W', 'W', 'E', 'E', 'W', 'W', 'E', 'E']","['high', 'low', 'high', 'low']",161,"['E_F', 'W_C', 'W_F', 'E_C', 'W_F', 'E_F', 'W_C', 'E_C', 'W_C', 'W_F', 'E_F', 'E_C', 'W_C', 'W_F', 'E_F', 'E_C']",1,7.0,3.0,feet,stripes,C,W,E,F,No,,,No,,
154,"[9.0, 5.0, 5.0, 5.0, 6.0, 5.0, 6.0, 3.0, 6.0, 6.0, 4.0, 4.0, 6.0, 4.0, 5.0, 4.0]","[5.0, 5.0, 6.0, 7.0, 4.0, 5.0, 1.0, 10.0, 9.0, 1.0, 2.0, 10.0, 9.0, 6.0, 3.0, 8.0]","[4.0, 0.0, 1.0, 2.0, 2.0, 0.0, 5.0, 7.0, 3.0, 5.0, 2.0, 6.0, 3.0, 2.0, 2.0, 4.0]","['this was difficult for me, I studied the pictures and could not spot difference. I found myself looking for number patterns instead.']",266.5131,"['W_F', 'W_C', 'E_F', 'E_C']","[5.0, 6.0, 8.0, 3.0]","['low', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'high', 'low', 'low', 'high', 'high', 'low', 'low', 'high']","['F', 'C', 'C', 'F', 'F', 'C', 'C', 'F', 'F', 'C', 'F', 'C', 'C', 'F', 'C', 'F']","['E', 'W', 'E', 'W', 'E', 'W', 'E', 'W', 'W', 'E', 'E', 'W', 'W', 'E', 'E', 'W']","['high', 'high', 'low', 'low']",154,"['E_F', 'W_C', 'E_C', 'W_F', 'E_F', 'W_C', 'E_C', 'W_F', 'W_F', 'E_C', 'E_F', 'W_C', 'W_C', 'E_F', 'E_C', 'W_F']",1,7.0,3.0,stripes,feet,F,E,W,C,No,,,No,,
119,"[6.0, 5.0, 5.0, 6.0, 7.0, 5.0, 4.0, 9.0, 9.0, 6.0, 4.0, 8.0, 5.0, 5.0, 6.0, 4.0]","[5.0, 6.0, 4.0, 8.0, 7.0, 5.0, 10.0, 3.0, 5.0, 3.0, 9.0, 3.0, 1.0, 7.0, 1.0, 7.0]","[1.0, 1.0, 1.0, 2.0, 0.0, 0.0, 6.0, 6.0, 4.0, 3.0, 5.0, 5.0, 4.0, 2.0, 5.0, 3.0]",['none'],659.1021,"['W_F', 'E_F', 'E_C', 'W_C']","[5.0, 6.0, 3.0, 4.0]","['low', 'high', 'low', 'high', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'low', 'high', 'low', 'high']","['C', 'F', 'C', 'F', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'C', 'F', 'C', 'F']","['W', 'E', 'E', 'W', 'E', 'W', 'W', 'E', 'E', 'W', 'W', 'E', 'W', 'E', 'E', 'W']","['high', 'high', 'low', 'low']",119,"['W_C', 'E_F', 'E_C', 'W_F', 'E_F', 'W_C', 'W_F', 'E_C', 'E_F', 'W_C', 'W_F', 'E_C', 'W_C', 'E_F', 'E_C', 'W_F']",1,5.0,5.0,feet,stripes,F,E,W,C,Yes,Webbed,5.0,No,,
