consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,005,2026-04-30_11h36.43.263,explain2,2025.1.1,Win32,60.60606061,60fdbb289d3a6f27ebd32f67,69f36a13e001dbc079bfbe67,69f385030aaa77b9f4a976b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-04-30_11h36.43.263,explain2,2025.1.1,Win32,60.60606061,60fdbb289d3a6f27ebd32f67,69f36a13e001dbc079bfbe67,69f385030aaa77b9f4a976b6,9.1428,9.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-04-30_11h36.43.263,explain2,2025.1.1,Win32,60.60606061,60fdbb289d3a6f27ebd32f67,69f36a13e001dbc079bfbe67,69f385030aaa77b9f4a976b6,,,9.1436,40.4415,1,[26.302100000143056],[26.302100000143056],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-04-30_11h36.43.263,explain2,2025.1.1,Win32,60.60606061,60fdbb289d3a6f27ebd32f67,69f36a13e001dbc079bfbe67,69f385030aaa77b9f4a976b6,,,,,,,,40.4418,62.1921,1,[16.751099999904632],[16.751099999904632],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-04-30_11h36.43.263,explain2,2025.1.1,Win32,60.60606061,60fdbb289d3a6f27ebd32f67,69f36a13e001dbc079bfbe67,69f385030aaa77b9f4a976b6,,,,,,,,,,,,,62.1926,80.9433,1,[13.750699999809271],[13.750699999809271],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-04-30_11h36.43.263,explain2,2025.1.1,Win32,60.60606061,60fdbb289d3a6f27ebd32f67,69f36a13e001dbc079bfbe67,69f385030aaa77b9f4a976b6,,,,,,,,,,,,,,,,,,80.944,98.5947,1,[12.651199999809265],[12.651199999809265],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-04-30_11h36.43.263,explain2,2025.1.1,Win32,60.60606061,60fdbb289d3a6f27ebd32f67,69f36a13e001dbc079bfbe67,69f385030aaa77b9f4a976b6,,,,,,,,,,,,,,,,,,,,,,,98.6064,124.617,1,[23.02139999985694],[23.02139999985694],It seems healthy but young,124.6173,125.613,0,0,0,0,1,F,E,E_F.png,training,1,1,4,low,feet,stripes,C,F,E,W,5,4_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-04-30_11h36.43.263,explain2,2025.1.1,Win32,60.60606061,60fdbb289d3a6f27ebd32f67,69f36a13e001dbc079bfbe67,69f385030aaa77b9f4a976b6,,,,,,,,,,,,,,,,,,,,,,,125.6152,147.1312,1,[18.517799999952302],[18.51789999985695],It looks healthy and in its right environment,147.1314,148.1305,0,1,1,1,1,C,E,E_C.png,training,1,2,10,high,feet,stripes,C,F,E,W,5,10_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-04-30_11h36.43.263,explain2,2025.1.1,Win32,60.60606061,60fdbb289d3a6f27ebd32f67,69f36a13e001dbc079bfbe67,69f385030aaa77b9f4a976b6,,,,,,,,,,,,,,,,,,,,,,,148.1332,173.8512,1,[22.718800000190726],[22.718800000190726],It seems like the environment has changed,173.8514,174.8496,0,2,2,2,1,F,W,W_F.png,training,1,3,2,low,feet,stripes,C,F,E,W,5,2_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-04-30_11h36.43.263,explain2,2025.1.1,Win32,60.60606061,60fdbb289d3a6f27ebd32f67,69f36a13e001dbc079bfbe67,69f385030aaa77b9f4a976b6,,,,,,,,,,,,,,,,,,,,,,,174.8527,204.9367,1,[27.084899999856958],[27.084899999856958],It looks like the reptiles is paler,204.9372,205.9351,0,3,3,3,1,C,W,W_C.png,training,1,4,4,high,feet,stripes,C,F,E,W,5,4_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
