consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,017,2026-04-30_13h18.36.759,explain2,2025.1.1,Linux x86_64,60.24096386,698133f2f378666ef4c7965c,69f36a13e001dbc079bfbe67,69f38ec7bfbc85c3efb2caf9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-04-30_13h18.36.759,explain2,2025.1.1,Linux x86_64,60.24096386,698133f2f378666ef4c7965c,69f36a13e001dbc079bfbe67,69f38ec7bfbc85c3efb2caf9,9.7692,9.7694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-04-30_13h18.36.759,explain2,2025.1.1,Linux x86_64,60.24096386,698133f2f378666ef4c7965c,69f36a13e001dbc079bfbe67,69f38ec7bfbc85c3efb2caf9,,,9.7699,201.089,1,[186.33129999999701],[186.33129999999701],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-04-30_13h18.36.759,explain2,2025.1.1,Linux x86_64,60.24096386,698133f2f378666ef4c7965c,69f36a13e001dbc079bfbe67,69f38ec7bfbc85c3efb2caf9,,,,,,,,201.0894,214.2372,1,[8.149099999994036],[8.149099999994036],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-04-30_13h18.36.759,explain2,2025.1.1,Linux x86_64,60.24096386,698133f2f378666ef4c7965c,69f36a13e001dbc079bfbe67,69f38ec7bfbc85c3efb2caf9,,,,,,,,,,,,,214.2375,225.6873,1,[6.450199999988087],[6.450199999988087],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-04-30_13h18.36.759,explain2,2025.1.1,Linux x86_64,60.24096386,698133f2f378666ef4c7965c,69f36a13e001dbc079bfbe67,69f38ec7bfbc85c3efb2caf9,,,,,,,,,,,,,,,,,,225.6888,235.769,1,[5.08299999999997],[5.083100000008926],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-04-30_13h18.36.759,explain2,2025.1.1,Linux x86_64,60.24096386,698133f2f378666ef4c7965c,69f36a13e001dbc079bfbe67,69f38ec7bfbc85c3efb2caf9,,,,,,,,,,,,,,,,,,,,,,,235.7988,252.6349,1,[13.848599999994065],[13.848599999994065],It's young still,252.6353,253.633,0,0,0,0,1,F,E,E_F.png,training,1,1,4,low,feet,stripes,C,F,W,E,17,4_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-04-30_13h18.36.759,explain2,2025.1.1,Linux x86_64,60.24096386,698133f2f378666ef4c7965c,69f36a13e001dbc079bfbe67,69f38ec7bfbc85c3efb2caf9,,,,,,,,,,,,,,,,,,,,,,,253.636,265.4023,1,[8.766099999994026],[8.766099999994026],It's youthful and vibrant,265.4025,266.3985,0,1,1,1,1,C,W,W_C.png,training,1,2,9,high,feet,stripes,C,F,W,E,17,9_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-04-30_13h18.36.759,explain2,2025.1.1,Linux x86_64,60.24096386,698133f2f378666ef4c7965c,69f36a13e001dbc079bfbe67,69f38ec7bfbc85c3efb2caf9,,,,,,,,,,,,,,,,,,,,,,,266.4048,286.7153,1,[17.31469999998808],[17.31469999998808],I have not idea,286.7154,287.7133,0,2,2,2,1,F,W,W_F.png,training,1,3,5,low,feet,stripes,C,F,W,E,17,5_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-04-30_13h18.36.759,explain2,2025.1.1,Linux x86_64,60.24096386,698133f2f378666ef4c7965c,69f36a13e001dbc079bfbe67,69f38ec7bfbc85c3efb2caf9,,,,,,,,,,,,,,,,,,,,,,,287.7206,301.4339,1,[10.717300000011903],[10.717300000011903],Because it is young and cute,301.4341,302.4282,0,3,3,3,1,C,E,E_C.png,training,1,4,10,high,feet,stripes,C,F,W,E,17,10_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
