participant,training_responses,fertility_score,error,feedback,trial_stop_time,testing_image_order,testing_responses,training_categories,training_feet,training_stripes,testing_categories,conditionOrder,training_image_order,attention_check,cogpro_predict,cogpro_explain,relevant_dim,irrelevant_dim,feet_high,stripes_low,stripes_high,feet_low,feet_discrete_slider.response,feet_direction_slider.response,feet_continuous_slider.response,stripes_discrete_slider.response,stripes_direction_slider.response,stripes_continuous_slider.response
004,"[5.0, 9.0, 4.0, 5.0, 6.0, 7.0, 4.0, 6.0, 3.0, 3.0, 6.0, 4.0, 6.0, 6.0, 7.0, 5.0]","[9.0, 2.0, 2.0, 8.0, 7.0, 1.0, 6.0, 2.0, 3.0, 9.0, 2.0, 10.0, 6.0, 8.0, 4.0, 1.0]","[4.0, 7.0, 2.0, 3.0, 1.0, 6.0, 2.0, 4.0, 0.0, 6.0, 4.0, 6.0, 0.0, 2.0, 3.0, 4.0]",[],1600.4773,"['W_F', 'E_F', 'W_C', 'E_C']","[4.0, 7.0, 5.0, 8.0]","['high', 'low', 'low', 'high', 'high', 'low', 'high', 'low', 'low', 'high', 'low', 'high', 'low', 'high', 'high', 'low']","['C', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'F', 'C', 'C', 'F', 'C', 'C', 'F', 'F']","['E', 'W', 'W', 'E', 'E', 'W', 'E', 'W', 'W', 'E', 'W', 'E', 'W', 'E', 'E', 'W']","['low', 'high', 'low', 'high']",4,"['E_C', 'W_F', 'W_C', 'E_F', 'E_C', 'W_F', 'E_F', 'W_C', 'W_F', 'E_C', 'W_C', 'E_F', 'W_C', 'E_C', 'E_F', 'W_F']",1,5.0,5.0,stripes,feet,C,W,E,F,Yes, Curved/Pointy,5.0,No,,
018,"[5.0, 4.0, 5.0, 3.0, 4.0, 3.0, 6.0, 6.0, 5.0, 6.0, 4.0, 6.0, 6.0, 8.0, 8.0, 6.0]","[3.0, 2.0, 6.0, 6.0, 6.0, 7.0, 4.0, 3.0, 10.0, 7.0, 5.0, 1.0, 2.0, 5.0, 1.0, 6.0]","[2.0, 2.0, 1.0, 3.0, 2.0, 4.0, 2.0, 3.0, 5.0, 1.0, 1.0, 5.0, 4.0, 3.0, 7.0, 0.0]",[],317.4419,"['E_C', 'W_F', 'W_C', 'E_F']","[5.0, 7.0, 5.0, 4.0]","['low', 'low', 'high', 'high', 'high', 'high', 'low', 'low', 'high', 'high', 'low', 'low', 'low', 'high', 'low', 'high']","['C', 'F', 'C', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'C', 'F', 'F', 'F', 'C', 'C']","['E', 'E', 'W', 'W', 'W', 'W', 'E', 'E', 'W', 'W', 'E', 'E', 'E', 'W', 'E', 'W']","['low', 'high', 'high', 'low']",18,"['E_C', 'E_F', 'W_C', 'W_F', 'W_F', 'W_C', 'E_C', 'E_F', 'W_C', 'W_F', 'E_C', 'E_F', 'E_F', 'W_F', 'E_C', 'W_C']",1,5.0,5.0,stripes,feet,C,E,W,F,Yes, Curved/Pointy,3.0,No,,
002,"[7.0, 4.0, 8.0, 4.0, 8.0, 6.0, 4.0, 6.0, 7.0, 7.0, 7.0, 4.0, 4.0, 8.0, 4.0, 7.0]","[4.0, 8.0, 10.0, 3.0, 7.0, 3.0, 2.0, 7.0, 4.0, 6.0, 10.0, 3.0, 3.0, 7.0, 4.0, 7.0]","[3.0, 4.0, 2.0, 1.0, 1.0, 3.0, 2.0, 1.0, 3.0, 1.0, 3.0, 1.0, 1.0, 1.0, 0.0, 0.0]",[],277.8105,"['E_F', 'W_C', 'W_F', 'E_C']","[3.0, 8.0, 7.0, 4.0]","['low', 'high', 'high', 'low', 'high', 'low', 'low', 'high', 'low', 'high', 'high', 'low', 'low', 'high', 'low', 'high']","['C', 'C', 'F', 'F', 'C', 'C', 'F', 'F', 'F', 'F', 'C', 'C', 'F', 'C', 'C', 'F']","['E', 'W', 'W', 'E', 'W', 'E', 'E', 'W', 'E', 'W', 'W', 'E', 'E', 'W', 'E', 'W']","['low', 'high', 'high', 'low']",2,"['E_C', 'W_C', 'W_F', 'E_F', 'W_C', 'E_C', 'E_F', 'W_F', 'E_F', 'W_F', 'W_C', 'E_C', 'E_F', 'W_C', 'E_C', 'W_F']",0,7.0,7.0,stripes,feet,C,E,W,F,No,,,Yes, Up/Left,7.0
020,"[5.0, 9.0, 5.0, 9.0, 3.0, 5.0, 5.0, 7.0, 9.0, 3.0, 5.0, 7.0, 9.0, 6.0, 3.0, 3.0]","[9.0, 3.0, 6.0, 10.0, 7.0, 8.0, 3.0, 5.0, 4.0, 8.0, 10.0, 4.0, 3.0, 6.0, 7.0, 1.0]","[4.0, 6.0, 1.0, 1.0, 4.0, 3.0, 2.0, 2.0, 5.0, 5.0, 5.0, 3.0, 6.0, 0.0, 4.0, 2.0]",[],570.7494,"['E_F', 'E_C', 'W_C', 'W_F']","[6.0, 8.0, 7.0, 3.0]","['high', 'low', 'low', 'high', 'high', 'high', 'low', 'low', 'low', 'high', 'high', 'low', 'low', 'high', 'high', 'low']","['F', 'F', 'C', 'C', 'F', 'C', 'C', 'F', 'F', 'C', 'F', 'C', 'C', 'F', 'C', 'F']","['E', 'W', 'W', 'E', 'E', 'E', 'W', 'W', 'W', 'E', 'E', 'W', 'W', 'E', 'E', 'W']","['high', 'high', 'low', 'low']",20,"['E_F', 'W_F', 'W_C', 'E_C', 'E_F', 'E_C', 'W_C', 'W_F', 'W_F', 'E_C', 'E_F', 'W_C', 'W_C', 'E_F', 'E_C', 'W_F']",1,1.0,1.0,stripes,feet,C,W,E,F,No,,,No,,
016,"[8.0, 1.0, 8.0, 9.0, 8.0, 7.0, 3.0, 5.0, 6.0, 5.0, 5.0, 6.0, 3.0, 6.0, 2.0, 5.0]","[1.0, 6.0, 7.0, 5.0, 5.0, 2.0, 7.0, 5.0, 2.0, 9.0, 1.0, 8.0, 4.0, 4.0, 7.0, 7.0]","[7.0, 5.0, 1.0, 4.0, 3.0, 5.0, 4.0, 0.0, 4.0, 4.0, 4.0, 2.0, 1.0, 2.0, 5.0, 2.0]",[],276.153,"['E_C', 'W_F', 'E_F', 'W_C']","[1.0, 5.0, 6.0, 2.0]","['low', 'high', 'high', 'low', 'high', 'low', 'high', 'low', 'low', 'high', 'low', 'high', 'low', 'low', 'high', 'high']","['C', 'C', 'F', 'F', 'C', 'C', 'F', 'F', 'C', 'F', 'F', 'C', 'F', 'C', 'F', 'C']","['W', 'E', 'E', 'W', 'E', 'W', 'E', 'W', 'W', 'E', 'W', 'E', 'W', 'W', 'E', 'E']","['high', 'low', 'high', 'low']",16,"['W_C', 'E_C', 'E_F', 'W_F', 'E_C', 'W_C', 'E_F', 'W_F', 'W_C', 'E_F', 'W_F', 'E_C', 'W_F', 'W_C', 'E_F', 'E_C']",1,5.0,2.0,stripes,feet,F,W,E,C,No,,,No,,
013,"[10.0, 6.0, 3.0, 7.0, 10.0, 6.0, 10.0, 3.0, 8.0, 4.0, 1.0, 4.0, 7.0, 9.0, 4.0, 2.0]","[3.0, 10.0, 8.0, 8.0, 4.0, 1.0, 8.0, 7.0, 7.0, 10.0, 3.0, 1.0, 4.0, 5.0, 4.0, 8.0]","[7.0, 4.0, 5.0, 1.0, 6.0, 5.0, 2.0, 4.0, 1.0, 6.0, 2.0, 3.0, 3.0, 4.0, 0.0, 6.0]","[""This one was pretty interesting I'd gladly do more like this one\xa0""]",226.244,"['W_C', 'W_F', 'E_F', 'E_C']","[4.0, 4.0, 7.0, 9.0]","['low', 'high', 'low', 'high', 'low', 'low', 'high', 'high', 'high', 'high', 'low', 'low', 'high', 'low', 'low', 'high']","['F', 'C', 'F', 'C', 'F', 'F', 'C', 'C', 'C', 'C', 'F', 'F', 'C', 'F', 'F', 'C']","['E', 'W', 'W', 'E', 'W', 'E', 'E', 'W', 'E', 'W', 'W', 'E', 'W', 'E', 'W', 'E']","['high', 'low', 'low', 'high']",13,"['E_F', 'W_C', 'W_F', 'E_C', 'W_F', 'E_F', 'E_C', 'W_C', 'E_C', 'W_C', 'W_F', 'E_F', 'W_C', 'E_F', 'W_F', 'E_C']",0,7.0,7.0,feet,stripes,C,E,W,F,Yes, Curved/Pointy,5.0,Yes, Up/Left,3.0
015,"[3.0, 2.0, 5.0, 8.0, 6.0, 8.0, 3.0, 6.0, 6.0, 7.0, 5.0, 7.0, 5.0, 7.0, 7.0, 3.0]","[2.0, 6.0, 10.0, 4.0, 8.0, 3.0, 4.0, 6.0, 7.0, 2.0, 8.0, 5.0, 9.0, 8.0, 1.0, 4.0]","[1.0, 4.0, 5.0, 4.0, 2.0, 5.0, 1.0, 0.0, 1.0, 5.0, 3.0, 2.0, 4.0, 1.0, 6.0, 1.0]",['This task was challenging! It was hard to spot the differences and then relate those differences to fertility.\xa0'],283.665,"['W_C', 'E_F', 'W_F', 'E_C']","[5.0, 6.0, 5.0, 9.0]","['low', 'high', 'high', 'low', 'high', 'low', 'low', 'high', 'high', 'low', 'high', 'low', 'high', 'high', 'low', 'low']","['C', 'F', 'F', 'C', 'F', 'C', 'C', 'F', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'C']","['W', 'E', 'W', 'E', 'W', 'E', 'W', 'E', 'W', 'E', 'E', 'W', 'E', 'W', 'E', 'W']","['low', 'high', 'high', 'low']",15,"['W_C', 'E_F', 'W_F', 'E_C', 'W_F', 'E_C', 'W_C', 'E_F', 'W_F', 'E_C', 'E_F', 'W_C', 'E_F', 'W_F', 'E_C', 'W_C']",1,6.0,4.0,feet,stripes,F,E,W,C,No,,,Yes,Up/Right,5.0
014,"[5.0, 3.0, 7.0, 8.0, 6.0, 2.0, 9.0, 6.0, 7.0, 10.0, 2.0, 9.0, 4.0, 4.0, 2.0, 2.0]","[2.0, 8.0, 9.0, 2.0, 10.0, 6.0, 3.0, 2.0, 2.0, 5.0, 4.0, 5.0, 7.0, 4.0, 5.0, 6.0]","[3.0, 5.0, 2.0, 6.0, 4.0, 4.0, 6.0, 4.0, 5.0, 5.0, 2.0, 4.0, 3.0, 0.0, 3.0, 4.0]",[],314.6442,"['E_C', 'W_C', 'E_F', 'W_F']","[6.0, 5.0, 6.0, 2.0]","['low', 'high', 'high', 'low', 'high', 'high', 'low', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'low', 'high']","['C', 'C', 'F', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'C', 'F', 'C', 'C', 'F', 'F']","['E', 'W', 'W', 'E', 'W', 'W', 'E', 'E', 'W', 'E', 'W', 'E', 'W', 'E', 'E', 'W']","['low', 'high', 'low', 'high']",14,"['E_C', 'W_C', 'W_F', 'E_F', 'W_C', 'W_F', 'E_C', 'E_F', 'W_F', 'E_C', 'W_C', 'E_F', 'W_C', 'E_C', 'E_F', 'W_F']",1,3.0,4.0,stripes,feet,C,E,W,F,Yes, Curved/Pointy,3.0,Yes,Up/Right,2.0
003,"[6.0, 5.0, 9.0, 7.0, 4.0, 4.0, 6.0, 5.0, 5.0, 7.0, 5.0, 8.0, 5.0, 8.0, 5.0, 6.0]","[5.0, 9.0, 4.0, 2.0, 2.0, 5.0, 5.0, 4.0, 4.0, 5.0, 6.0, 9.0, 9.0, 3.0, 4.0, 7.0]","[1.0, 4.0, 5.0, 5.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 4.0, 5.0, 1.0, 1.0]",[],624.8591,"['E_C', 'W_C', 'E_F', 'W_F']","[6.0, 5.0, 4.0, 6.0]","['high', 'high', 'low', 'low', 'low', 'high', 'low', 'high', 'low', 'low', 'high', 'high', 'low', 'high', 'low', 'high']","['F', 'F', 'C', 'C', 'C', 'F', 'C', 'F', 'C', 'C', 'F', 'F', 'C', 'F', 'C', 'F']","['W', 'E', 'E', 'W', 'E', 'E', 'W', 'W', 'W', 'E', 'W', 'E', 'W', 'W', 'E', 'E']","['low', 'low', 'high', 'high']",3,"['W_F', 'E_F', 'E_C', 'W_C', 'E_C', 'E_F', 'W_C', 'W_F', 'W_C', 'E_C', 'W_F', 'E_F', 'W_C', 'W_F', 'E_C', 'E_F']",1,7.0,1.0,feet,stripes,F,W,E,C,No,,,Yes,Up/Right,5.0
011,"[5.0, 6.0, 7.0, 8.0, 5.0, 9.0, 4.0, 7.0, 9.0, 4.0, 10.0, 5.0, 1.0, 10.0, 7.0, 5.0]","[5.0, 5.0, 9.0, 5.0, 8.0, 4.0, 8.0, 3.0, 7.0, 8.0, 5.0, 1.0, 10.0, 3.0, 6.0, 2.0]","[0.0, 1.0, 2.0, 3.0, 3.0, 5.0, 4.0, 4.0, 2.0, 4.0, 5.0, 4.0, 9.0, 7.0, 1.0, 3.0]",[],590.52,"['W_C', 'E_C', 'W_F', 'E_F']","[4.0, 7.0, 6.0, 7.0]","['low', 'low', 'high', 'high', 'high', 'low', 'high', 'low', 'high', 'high', 'low', 'low', 'high', 'low', 'high', 'low']","['C', 'C', 'F', 'F', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'C']","['W', 'E', 'E', 'W', 'W', 'W', 'E', 'E', 'E', 'W', 'W', 'E', 'W', 'W', 'E', 'E']","['low', 'low', 'high', 'high']",11,"['W_C', 'E_C', 'E_F', 'W_F', 'W_F', 'W_C', 'E_F', 'E_C', 'E_F', 'W_F', 'W_C', 'E_C', 'W_F', 'W_C', 'E_F', 'E_C']",1,7.0,5.0,feet,stripes,F,E,W,C,No,,,No,,
