StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q4,Q8,pspot_1,rspot_1,fspot,fspotnone,pdirection_1,rdirection_1,fdirection,fdirectionnone,pcolor_1,rcolor_1,fcolor,fcolornone,pclaw_1,rclaw_1,fclaw,fclawnone,ptail_1,rtail_1,ftail,ftailnone,pthick_1,rthick_1,fthick,fthicknone,pbelly_1,rbelly_1,fbelly,fbellynone,pspotamount_1,rspotamount_1,fspotamount,fspotamountnone,pridge_1,rridge_1,fridge,fridgenone,pear_1,rear_1,fear,fearnone,Q_RecaptchaStatus,Q_RecaptchaError,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Do you consent?,"What is your Prolific ID? (This should be autofilled from prolific, if not, please enter it below)",Do you think it’s plausible that how fertile a reptile is would be affected by whether it has small or large spots? - Move Slider Below,"If there is a relationship between spots and fertility, which direction would that relationship go? - Move Slider to trait associated with higher fertility","Now we want you to spend a little time thinking about a potential explanation for WHY spot size might relate to fertility. If you can come up with an explanation, write a brief explanation below in a few sentences or less. If upon reflection it's hard to come up with an explanation, please INSTEAD check the box below.",Check below if it's very hard to come up with an explanation (check this only if you did NOT write an explanation),Do you think it’s plausible that how fertile a reptile is would be affected by whether it has vertical or horizontal stripes? - Move Slider Below,"If there is a relationship between stripe direction and fertility, which direction would that relationship go? - Move Slider to trait associated with higher fertility","Now we want you to spend a little time thinking about a potential explanation for WHY stripe direction might relate to fertility. If you can come up with an explanation, write a brief explanation below in a few sentences or less. If upon reflection it's hard to come up with an explanation, please INSTEAD check the box below.",Check below if it's very hard to come up with an explanation (check this only if you did NOT write an explanation),Do you think it’s plausible that how fertile a reptile is would be affected by whether it is purple or blue? - Move Slider Below,"If there is a relationship between color and fertility, which direction would that relationship go? - Move Slider to trait associated with higher fertility","Now we want you to spend a little time thinking about a potential explanation for WHY color might relate to fertility. If you can come up with an explanation, write a brief explanation below in a few sentences or less. If upon reflection it's hard to come up with an explanation, please INSTEAD check the box below.",Check below if it's very hard to come up with an explanation (check this only if you did NOT write an explanation),Do you think it’s plausible that how fertile a reptile is would be affected by whether it has rounded or curved feet? - Move Slider Below,"If there is a relationship between feet type and fertility, which direction would that relationship go? - Move Slider to trait associated with higher fertility","Now we want you to spend a little time thinking about a potential explanation for WHY foot shape might relate to fertility. If you can come up with an explanation, write a brief explanation below in a few sentences or less. If upon reflection it's hard to come up with an explanation, please INSTEAD check the box below.",Check below if it's very hard to come up with an explanation (check this only if you did NOT write an explanation),Do you think it’s plausible that how fertile a reptile is would be affected by whether it has a straight or curly tail? - Move Slider Below,"If there is a relationship between sort of tail and fertility, which direction would that relationship go? - Move Slider to trait associated with higher fertility","Now we want you to spend a little time thinking about a potential explanation for WHY sort of tail might relate to fertility. If you can come up with an explanation, write a brief explanation below in a few sentences or less. If upon reflection it's hard to come up with an explanation, please INSTEAD check the box below.",Check below if it's very hard to come up with an explanation (check this only if you did NOT write an explanation),Do you think it’s plausible that how fertile a reptile is would be affected by whether it has thin or thick stripes? - Move Slider Below,"If there is a relationship between stripe thickness and fertility, which direction would that relationship go? - Move Slider to trait associated with higher fertility","Now we want you to spend a little time thinking about a potential explanation for WHY stripe thickness might relate to fertility. If you can come up with an explanation, write a brief explanation below in a few sentences or less. If upon reflection it's hard to come up with an explanation, please INSTEAD check the box below.",Check below if it's very hard to come up with an explanation (check this only if you did NOT write an explanation),Do you think it’s plausible that how fertile a reptile is would be affected by whether it has spots on its belly or back? - Move Slider Below,"If there is a relationship between spot location and fertility, which direction would that relationship go? - Move Slider to trait associated with higher fertility","Now we want you to spend a little time thinking about a potential explanation for WHY spot location might relate to fertility. If you can come up with an explanation, write a brief explanation below in a few sentences or less. If upon reflection it's hard to come up with an explanation, please INSTEAD check the box below.",Check below if it's very hard to come up with an explanation (check this only if you did NOT write an explanation),Do you think it’s plausible that how fertile a reptile is would be affected by whether it has spots on both its belly and back or only its back? - Move Slider Below,"If there is a relationship between Spot location and fertility, which direction would that relationship go? - Move Slider to trait associated with higher fertility","Now we want you to spend a little time thinking about a potential explanation for WHY spots on back or back and belly might relate to fertility. If you can come up with an explanation, write a brief explanation below in a few sentences or less. If upon reflection it's hard to come up with an explanation, please INSTEAD check the box below.",Check below if it's very hard to come up with an explanation (check this only if you did NOT write an explanation),Do you think it’s plausible that how fertile a reptile is would be affected by whether it has ridges on its lower or upper back? - Move Slider Below,"If there is a relationship between ridge location and fertility, which direction would that relationship go? - Move Slider to trait associated with higher fertility","Now we want you to spend a little time thinking about a potential explanation for WHY ridge location relates to fertility. If you can come up with an explanation, write a brief explanation below in a few sentences or less. If upon reflection it's hard to come up with an explanation, please INSTEAD check the box below.",Check below if it's very hard to come up with an explanation (check this only if you did NOT write an explanation),Do you think it’s plausible that how fertile a reptile is would be affected by whether it has an ear oriented upwards or downwards? - Move Slider Below,"If there is a relationship between ear orientation and fertility, which direction would that relationship go? - Move Slider to trait associated with higher fertility","Now we want you to spend a little time thinking about a potential explanation for WHY ear orientation relates to fertility. If you can come up with an explanation, write a brief explanation below in a few sentences or less. If upon reflection it's hard to come up with an explanation, please INSTEAD check the box below.",Check below if it's very hard to come up with an explanation (check this only if you did NOT write an explanation),Q_RecaptchaStatus,Q_RecaptchaError,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID5""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID87_1""}","{""ImportId"":""QID88_1""}","{""ImportId"":""QID90_TEXT""}","{""ImportId"":""QID91""}","{""ImportId"":""QID94_1""}","{""ImportId"":""QID95_1""}","{""ImportId"":""QID97_TEXT""}","{""ImportId"":""QID98""}","{""ImportId"":""QID101_1""}","{""ImportId"":""QID102_1""}","{""ImportId"":""QID104_TEXT""}","{""ImportId"":""QID105""}","{""ImportId"":""QID108_1""}","{""ImportId"":""QID109_1""}","{""ImportId"":""QID111_TEXT""}","{""ImportId"":""QID112""}","{""ImportId"":""QID115_1""}","{""ImportId"":""QID116_1""}","{""ImportId"":""QID118_TEXT""}","{""ImportId"":""QID119""}","{""ImportId"":""QID122_1""}","{""ImportId"":""QID123_1""}","{""ImportId"":""QID125_TEXT""}","{""ImportId"":""QID126""}","{""ImportId"":""QID129_1""}","{""ImportId"":""QID130_1""}","{""ImportId"":""QID132_TEXT""}","{""ImportId"":""QID133""}","{""ImportId"":""QID136_1""}","{""ImportId"":""QID137_1""}","{""ImportId"":""QID139_TEXT""}","{""ImportId"":""QID140""}","{""ImportId"":""QID143_1""}","{""ImportId"":""QID144_1""}","{""ImportId"":""QID146_TEXT""}","{""ImportId"":""QID147""}","{""ImportId"":""Q_RecaptchaStatus""}","{""ImportId"":""Q_RecaptchaError""}","{""ImportId"":""PROLIFIC_PID""}"
2026-04-20 06:31:41,2026-04-20 06:36:22,IP Address,*******,100,280,True,2026-04-20 06:36:23,R_7hK9858jdUSyS6R,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",5dbc46b70338051eb7999760,87,71,,I can't think of any,60,62,,I can't think of any,94,100,,I can't think of any,71,78,,I can't think of any,18,27,,I can't think of any,50,43,I think that its just the way that the reptile is that way. I don't think it would help mating.,,93,95,,I can't think of any,85,83,I think that the spots on the back and belly could signal mates to come to them. Attracting mates,,61,59,,I can't think of any,34,50,,I can't think of any,complete,,5dbc46b70338051eb7999760
2026-04-20 06:31:28,2026-04-20 06:36:38,IP Address,*******,100,310,True,2026-04-20 06:36:39,R_5MvPNvwHgxpTaWB,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",69baa27614b2c61d994a5fcc,70,80,"I think spot size would attract a mate. It can also be the result of higher levels of hormones. ",,20,50,,I can't think of any,20,50,"I am not sure that color would affect fertility. ",,75,85,"I think the curved foot would likely make it easier for the reptile to reach higher places to attract more mates. ",,71,78,"I think the curved tail would be an attractive feature for a mate. ",,65,30,"I think the thicker stripes would be more attractive in finding a mate. ",,60,35,"Once again I think the back spots are more visible in attracting a mate as they are more visual. ",,80,72,"The additional spots likely attract a mate more greatly. ",,50,68,"I think this is because I am biased towards the spikes on the upper back. I am not sure this makes much of a difference. ",,5,50,,I can't think of any,complete,,69baa27614b2c61d994a5fcc
2026-04-20 06:31:26,2026-04-20 06:36:57,IP Address,*******,100,331,True,2026-04-20 06:36:58,R_7ZJFocaNBBuxExl,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",699d4c21f1992ed38fd1c0f9,0,50,,I can't think of any,0,50,,I can't think of any,0,50,,I can't think of any,70,100,I think that if they have curved feet it may help them hold onto surfaces more easily which would make them more fertile.,,70,100,I would think that reptiles with curved tails would be more fertile because they could hold onto things with their tails.,,0,50,,I can't think of any,0,50,,I can't think of any,0,50,,I can't think of any,70,100,I think the upper back ridges would gaurd off predators better and that would lead them to be more fertile.,,70,100,I would think that an upward ear leads to them being more fertile because they can hear better which would help them hear oncoming predators so they could be more fertile.,,complete,,699d4c21f1992ed38fd1c0f9
2026-04-20 06:33:55,2026-04-20 06:38:15,IP Address,*******,100,259,True,2026-04-20 06:38:15,R_7xrdgd5AsY8Do1H,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",69ce7d2297b4750b47987000,65,75,This could just be an age thing. The spots haven't fully developed yet on the smaller dotted frog,,0,50,,I can't think of any,0,50,,I can't think of any,0,50,,I can't think of any,0,50,,I can't think of any,0,50,,I can't think of any,0,50,,I can't think of any,0,50,,I can't think of any,0,50,,I can't think of any,0,50,,I can't think of any,complete,,69ce7d2297b4750b47987000
2026-04-20 06:33:40,2026-04-20 06:38:20,IP Address,*******,100,280,True,2026-04-20 06:38:20,R_7OdWpjxY6O6GgDc,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",5f394ce53b053607008f4b74,30,30,More small spots are easier to see,,60,60,Horizontal stripes are more common,,40,40,Purple is easier and more unique in nature,,50,50,"I don't think feet shape would make a difference ",,50,50,I don't think tail shape would make a difference either,,70,70,Thin striped may be more easily caught by a mate,,60,25,Spots on the back would be easier to see,,50,65,Spots may get the attention of a mate,,50,50,I can't see this making a difference,,50,50,I don't see this making a difference,,complete,,5f394ce53b053607008f4b74
2026-04-20 06:31:50,2026-04-20 06:39:18,IP Address,*******,100,448,True,2026-04-20 06:39:19,R_3prnK2Tjl6OX7Mr,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",69d285986e30bd74f4df2beb,62,72,"For some reason, I think the large spots would indicate it is a female for this species and that they are more fertile by the number of spots and the size of the spots. The bigger the spots, the more fertile the animal is in my opinion. ",,3,51,,I can't think of any,29,48,,I can't think of any,4,50,,I can't think of any,32,51,,I can't think of any,20,49,,I can't think of any,27,24,,I can't think of any,33,49,,I can't think of any,2,49,,I can't think of any,54,57,"It could show that when the ear is up, the animal is more fertile and ready to reproduce. When the ear is down, it could show that the animal is not fertile. ",,complete,,69d285986e30bd74f4df2beb
2026-04-20 06:33:44,2026-04-20 06:39:36,IP Address,*******,100,352,True,2026-04-20 06:39:37,R_57P5tjALdcogJ4q,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",58be162d2e4dc0000164b12c,99,87,The spots make it easier to see in the wild.,,2,52,,I can't think of any,90,0,"Purple is easier to see ",,91,93,They can hold on to any surface better,,4,51,,I can't think of any,98,6,Easier to attract the opposite sex when stripes are more apparent.,,50,52,,I can't think of any,93,86,Spots on belly make them easier to see in the wild,,30,74,,I can't think of any,88,88,"It is easier to see when the ear is tilted upward. ",,complete,,58be162d2e4dc0000164b12c
2026-04-20 06:33:44,2026-04-20 06:39:48,IP Address,*******,100,363,True,2026-04-20 06:39:48,R_3v8m2CWOZ2fpBRx,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",6014213c77aab7396ca3e5a7,59,66,,I can't think of any,46,52,,I can't think of any,51,40,Brighter colors attract mates more,,54,59,,I can't think of any,49,41,"It could affect the sperm of that animal, curly tail animals have curly sperm which make it harder to conceive",,58,40,,I can't think of any,72,83,Spots on the belly can indicate to a male that the female is fertile at that time,,58,69,I think the spots on the belly could indicate to a male that the female is fertile at that time,,53,58,,I can't think of any,56,63,,I can't think of any,complete,,6014213c77aab7396ca3e5a7
