StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q4,Q8,pdirection_1,rdirection_1,fdirection,fdirectionnone,porientation_1,rorientation_1,forientation,forientationone,pclaw_1,rclaw_1,fclaw,fclawnone,pwebbed_1,rwebbed_1,fwebbed,fwebbednone,pthin_1,rthin_1,fthin,fthinnone,psticky_1,rsticky_1,fsticky,fstickynone,pnail_1,rnail_1,fnail,fnailnone,pridge_1,rridge_1,fridge,fridgenone,Q_RecaptchaStatus,Q_RecaptchaError,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Do you consent?,"What is your Prolific ID? (This should be autofilled from prolific, if not, please enter it below)",Do you think it’s plausible that how fertile a reptile is would be affected by whether it has vertical or horizontal stripes? - Move Slider Below,"If there is a relationship between stripe direction and fertility, which direction would that relationship go? - Move Slider to trait associated with higher fertility","Now we want you to spend a little time thinking about a potential explanation for WHY stripe direction might relate to fertility. If you can come up with an explanation, write a brief explanation below in a few sentences or less. If upon reflection it's hard to come up with an explanation, please INSTEAD check the box below.",Check below if it's very hard to come up with an explanation (check this only if you did NOT write an explanation),Do you think it’s plausible that how fertile a reptile is would be affected by whether it has stripes oriented up and to the right or up and to the left? - Move Slider Below,"If there is a relationship between stripe orientation and fertility, which direction would that relationship go? - Move Slider to trait associated with higher fertility","Now we want you to spend a little time thinking about a potential explanation for WHY stripe direction might relate to fertility. If you can come up with an explanation, write a brief explanation below in a few sentences or less. If upon reflection it's hard to come up with an explanation, please INSTEAD check the box below.",Check below if it's very hard to come up with an explanation (check this only if you did NOT write an explanation),Do you think it’s plausible that how fertile a reptile is would be affected by whether it has rounded or curved feet? - Move Slider Below,"If there is a relationship between feet type and fertility, which direction would that relationship go? - Move Slider to trait associated with higher fertility","Now we want you to spend a little time thinking about a potential explanation for WHY foot shape might relate to fertility. If you can come up with an explanation, write a brief explanation below in a few sentences or less. If upon reflection it's hard to come up with an explanation, please INSTEAD check the box below.",Check below if it's very hard to come up with an explanation (check this only if you did NOT write an explanation),Do you think it’s plausible that how fertile a reptile is would be affected by whether it has webbed or curved feet? - Move Slider Below,"If there is a relationship between feet type and fertility, which direction would that relationship go? - Move Slider to trait associated with higher fertility","Now we want you to spend a little time thinking about a potential explanation for WHY foot shape might relate to fertility. If you can come up with an explanation, write a brief explanation below in a few sentences or less. If upon reflection it's hard to come up with an explanation, please INSTEAD check the box below.",Check below if it's very hard to come up with an explanation (check this only if you did NOT write an explanation),Do you think it’s plausible that how fertile a reptile is would be affected by whether it has thin or curved feet? - Move Slider Below,"If there is a relationship between feet type and fertility, which direction would that relationship go? - Move Slider to trait associated with higher fertility","Now we want you to spend a little time thinking about a potential explanation for WHY foot shape might relate to fertility. If you can come up with an explanation, write a brief explanation below in a few sentences or less. If upon reflection it's hard to come up with an explanation, please INSTEAD check the box below.",Check below if it's very hard to come up with an explanation (check this only if you did NOT write an explanation),Do you think it’s plausible that how fertile a reptile is would be affected by whether it has feet with rounded pads or curved feet? - Move Slider Below,"If there is a relationship between foot shape and fertility, which direction would that relationship go? - Move Slider to trait associated with higher fertility","Now we want you to spend a little time thinking about a potential explanation for WHY foot type might relate to fertility. If you can come up with an explanation, write a brief explanation below in a few sentences or less. If upon reflection it's hard to come up with an explanation, please INSTEAD check the box below.",Check below if it's very hard to come up with an explanation (check this only if you did NOT write an explanation),Do you think it’s plausible that how fertile a reptile is would be affected by whether it has NAILS or CURLY feet? - Move Slider Below,"If there is a relationship between foot type and fertility, which direction would that relationship go? - Move Slider to trait associated with higher fertility","Now we want you to spend a little time thinking about a potential explanation for WHY foot type might relate to fertility. If you can come up with an explanation, write a brief explanation below in a few sentences or less. If upon reflection it's hard to come up with an explanation, please INSTEAD check the box below.",Check below if it's very hard to come up with an explanation (check this only if you did NOT write an explanation),Do you think it’s plausible that how fertile a reptile is would be affected by whether it has ridges on its lower or upper back? - Move Slider Below,"If there is a relationship between ridge location and fertility, which direction would that relationship go? - Move Slider to trait associated with higher fertility","Now we want you to spend a little time thinking about a potential explanation for WHY ridge location relates to fertility. If you can come up with an explanation, write a brief explanation below in a few sentences or less. If upon reflection it's hard to come up with an explanation, please INSTEAD check the box below.",Check below if it's very hard to come up with an explanation (check this only if you did NOT write an explanation),Q_RecaptchaStatus,Q_RecaptchaError,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID5""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID87_1""}","{""ImportId"":""QID88_1""}","{""ImportId"":""QID90_TEXT""}","{""ImportId"":""QID91""}","{""ImportId"":""QID150_1""}","{""ImportId"":""QID151_1""}","{""ImportId"":""QID153_TEXT""}","{""ImportId"":""QID154""}","{""ImportId"":""QID101_1""}","{""ImportId"":""QID102_1""}","{""ImportId"":""QID104_TEXT""}","{""ImportId"":""QID105""}","{""ImportId"":""QID157_1""}","{""ImportId"":""QID158_1""}","{""ImportId"":""QID160_TEXT""}","{""ImportId"":""QID161""}","{""ImportId"":""QID164_1""}","{""ImportId"":""QID165_1""}","{""ImportId"":""QID167_TEXT""}","{""ImportId"":""QID168""}","{""ImportId"":""QID171_1""}","{""ImportId"":""QID172_1""}","{""ImportId"":""QID174_TEXT""}","{""ImportId"":""QID175""}","{""ImportId"":""QID178_1""}","{""ImportId"":""QID179_1""}","{""ImportId"":""QID181_TEXT""}","{""ImportId"":""QID182""}","{""ImportId"":""QID136_1""}","{""ImportId"":""QID137_1""}","{""ImportId"":""QID139_TEXT""}","{""ImportId"":""QID140""}","{""ImportId"":""Q_RecaptchaStatus""}","{""ImportId"":""Q_RecaptchaError""}","{""ImportId"":""PROLIFIC_PID""}"
2026-04-23 13:01:02,2026-04-23 13:04:42,IP Address,*******,100,220,True,2026-04-23 13:04:43,R_7WYK53PcyCEiDXl,*******,*******,*******,*******,*******,*******,anonymous,EN,0.8999999761581421,"Yes, I consent",6516e32ffccf8981620a78cb,75,50,,I can't think of any,75,21,,I can't think of any,20,50,,I can't think of any,10,50,,I can't think of any,20,50,,I can't think of any,28,50,,I can't think of any,10,50,,I can't think of any,75,50,,I can't think of any,complete,,6516e32ffccf8981620a78cb
2026-04-23 13:00:52,2026-04-23 13:05:42,IP Address,*******,100,289,True,2026-04-23 13:05:42,R_5dMqp4n60bfPQ64,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",67c869872204b85d6c4c0749,50,50,,I can't think of any,50,50,,I can't think of any,50,50,,I can't think of any,50,50,"Web stuff usually has lots of eggs, ducks, frogs, toads, reptiles do sometimes but not always and have pointy feet, so maybe less multi-birthing though they lay eggs too so I dunno.",,50,50,,I can't think of any,50,50,I did this in the first answer and came to no solid conclusions about foot flexibility feature fertility foolishness,I can't think of any,50,50,"We've hopped over this ground twice now so far, this is the third time you've asked, and I simply have no better response than the first two times, which means we're trying the same thing many times, expecting different results...",,50,50,,I can't think of any,complete,,67c869872204b85d6c4c0749
2026-04-23 13:03:42,2026-04-23 13:07:39,IP Address,*******,100,237,True,2026-04-23 13:07:39,R_1ptk7gHcIR8e2Ao,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",62bb42e2f21cfdb280cc975f,77,65,,I can't think of any,82,75,,I can't think of any,29,51,,I can't think of any,53,80,,I can't think of any,74,60,,I can't think of any,77,52,,I can't think of any,70,73,,I can't think of any,85,82,,I can't think of any,complete,,62bb42e2f21cfdb280cc975f
2026-04-23 13:03:07,2026-04-23 13:08:34,IP Address,*******,100,326,True,2026-04-23 13:08:34,R_1onF1QiznqZD9E5,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",69ab409b130a3bb7fa229e02,54,50,Direction of stripes might help camoflauge.,,56,50,The stripes might signal ability to camoflauge to a mate,,57,50,It could be a signal to potential mates of climbing ability.,,56,50,The shape might signal swimming ability.,,56,50,,I can't think of any,57,50,The shape might help attract a mate.,,56,50,Nails might signal to a mate better climbing ability,,57,50,,I can't think of any,complete,,69ab409b130a3bb7fa229e02
2026-04-23 13:05:13,2026-04-23 13:09:08,IP Address,*******,100,235,True,2026-04-23 13:09:08,R_5Gpvh0pk6cmTB9D,*******,*******,*******,*******,*******,*******,anonymous,EN,0.5,"Yes, I consent",69d91651ee55a78b5d3f76b8,11,49,,I can't think of any,10,85,,I can't think of any,11,50,,I can't think of any,12,49,,I can't think of any,21,51,,I can't think of any,13,49,,I can't think of any,10,49,,I can't think of any,21,50,,I can't think of any,complete,,69d91651ee55a78b5d3f76b8
2026-04-23 13:00:47,2026-04-23 13:10:17,IP Address,*******,100,570,True,2026-04-23 13:10:17,R_3Pb3LGxEVjwxu8x,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",6640be7edc706d4622dbab1c,67,9,"When the animal is more fertile, it causes the animal to have a dominant gene for horizontal stripes. When the animal is less fertile, the animal typically was born with two recessive genes for vertical stripes. ",,37,51,"Stripe direction may be linked to the amount of sperm a frog produces. If the stripes are going to the right then the frog may have more sperm than frogs whose stripes go to the left ",,2,47,,I can't think of any,5,51,,I can't think of any,59,82,"The curvet feet animals are able to reproduce more since they are able to travel faster and farther in areas with water. ",,60,67,"The curved feet helps with fertility since it makes it easier for the animal to navigate watery areas and to find potential mates, and the animal can move faster in water than on land since it is so lightweight ",,71,84,"Animals with curved feet are able to have more children since they are able to find more animals to reproduce with; they are able to move faster since they can swim, so they can easily swim to areas with lots of potential mates ",,41,51,"When frogs have higher sperm count, there ridges are higher on their back. ",,complete,,6640be7edc706d4622dbab1c
2026-04-23 13:03:16,2026-04-23 13:10:57,IP Address,*******,100,461,True,2026-04-23 13:10:58,R_5hnIbIACPcgPyRg,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",69399c2ed2323979b1e61f21,5,50,,I can't think of any,7,50,,I can't think of any,83,83,Again the curved shape could make grabbing more easy and promote higher fertility success.,,66,81,Having curbed feet could help the animal for easy handling.,,50,50,,I can't think of any,73,81,"I think rounded pads seem anatomically very inefficient. ",,92,88,Having nails probably would not help the act and just make things more difficult for the animal.,,11,87,Maybe the location of the ridges could affect how easy it is for the animal to either find a partner or perform the act.,,complete,,69399c2ed2323979b1e61f21
2026-04-23 13:06:00,2026-04-23 13:11:12,IP Address,*******,100,312,True,2026-04-23 13:11:13,R_5GdCqLZlnaGERDd,*******,*******,*******,*******,*******,*******,anonymous,EN,1,"Yes, I consent",69c7d03e953912aa321fe0e2,100,100,,I can't think of any,100,100,Stripe direction gives an idea,,81,96,Based on thw feet shape you can tell the fertility,,95,81,Foot shape,,89,79,,I can't think of any,68,73,This is also the case,,100,100,Foot shape,,60,,Same with these feet shape,,complete,,69c7d03e953912aa321fe0e2
