consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,reference_button_2.numClicks,reference_button_2.timesOn,reference_button_2.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,reference_button.numClicks,reference_button.timesOn,reference_button.timesOff,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,reference_show_count,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,001,2026-05-26_09h49.26.992,explain2,2025.1.1,Win32,59.95203837,69c5a8ac891de6b6718ebc94,6a1467432e19321b0c7d6ab2,6a15a4c35da0f439bc2ae8ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-05-26_09h49.26.992,explain2,2025.1.1,Win32,59.95203837,69c5a8ac891de6b6718ebc94,6a1467432e19321b0c7d6ab2,6a15a4c35da0f439bc2ae8ac,4.055,4.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-05-26_09h49.26.992,explain2,2025.1.1,Win32,59.95203837,69c5a8ac891de6b6718ebc94,6a1467432e19321b0c7d6ab2,6a15a4c35da0f439bc2ae8ac,,,4.055,13.565,1,[4.519999999999996],[4.519999999999996],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-05-26_09h49.26.992,explain2,2025.1.1,Win32,59.95203837,69c5a8ac891de6b6718ebc94,6a1467432e19321b0c7d6ab2,6a15a4c35da0f439bc2ae8ac,,,,,,,,13.565,24.775,1,[6.222999999999999],[6.222999999999999],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-05-26_09h49.26.992,explain2,2025.1.1,Win32,59.95203837,69c5a8ac891de6b6718ebc94,6a1467432e19321b0c7d6ab2,6a15a4c35da0f439bc2ae8ac,,,,,,,,,,,,,24.777,52.43,1,[22.668000000000006],[22.668000000000006],0,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-05-26_09h49.26.992,explain2,2025.1.1,Win32,59.95203837,69c5a8ac891de6b6718ebc94,6a1467432e19321b0c7d6ab2,6a15a4c35da0f439bc2ae8ac,,,,,,,,,,,,,,,,,,,,,52.431,65.525,1,[8.106000000000009],[8.106000000000009],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-05-26_09h49.26.992,explain2,2025.1.1,Win32,59.95203837,69c5a8ac891de6b6718ebc94,6a1467432e19321b0c7d6ab2,6a15a4c35da0f439bc2ae8ac,,,,,,,,,,,,,,,,,,,,,,,,,,65.53,106.944,1,[38.41500000000002],[38.41500000000002],Clawed feet and stripes that go from bottom left to top right.,1,[71.29899999999999],[71.416],106.944,107.943,0,0,0,0,1,C,E,E_C.png,training,1,1,10,high,feet,stripes,C,F,E,W,1,10_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-05-26_09h49.26.992,explain2,2025.1.1,Win32,59.95203837,69c5a8ac891de6b6718ebc94,6a1467432e19321b0c7d6ab2,6a15a4c35da0f439bc2ae8ac,,,,,,,,,,,,,,,,,,,,,,,,,,107.948,128.712,1,[17.78200000000001],[17.78200000000001],Webbed feet and stripes that go from bottom left to top right,1,[111.832],[111.916],128.712,129.711,0,1,1,1,1,F,E,E_F.png,training,1,2,4,low,feet,stripes,C,F,E,W,1,4_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-05-26_09h49.26.992,explain2,2025.1.1,Win32,59.95203837,69c5a8ac891de6b6718ebc94,6a1467432e19321b0c7d6ab2,6a15a4c35da0f439bc2ae8ac,,,,,,,,,,,,,,,,,,,,,,,,,,129.716,147.944,1,[15.246999999999986],[15.246999999999986],Clawed feet and stripes going from top left to bottom right.,1,[131.065],[131.132],147.944,148.944,0,2,2,2,1,C,W,W_C.png,training,1,3,6,high,feet,stripes,C,F,E,W,1,6_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-05-26_09h49.26.992,explain2,2025.1.1,Win32,59.95203837,69c5a8ac891de6b6718ebc94,6a1467432e19321b0c7d6ab2,6a15a4c35da0f439bc2ae8ac,,,,,,,,,,,,,,,,,,,,,,,,,,148.949,172.23,1,[20.299999999999983],[20.299999999999983],Webbed feet and stripes that go from top left to bottom right.,1,[151.482],[151.59900000000002],172.231,173.231,0,3,3,3,1,F,W,W_F.png,training,1,4,2,low,feet,stripes,C,F,E,W,1,2_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
