consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,reference_button_2.numClicks,reference_button_2.timesOn,reference_button_2.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,reference_button.numClicks,reference_button.timesOn,reference_button.timesOff,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,reference_show_count,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,012,2026-05-26_08h26.21.377,explain2,2025.1.1,Win32,60.60606061,66a72d05236826287427eeea,6a1467432e19321b0c7d6ab2,6a15bb7adc927c982b4745f7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-26_08h26.21.377,explain2,2025.1.1,Win32,60.60606061,66a72d05236826287427eeea,6a1467432e19321b0c7d6ab2,6a15bb7adc927c982b4745f7,11.3506,11.3507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-26_08h26.21.377,explain2,2025.1.1,Win32,60.60606061,66a72d05236826287427eeea,6a1467432e19321b0c7d6ab2,6a15bb7adc927c982b4745f7,,,11.3509,74.5403,1,[58.19480000019074],[58.19480000019074],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-26_08h26.21.377,explain2,2025.1.1,Win32,60.60606061,66a72d05236826287427eeea,6a1467432e19321b0c7d6ab2,6a15bb7adc927c982b4745f7,,,,,,,,74.5409,94.5903,1,[15.061900000095363],[15.061999999999998],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-26_08h26.21.377,explain2,2025.1.1,Win32,60.60606061,66a72d05236826287427eeea,6a1467432e19321b0c7d6ab2,6a15bb7adc927c982b4745f7,,,,,,,,,,,,,94.6002,166.4695,1,[66.89119999980926],[66.89119999980926],2,"[159.24040000009535,160.35750000000002]","[159.8564000000954,160.57299999999998]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-26_08h26.21.377,explain2,2025.1.1,Win32,60.60606061,66a72d05236826287427eeea,6a1467432e19321b0c7d6ab2,6a15bb7adc927c982b4745f7,,,,,,,,,,,,,,,,,,,,,166.4699,184.8707,1,[13.407899999856966],[13.407899999856966],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-26_08h26.21.377,explain2,2025.1.1,Win32,60.60606061,66a72d05236826287427eeea,6a1467432e19321b0c7d6ab2,6a15bb7adc927c982b4745f7,,,,,,,,,,,,,,,,,,,,,,,,,,184.882,241.5072,1,[53.63509999990461],[53.63519999980926],This little guy has vertical lines.,0,[],[],241.5081,242.5011,0,0,0,0,1,C,E,E_C.png,training,1,1,6,high,stripes,feet,E,W,F,C,12,6_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-26_08h26.21.377,explain2,2025.1.1,Win32,60.60606061,66a72d05236826287427eeea,6a1467432e19321b0c7d6ab2,6a15bb7adc927c982b4745f7,,,,,,,,,,,,,,,,,,,,,,,,,,242.5062,270.0369,1,[24.54090000009535],[24.540999999999997],Vertical lines seem to be fairly fertile.,0,[],[],270.0372,271.0337,0,1,1,1,1,F,E,E_F.png,training,1,2,10,high,stripes,feet,E,W,F,C,12,10_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-26_08h26.21.377,explain2,2025.1.1,Win32,60.60606061,66a72d05236826287427eeea,6a1467432e19321b0c7d6ab2,6a15bb7adc927c982b4745f7,,,,,,,,,,,,,,,,,,,,,,,,,,271.04,293.7451,1,[19.713499999999954],[19.713499999999954],Angled lines have the fertility of 1,0,[],[],293.7453,294.7452,0,2,2,2,1,C,W,W_C.png,training,1,3,1,low,stripes,feet,E,W,F,C,12,1_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-26_08h26.21.377,explain2,2025.1.1,Win32,60.60606061,66a72d05236826287427eeea,6a1467432e19321b0c7d6ab2,6a15bb7adc927c982b4745f7,,,,,,,,,,,,,,,,,,,,,,,,,,294.7577,319.8039,1,[22.058500000000038],[22.058500000000038],Now the angled lines have the fertility of 5,0,[],[],319.804,320.7971,0,3,3,3,1,F,W,W_F.png,training,1,4,5,low,stripes,feet,E,W,F,C,12,5_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-26_08h26.21.377,explain2,2025.1.1,Win32,60.60606061,66a72d05236826287427eeea,6a1467432e19321b0c7d6ab2,6a15bb7adc927c982b4745f7,,,,,,,,,,,,,,,,,,,,,,,,,,320.8026,332.1975,1,[8.400400000095374],[8.400400000095374],Angled now has 6,0,[],[],332.1978,333.1958,0,4,4,4,1,F,W,W_F.png,training,2,5,6,low,stripes,feet,E,W,F,C,12,6_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-26_08h26.21.377,explain2,2025.1.1,Win32,60.60606061,66a72d05236826287427eeea,6a1467432e19321b0c7d6ab2,6a15bb7adc927c982b4745f7,,,,,,,,,,,,,,,,,,,,,,,,,,333.2032,344.1535,1,[7.967099999904633],[7.967099999904633],Angled is now at 2,0,[],[],344.1536,345.1521,0,5,5,5,1,C,W,W_C.png,training,2,6,2,low,stripes,feet,E,W,F,C,12,2_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-26_08h26.21.377,explain2,2025.1.1,Win32,60.60606061,66a72d05236826287427eeea,6a1467432e19321b0c7d6ab2,6a15bb7adc927c982b4745f7,,,,,,,,,,,,,,,,,,,,,,,,,,345.163,356.7218,1,[8.589099999904647],[8.589099999904647],Vertical is at 10 now,0,[],[],356.7221,357.7188,0,6,6,6,1,C,E,E_C.png,training,2,7,10,high,stripes,feet,E,W,F,C,12,10_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-26_08h26.21.377,explain2,2025.1.1,Win32,60.60606061,66a72d05236826287427eeea,6a1467432e19321b0c7d6ab2,6a15bb7adc927c982b4745f7,,,,,,,,,,,,,,,,,,,,,,,,,,357.7223,370.321,1,[9.608299999952294],[9.608299999952294],Vertical is at 10 again,0,[],[],370.3211,371.3119,0,7,7,7,1,F,E,E_F.png,training,2,8,10,high,stripes,feet,E,W,F,C,12,10_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-26_08h26.21.377,explain2,2025.1.1,Win32,60.60606061,66a72d05236826287427eeea,6a1467432e19321b0c7d6ab2,6a15bb7adc927c982b4745f7,,,,,,,,,,,,,,,,,,,,,,,,,,371.3216,381.1829,1,[6.870200000047703],[6.870200000047703],Vertical is at 6,0,[],[],381.1831,382.1777,0,8,8,8,1,F,E,E_F.png,training,3,9,6,high,stripes,feet,E,W,F,C,12,6_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-26_08h26.21.377,explain2,2025.1.1,Win32,60.60606061,66a72d05236826287427eeea,6a1467432e19321b0c7d6ab2,6a15bb7adc927c982b4745f7,,,,,,,,,,,,,,,,,,,,,,,,,,382.1822,392.7547,1,[7.575599999904625],[7.575599999904625],Angled at 6,0,[],[],392.7549,393.75,0,9,9,9,1,F,W,W_F.png,training,3,10,6,low,stripes,feet,E,W,F,C,12,6_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-26_08h26.21.377,explain2,2025.1.1,Win32,60.60606061,66a72d05236826287427eeea,6a1467432e19321b0c7d6ab2,6a15bb7adc927c982b4745f7,,,,,,,,,,,,,,,,,,,,,,,,,,393.7555,401.9631,1,[5.228099999904657],[5.228099999904657],Angled at 5,0,[],[],401.9633,402.9616,0,10,10,10,1,C,W,W_C.png,training,3,11,5,low,stripes,feet,E,W,F,C,12,5_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-26_08h26.21.377,explain2,2025.1.1,Win32,60.60606061,66a72d05236826287427eeea,6a1467432e19321b0c7d6ab2,6a15bb7adc927c982b4745f7,,,,,,,,,,,,,,,,,,,,,,,,,,402.9669,411.0723,1,[5.108299999952294],[5.108299999952294],Vertical at 6,0,[],[],411.0725,412.0698,0,11,11,11,1,C,E,E_C.png,training,3,12,6,high,stripes,feet,E,W,F,C,12,6_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-26_08h26.21.377,explain2,2025.1.1,Win32,60.60606061,66a72d05236826287427eeea,6a1467432e19321b0c7d6ab2,6a15bb7adc927c982b4745f7,,,,,,,,,,,,,,,,,,,,,,,,,,412.0757,419.4903,1,[4.4235999999046385],[4.4235999999046385],Angled at 4,0,[],[],419.4905,420.4785,0,12,12,12,1,C,W,W_C.png,training,4,13,4,low,stripes,feet,E,W,F,C,12,4_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
