consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,half_instruct_2.started,half_instruct_2.stopped,button_half.numClicks,button_half.timesOn,button_half.timesOff,half_instruct_loop.thisRepN,half_instruct_loop.thisTrialN,half_instruct_loop.thisN,half_instruct_loop.thisIndex,half_instruct_loop.ran,half_questions.started,half_questions.stopped,continuous_slider_mid.response,continuous_slider_mid.rt,discrete_slider_mid.response,discrete_slider_mid.rt,direction_slider_mid.response,direction_slider_mid.rt,button_mid.numClicks,button_mid.timesOn,button_mid.timesOff,midpoint_loop.thisRepN,midpoint_loop.thisTrialN,midpoint_loop.thisN,midpoint_loop.thisIndex,midpoint_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label_mid,half_isi_loop.thisRepN,half_isi_loop.thisTrialN,half_isi_loop.thisN,half_isi_loop.thisIndex,half_isi_loop.ran,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,058,2026-06-04_15h04.03.257,explain2,2025.1.1,iPhone,43.47826087,6a0ccf4fae3b8559e2c08556,6a21d5d599f968bc9253a998,6a21d9e6e10b72bd897d240e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,058,2026-06-04_15h04.03.257,explain2,2025.1.1,iPhone,43.47826087,6a0ccf4fae3b8559e2c08556,6a21d5d599f968bc9253a998,6a21d9e6e10b72bd897d240e,16.711,16.711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,058,2026-06-04_15h04.03.257,explain2,2025.1.1,iPhone,43.47826087,6a0ccf4fae3b8559e2c08556,6a21d5d599f968bc9253a998,6a21d9e6e10b72bd897d240e,,,16.713,23.865,1,[2.155000000000001],[2.155000000000001],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,058,2026-06-04_15h04.03.257,explain2,2025.1.1,iPhone,43.47826087,6a0ccf4fae3b8559e2c08556,6a21d5d599f968bc9253a998,6a21d9e6e10b72bd897d240e,,,,,,,,23.865,33.679,1,[4.8230000000000075],[4.8230000000000075],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,058,2026-06-04_15h04.03.257,explain2,2025.1.1,iPhone,43.47826087,6a0ccf4fae3b8559e2c08556,6a21d5d599f968bc9253a998,6a21d9e6e10b72bd897d240e,,,,,,,,,,,,,33.68,114.75,1,[76.07900000000001],[76.07900000000001],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,058,2026-06-04_15h04.03.257,explain2,2025.1.1,iPhone,43.47826087,6a0ccf4fae3b8559e2c08556,6a21d5d599f968bc9253a998,6a21d9e6e10b72bd897d240e,,,,,,,,,,,,,,,,,,114.752,126.099,1,[6.3559999999999945],[6.3559999999999945],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,058,2026-06-04_15h04.03.257,explain2,2025.1.1,iPhone,43.47826087,6a0ccf4fae3b8559e2c08556,6a21d5d599f968bc9253a998,6a21d9e6e10b72bd897d240e,,,,,,,,,,,,,,,,,,,,,,,126.118,150.484,1,[21.375],[21.375],The stripes are angled left to right,150.487,151.488,0,0,0,0,1,F,E,E_F.png,training,1,1,4,low,stripes,feet,W,E,C,F,58,4_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,058,2026-06-04_15h04.03.257,explain2,2025.1.1,iPhone,43.47826087,6a0ccf4fae3b8559e2c08556,6a21d5d599f968bc9253a998,6a21d9e6e10b72bd897d240e,,,,,,,,,,,,,,,,,,,,,,,151.504,163.145,1,[8.650999999999982],[8.650999999999982],The stripes are angled right to left,163.146,164.137,0,1,1,1,1,C,W,W_C.png,training,1,2,6,high,stripes,feet,W,E,C,F,58,6_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,058,2026-06-04_15h04.03.257,explain2,2025.1.1,iPhone,43.47826087,6a0ccf4fae3b8559e2c08556,6a21d5d599f968bc9253a998,6a21d9e6e10b72bd897d240e,,,,,,,,,,,,,,,,,,,,,,,164.146,183.627,1,[16.488999999999976],[16.488999999999976],The stripes are angled right to left and the toes are webbed,183.627,184.619,0,2,2,2,1,F,W,W_F.png,training,1,3,8,high,stripes,feet,W,E,C,F,58,8_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,058,2026-06-04_15h04.03.257,explain2,2025.1.1,iPhone,43.47826087,6a0ccf4fae3b8559e2c08556,6a21d5d599f968bc9253a998,6a21d9e6e10b72bd897d240e,,,,,,,,,,,,,,,,,,,,,,,184.63,194.278,1,[6.660000000000082],[6.660000000000082],The toes are curled,194.279,195.268,0,3,3,3,1,C,E,E_C.png,training,1,4,4,low,stripes,feet,W,E,C,F,58,4_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
