consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,half_instruct_2.started,half_instruct_2.stopped,button_half.numClicks,button_half.timesOn,button_half.timesOff,half_instruct_loop.thisRepN,half_instruct_loop.thisTrialN,half_instruct_loop.thisN,half_instruct_loop.thisIndex,half_instruct_loop.ran,half_questions.started,half_questions.stopped,continuous_slider_mid.response,continuous_slider_mid.rt,discrete_slider_mid.response,discrete_slider_mid.rt,direction_slider_mid.response,direction_slider_mid.rt,button_mid.numClicks,button_mid.timesOn,button_mid.timesOff,midpoint_loop.thisRepN,midpoint_loop.thisTrialN,midpoint_loop.thisN,midpoint_loop.thisIndex,midpoint_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label_mid,half_isi_loop.thisRepN,half_isi_loop.thisTrialN,half_isi_loop.thisN,half_isi_loop.thisIndex,half_isi_loop.ran,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,101,2026-06-04_16h05.05.016,explain2,2025.1.1,iPhone,52.63157895,694ef26d73d5192cdd31bdd0,6a21d5d599f968bc9253a998,6a21da2c6fcf0b4f27b86637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-06-04_16h05.05.016,explain2,2025.1.1,iPhone,52.63157895,694ef26d73d5192cdd31bdd0,6a21d5d599f968bc9253a998,6a21da2c6fcf0b4f27b86637,5.482,5.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-06-04_16h05.05.016,explain2,2025.1.1,iPhone,52.63157895,694ef26d73d5192cdd31bdd0,6a21d5d599f968bc9253a998,6a21da2c6fcf0b4f27b86637,,,5.483,13.01,1,[2.5379999999999967],[2.5379999999999967],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-06-04_16h05.05.016,explain2,2025.1.1,iPhone,52.63157895,694ef26d73d5192cdd31bdd0,6a21d5d599f968bc9253a998,6a21da2c6fcf0b4f27b86637,,,,,,,,13.01,24.491,1,[6.487000000000009],[6.487000000000009],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-06-04_16h05.05.016,explain2,2025.1.1,iPhone,52.63157895,694ef26d73d5192cdd31bdd0,6a21d5d599f968bc9253a998,6a21da2c6fcf0b4f27b86637,,,,,,,,,,,,,24.492,34.087,1,[4.603999999999999],[4.603999999999999],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-06-04_16h05.05.016,explain2,2025.1.1,iPhone,52.63157895,694ef26d73d5192cdd31bdd0,6a21d5d599f968bc9253a998,6a21da2c6fcf0b4f27b86637,,,,,,,,,,,,,,,,,,34.088,46.368,1,[7.286999999999978],[7.286999999999978],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-06-04_16h05.05.016,explain2,2025.1.1,iPhone,52.63157895,694ef26d73d5192cdd31bdd0,6a21d5d599f968bc9253a998,6a21da2c6fcf0b4f27b86637,,,,,,,,,,,,,,,,,,,,,,,46.382,71.56,1,[22.180999999999997],[22.180999999999997],This reptile does not have webbed feet.,71.56,72.554,0,0,0,0,1,C,W,W_C.png,training,1,1,8,high,feet,stripes,C,F,W,E,101,8_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-06-04_16h05.05.016,explain2,2025.1.1,iPhone,52.63157895,694ef26d73d5192cdd31bdd0,6a21d5d599f968bc9253a998,6a21da2c6fcf0b4f27b86637,,,,,,,,,,,,,,,,,,,,,,,72.563,92.332,1,[16.781000000000006],[16.781000000000006],This reptile does not have webbed feet.,92.333,93.329,0,1,1,1,1,C,E,E_C.png,training,1,2,8,high,feet,stripes,C,F,W,E,101,8_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-06-04_16h05.05.016,explain2,2025.1.1,iPhone,52.63157895,694ef26d73d5192cdd31bdd0,6a21d5d599f968bc9253a998,6a21da2c6fcf0b4f27b86637,,,,,,,,,,,,,,,,,,,,,,,93.336,126.571,1,[30.24199999999999],[30.24199999999999],This reptile has webbed feet.,126.572,127.567,0,2,2,2,1,F,W,W_F.png,training,1,3,4,low,feet,stripes,C,F,W,E,101,4_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-06-04_16h05.05.016,explain2,2025.1.1,iPhone,52.63157895,694ef26d73d5192cdd31bdd0,6a21d5d599f968bc9253a998,6a21da2c6fcf0b4f27b86637,,,,,,,,,,,,,,,,,,,,,,,127.574,137.148,1,[6.581999999999994],[6.581999999999994],This reptile has webbed feet.,137.149,138.146,0,3,3,3,1,F,E,E_F.png,training,1,4,1,low,feet,stripes,C,F,W,E,101,1_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_C.png,Resources/E_F.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
