consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,half_instruct_2.started,half_instruct_2.stopped,button_half.numClicks,button_half.timesOn,button_half.timesOff,half_instruct_loop.thisRepN,half_instruct_loop.thisTrialN,half_instruct_loop.thisN,half_instruct_loop.thisIndex,half_instruct_loop.ran,half_questions.started,half_questions.stopped,continuous_slider_mid.response,continuous_slider_mid.rt,discrete_slider_mid.response,discrete_slider_mid.rt,direction_slider_mid.response,direction_slider_mid.rt,button_mid.numClicks,button_mid.timesOn,button_mid.timesOff,midpoint_loop.thisRepN,midpoint_loop.thisTrialN,midpoint_loop.thisN,midpoint_loop.thisIndex,midpoint_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,half_isi_loop.thisRepN,half_isi_loop.thisTrialN,half_isi_loop.thisN,half_isi_loop.thisIndex,half_isi_loop.ran,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,151,2026-06-04_16h20.25.733,explain2,2025.1.1,Win32,121.9512195,69f27611bd86f7418fba0854,6a21d5d599f968bc9253a998,6a21dab511338071b9019a71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,151,2026-06-04_16h20.25.733,explain2,2025.1.1,Win32,121.9512195,69f27611bd86f7418fba0854,6a21d5d599f968bc9253a998,6a21dab511338071b9019a71,10.1827,10.1832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,151,2026-06-04_16h20.25.733,explain2,2025.1.1,Win32,121.9512195,69f27611bd86f7418fba0854,6a21d5d599f968bc9253a998,6a21dab511338071b9019a71,,,10.1837,24.1159,1,[8.93950000000001],[8.93950000000001],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,151,2026-06-04_16h20.25.733,explain2,2025.1.1,Win32,121.9512195,69f27611bd86f7418fba0854,6a21d5d599f968bc9253a998,6a21dab511338071b9019a71,,,,,,,,24.1163,38.4545,1,[9.336399999976152],[9.336500000000001],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,151,2026-06-04_16h20.25.733,explain2,2025.1.1,Win32,121.9512195,69f27611bd86f7418fba0854,6a21d5d599f968bc9253a998,6a21dab511338071b9019a71,,,,,,,,,,,,,38.4556,46.4073,1,[2.9521999999880677],[2.9521999999880677],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,151,2026-06-04_16h20.25.733,explain2,2025.1.1,Win32,121.9512195,69f27611bd86f7418fba0854,6a21d5d599f968bc9253a998,6a21dab511338071b9019a71,,,,,,,,,,,,,,,,,,46.4096,56.1958,1,[4.7913000000119155],[4.7913000000119155],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,151,2026-06-04_16h20.25.733,explain2,2025.1.1,Win32,121.9512195,69f27611bd86f7418fba0854,6a21d5d599f968bc9253a998,6a21dab511338071b9019a71,,,,,,,,,,,,,,,,,,,,,,,56.2115,122.5857,1,[63.380199999988065],[63.380199999988065],it looks urly and not webbed and the stripes are angled up and to the right,122.5862,123.5854,0,0,0,0,1,C,W,W_C.png,training,1,1,4,low,feet,stripes,F,C,W,E,151,4_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,151,2026-06-04_16h20.25.733,explain2,2025.1.1,Win32,121.9512195,69f27611bd86f7418fba0854,6a21d5d599f968bc9253a998,6a21dab511338071b9019a71,,,,,,,,,,,,,,,,,,,,,,,123.6004,143.2235,1,[16.63510000002384],[16.63510000002384],it looks curly and not webbed,143.2238,144.2201,0,1,1,1,1,C,E,E_C.png,training,1,2,4,low,feet,stripes,F,C,W,E,151,4_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,151,2026-06-04_16h20.25.733,explain2,2025.1.1,Win32,121.9512195,69f27611bd86f7418fba0854,6a21d5d599f968bc9253a998,6a21dab511338071b9019a71,,,,,,,,,,,,,,,,,,,,,,,144.2289,187.9985,1,[40.769399999976144],[40.769399999976144],the reptile has curly feet,187.9987,188.9917,0,2,2,2,1,F,W,W_F.png,training,1,3,8,high,feet,stripes,F,C,W,E,151,8_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,151,2026-06-04_16h20.25.733,explain2,2025.1.1,Win32,121.9512195,69f27611bd86f7418fba0854,6a21d5d599f968bc9253a998,6a21dab511338071b9019a71,,,,,,,,,,,,,,,,,,,,,,,189.0056,237.8732,1,[45.869899999976155],[45.870099999964225],it has curlyfeet and stripes angled to the right,237.8733,238.8752,0,3,3,3,1,F,E,E_F.png,training,1,4,8,high,feet,stripes,F,C,W,E,151,8_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
