consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,half_instruct_2.started,half_instruct_2.stopped,button_half.numClicks,button_half.timesOn,button_half.timesOff,half_instruct_loop.thisRepN,half_instruct_loop.thisTrialN,half_instruct_loop.thisN,half_instruct_loop.thisIndex,half_instruct_loop.ran,half_questions.started,half_questions.stopped,continuous_slider_mid.response,continuous_slider_mid.rt,discrete_slider_mid.response,discrete_slider_mid.rt,direction_slider_mid.response,direction_slider_mid.rt,button_mid.numClicks,button_mid.timesOn,button_mid.timesOff,midpoint_loop.thisRepN,midpoint_loop.thisTrialN,midpoint_loop.thisN,midpoint_loop.thisIndex,midpoint_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,half_isi_loop.thisRepN,half_isi_loop.thisTrialN,half_isi_loop.thisN,half_isi_loop.thisIndex,half_isi_loop.ran,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,154,2026-06-04_16h07.47.563,explain2,2025.1.1,Win32,119.9040767,69ff9292bba93acd1d173d1d,6a21d5d599f968bc9253a998,6a21dab96c1134aa5096c93b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,154,2026-06-04_16h07.47.563,explain2,2025.1.1,Win32,119.9040767,69ff9292bba93acd1d173d1d,6a21d5d599f968bc9253a998,6a21dab96c1134aa5096c93b,63.757,63.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,154,2026-06-04_16h07.47.563,explain2,2025.1.1,Win32,119.9040767,69ff9292bba93acd1d173d1d,6a21d5d599f968bc9253a998,6a21dab96c1134aa5096c93b,,,63.757,93.521,1,[24.77000000000001],[24.77000000000001],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,154,2026-06-04_16h07.47.563,explain2,2025.1.1,Win32,119.9040767,69ff9292bba93acd1d173d1d,6a21d5d599f968bc9253a998,6a21dab96c1134aa5096c93b,,,,,,,,93.521,119.459,1,[20.94399999999999],[20.94399999999999],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,154,2026-06-04_16h07.47.563,explain2,2025.1.1,Win32,119.9040767,69ff9292bba93acd1d173d1d,6a21d5d599f968bc9253a998,6a21dab96c1134aa5096c93b,,,,,,,,,,,,,119.459,149.254,1,[24.802999999999997],[24.802999999999997],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,154,2026-06-04_16h07.47.563,explain2,2025.1.1,Win32,119.9040767,69ff9292bba93acd1d173d1d,6a21d5d599f968bc9253a998,6a21dab96c1134aa5096c93b,,,,,,,,,,,,,,,,,,149.255,177.675,1,[23.429000000000002],[23.429000000000002],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,154,2026-06-04_16h07.47.563,explain2,2025.1.1,Win32,119.9040767,69ff9292bba93acd1d173d1d,6a21d5d599f968bc9253a998,6a21dab96c1134aa5096c93b,,,,,,,,,,,,,,,,,,,,,,,177.679,243.336,1,[62.65899999999999],[62.65899999999999],It has feet with points on the toes,243.34,244.335,0,0,0,0,1,C,W,W_C.png,training,1,1,7,high,stripes,feet,W,E,F,C,154,7_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,154,2026-06-04_16h07.47.563,explain2,2025.1.1,Win32,119.9040767,69ff9292bba93acd1d173d1d,6a21d5d599f968bc9253a998,6a21dab96c1134aa5096c93b,,,,,,,,,,,,,,,,,,,,,,,244.339,276.982,1,[29.644999999999982],[29.644999999999982],This animal has more webbed feet and spines that point up and to the right ,276.986,278.005,0,1,1,1,1,F,E,E_F.png,training,1,2,9,low,stripes,feet,W,E,F,C,154,9_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,154,2026-06-04_16h07.47.563,explain2,2025.1.1,Win32,119.9040767,69ff9292bba93acd1d173d1d,6a21d5d599f968bc9253a998,6a21dab96c1134aa5096c93b,,,,,,,,,,,,,,,,,,,,,,,278.008,307.245,1,[26.237000000000023],[26.237000000000023],"This reptile has webbed feet and spines that go up and to the left, which are lowering its score. ",307.25,308.245,0,2,2,2,1,F,W,W_F.png,training,1,3,8,high,stripes,feet,W,E,F,C,154,8_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,154,2026-06-04_16h07.47.563,explain2,2025.1.1,Win32,119.9040767,69ff9292bba93acd1d173d1d,6a21d5d599f968bc9253a998,6a21dab96c1134aa5096c93b,,,,,,,,,,,,,,,,,,,,,,,308.248,359.878,1,[48.632000000000005],[48.632000000000005],"This reptile has pointed toes, reducing its fertilityIt has spines that go up and to the right, which may be boosting fertility ever so slightly.",359.884,360.877,0,3,3,3,1,C,E,E_C.png,training,1,4,2,low,stripes,feet,W,E,F,C,154,2_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
