consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,half_instruct_2.started,half_instruct_2.stopped,button_half.numClicks,button_half.timesOn,button_half.timesOff,half_instruct_loop.thisRepN,half_instruct_loop.thisTrialN,half_instruct_loop.thisN,half_instruct_loop.thisIndex,half_instruct_loop.ran,half_questions.started,half_questions.stopped,continuous_slider_mid.response,continuous_slider_mid.rt,discrete_slider_mid.response,discrete_slider_mid.rt,direction_slider_mid.response,direction_slider_mid.rt,button_mid.numClicks,button_mid.timesOn,button_mid.timesOff,direction_response_label_mid,midpoint_loop.thisRepN,midpoint_loop.thisTrialN,midpoint_loop.thisN,midpoint_loop.thisIndex,midpoint_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,half_isi_loop.thisRepN,half_isi_loop.thisTrialN,half_isi_loop.thisN,half_isi_loop.thisIndex,half_isi_loop.ran,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,164,2026-06-04_15h08.13.596,explain2,2025.1.1,Win32,59.52380952,6a19f6aaa1fa810120177a68,6a21d5d599f968bc9253a998,6a21dac7d47f62eb0ba0ee60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,164,2026-06-04_15h08.13.596,explain2,2025.1.1,Win32,59.52380952,6a19f6aaa1fa810120177a68,6a21d5d599f968bc9253a998,6a21dac7d47f62eb0ba0ee60,186.0008,186.0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,164,2026-06-04_15h08.13.596,explain2,2025.1.1,Win32,59.52380952,6a19f6aaa1fa810120177a68,6a21d5d599f968bc9253a998,6a21dac7d47f62eb0ba0ee60,,,186.0016,200.0513,1,[9.061599999427756],[9.061599999427756],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,164,2026-06-04_15h08.13.596,explain2,2025.1.1,Win32,59.52380952,6a19f6aaa1fa810120177a68,6a21d5d599f968bc9253a998,6a21dac7d47f62eb0ba0ee60,,,,,,,,200.0517,219.7058,1,[14.654700000762887],[14.654700000762887],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,164,2026-06-04_15h08.13.596,explain2,2025.1.1,Win32,59.52380952,6a19f6aaa1fa810120177a68,6a21d5d599f968bc9253a998,6a21dac7d47f62eb0ba0ee60,,,,,,,,,,,,,219.7063,237.7607,1,[13.054399999618568],[13.054399999618568],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,164,2026-06-04_15h08.13.596,explain2,2025.1.1,Win32,59.52380952,6a19f6aaa1fa810120177a68,6a21d5d599f968bc9253a998,6a21dac7d47f62eb0ba0ee60,,,,,,,,,,,,,,,,,,237.7611,256.2489,1,[13.495400000572204],[13.495499999999993],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,164,2026-06-04_15h08.13.596,explain2,2025.1.1,Win32,59.52380952,6a19f6aaa1fa810120177a68,6a21d5d599f968bc9253a998,6a21dac7d47f62eb0ba0ee60,,,,,,,,,,,,,,,,,,,,,,,256.2624,304.1643,1,[44.90519999980927],[44.90530000019072],The reptile looks very young.,304.1648,305.1611,0,0,0,0,1,C,E,E_C.png,training,1,1,6,high,stripes,feet,E,W,C,F,164,6_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,164,2026-06-04_15h08.13.596,explain2,2025.1.1,Win32,59.52380952,6a19f6aaa1fa810120177a68,6a21d5d599f968bc9253a998,6a21dac7d47f62eb0ba0ee60,,,,,,,,,,,,,,,,,,,,,,,305.1689,319.8344,1,[11.679100000381482],[11.679100000381482],The reptile looks too young. ,319.8346,320.8314,0,1,1,1,1,F,W,W_F.png,training,1,2,6,low,stripes,feet,E,W,C,F,164,6_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,164,2026-06-04_15h08.13.596,explain2,2025.1.1,Win32,59.52380952,6a19f6aaa1fa810120177a68,6a21d5d599f968bc9253a998,6a21dac7d47f62eb0ba0ee60,,,,,,,,,,,,,,,,,,,,,,,320.838,340.1894,1,[16.355299999237047],[16.3553999996185],It is a little bit older now?,340.1897,341.1868,0,2,2,2,1,F,E,E_F.png,training,1,3,8,high,stripes,feet,E,W,C,F,164,8_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,164,2026-06-04_15h08.13.596,explain2,2025.1.1,Win32,59.52380952,6a19f6aaa1fa810120177a68,6a21d5d599f968bc9253a998,6a21dac7d47f62eb0ba0ee60,,,,,,,,,,,,,,,,,,,,,,,341.1932,357.278,1,[13.088100000381417],[13.088100000381417],It is the same reptile as before.,357.2783,358.2675,0,3,3,3,1,C,W,W_C.png,training,1,4,8,low,stripes,feet,E,W,C,F,164,8_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
