consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,half_instruct_2.started,half_instruct_2.stopped,button_half.numClicks,button_half.timesOn,button_half.timesOff,half_instruct_loop.thisRepN,half_instruct_loop.thisTrialN,half_instruct_loop.thisN,half_instruct_loop.thisIndex,half_instruct_loop.ran,half_questions.started,half_questions.stopped,continuous_slider_mid.response,continuous_slider_mid.rt,discrete_slider_mid.response,discrete_slider_mid.rt,direction_slider_mid.response,direction_slider_mid.rt,button_mid.numClicks,button_mid.timesOn,button_mid.timesOff,direction_response_label_mid,midpoint_loop.thisRepN,midpoint_loop.thisTrialN,midpoint_loop.thisN,midpoint_loop.thisIndex,midpoint_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,half_isi_loop.thisRepN,half_isi_loop.thisTrialN,half_isi_loop.thisN,half_isi_loop.thisIndex,half_isi_loop.ran,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,166,2026-06-04_16h07.19.692,explain2,2025.1.1,Win32,59.17159763,6a159718b3fd9d2bf0a6c0fa,6a21d5d599f968bc9253a998,6a21dac876cf002e74b5703b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,166,2026-06-04_16h07.19.692,explain2,2025.1.1,Win32,59.17159763,6a159718b3fd9d2bf0a6c0fa,6a21d5d599f968bc9253a998,6a21dac876cf002e74b5703b,30.9152,30.9154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,166,2026-06-04_16h07.19.692,explain2,2025.1.1,Win32,59.17159763,6a159718b3fd9d2bf0a6c0fa,6a21d5d599f968bc9253a998,6a21dac876cf002e74b5703b,,,30.9158,48.1752,1,[12.266999999999996],[12.266999999999996],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,166,2026-06-04_16h07.19.692,explain2,2025.1.1,Win32,59.17159763,6a159718b3fd9d2bf0a6c0fa,6a21d5d599f968bc9253a998,6a21dac876cf002e74b5703b,,,,,,,,48.1754,68.7417,1,[15.566500000000005],[15.566500000000005],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,166,2026-06-04_16h07.19.692,explain2,2025.1.1,Win32,59.17159763,6a159718b3fd9d2bf0a6c0fa,6a21d5d599f968bc9253a998,6a21dac876cf002e74b5703b,,,,,,,,,,,,,68.7418,95.8419,1,[22.09999999999998],[22.09999999999998],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,166,2026-06-04_16h07.19.692,explain2,2025.1.1,Win32,59.17159763,6a159718b3fd9d2bf0a6c0fa,6a21d5d599f968bc9253a998,6a21dac876cf002e74b5703b,,,,,,,,,,,,,,,,,,95.8421,125.6422,1,[24.8005],[24.8005],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,166,2026-06-04_16h07.19.692,explain2,2025.1.1,Win32,59.17159763,6a159718b3fd9d2bf0a6c0fa,6a21d5d599f968bc9253a998,6a21dac876cf002e74b5703b,,,,,,,,,,,,,,,,,,,,,,,125.6498,185.1764,1,[56.53359999999404],[56.53359999999404],The reptile is bright and colorful with visual stripes so it may be more appealing to the eye.,185.1767,186.1757,0,0,0,0,1,F,W,W_F.png,training,1,1,7,high,stripes,feet,W,E,F,C,166,7_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,166,2026-06-04_16h07.19.692,explain2,2025.1.1,Win32,59.17159763,6a159718b3fd9d2bf0a6c0fa,6a21d5d599f968bc9253a998,6a21dac876cf002e74b5703b,,,,,,,,,,,,,,,,,,,,,,,186.1808,226.5838,1,[37.42470000001791],[37.42480000001197],The stripes on this reptile are going down so that may be unappealing.,226.5838,227.5752,0,1,1,1,1,C,E,E_C.png,training,1,2,5,low,stripes,feet,W,E,F,C,166,5_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,166,2026-06-04_16h07.19.692,explain2,2025.1.1,Win32,59.17159763,6a159718b3fd9d2bf0a6c0fa,6a21d5d599f968bc9253a998,6a21dac876cf002e74b5703b,,,,,,,,,,,,,,,,,,,,,,,227.5779,290.7101,1,[60.133800000011945],[60.133800000011945],The stripes are not equal in relevance to another but still may be a bit more appealing than another reptile.,290.7103,291.6991,0,2,2,2,1,C,W,W_C.png,training,1,3,6,high,stripes,feet,W,E,F,C,166,6_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,166,2026-06-04_16h07.19.692,explain2,2025.1.1,Win32,59.17159763,6a159718b3fd9d2bf0a6c0fa,6a21d5d599f968bc9253a998,6a21dac876cf002e74b5703b,,,,,,,,,,,,,,,,,,,,,,,291.7026,330.6427,1,[35.950300000011964],[35.950300000011964],The stripes appear to be going down so the appeal is less.,330.6428,331.642,0,3,3,3,1,F,E,E_F.png,training,1,4,5,low,stripes,feet,W,E,F,C,166,5_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
