consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,half_instruct_2.started,half_instruct_2.stopped,button_half.numClicks,button_half.timesOn,button_half.timesOff,half_instruct_loop.thisRepN,half_instruct_loop.thisTrialN,half_instruct_loop.thisN,half_instruct_loop.thisIndex,half_instruct_loop.ran,half_questions.started,half_questions.stopped,continuous_slider_mid.response,continuous_slider_mid.rt,discrete_slider_mid.response,discrete_slider_mid.rt,direction_slider_mid.response,direction_slider_mid.rt,button_mid.numClicks,button_mid.timesOn,button_mid.timesOff,midpoint_loop.thisRepN,midpoint_loop.thisTrialN,midpoint_loop.thisN,midpoint_loop.thisIndex,midpoint_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label_mid,half_isi_loop.thisRepN,half_isi_loop.thisTrialN,half_isi_loop.thisN,half_isi_loop.thisIndex,half_isi_loop.ran,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,249,2026-06-04_17h28.03.870,explain2,2025.1.1,Win32,29.85074627,6a0ba758aa0bfaee254de501,6a21d5d599f968bc9253a998,6a21ecf0cf31613f8b4e5826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249,2026-06-04_17h28.03.870,explain2,2025.1.1,Win32,29.85074627,6a0ba758aa0bfaee254de501,6a21d5d599f968bc9253a998,6a21ecf0cf31613f8b4e5826,44.9278,44.9287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249,2026-06-04_17h28.03.870,explain2,2025.1.1,Win32,29.85074627,6a0ba758aa0bfaee254de501,6a21d5d599f968bc9253a998,6a21ecf0cf31613f8b4e5826,,,44.9306,87.725,1,[37.79680000001193],[37.79680000001193],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249,2026-06-04_17h28.03.870,explain2,2025.1.1,Win32,29.85074627,6a0ba758aa0bfaee254de501,6a21d5d599f968bc9253a998,6a21ecf0cf31613f8b4e5826,,,,,,,,87.726,99.5579,1,[6.833199999988096],[6.833199999988096],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249,2026-06-04_17h28.03.870,explain2,2025.1.1,Win32,29.85074627,6a0ba758aa0bfaee254de501,6a21d5d599f968bc9253a998,6a21ecf0cf31613f8b4e5826,,,,,,,,,,,,,99.5591,108.924,1,[4.365499999999997],[4.365600000023846],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249,2026-06-04_17h28.03.870,explain2,2025.1.1,Win32,29.85074627,6a0ba758aa0bfaee254de501,6a21d5d599f968bc9253a998,6a21ecf0cf31613f8b4e5826,,,,,,,,,,,,,,,,,,108.9254,162.1031,1,[48.17949999999996],[48.17949999999996],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249,2026-06-04_17h28.03.870,explain2,2025.1.1,Win32,29.85074627,6a0ba758aa0bfaee254de501,6a21d5d599f968bc9253a998,6a21ecf0cf31613f8b4e5826,,,,,,,,,,,,,,,,,,,,,,,162.1282,326.4611,1,[161.35509999996424],[161.3551999999881],this reptile likely received a fertility score of 7 because it appears healthy and well developed which are signs of good reproductive potential.,326.4622,327.4567,0,0,0,0,1,C,W,W_C.png,training,1,1,7,high,feet,stripes,C,F,E,W,249,7_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249,2026-06-04_17h28.03.870,explain2,2025.1.1,Win32,29.85074627,6a0ba758aa0bfaee254de501,6a21d5d599f968bc9253a998,6a21ecf0cf31613f8b4e5826,,,,,,,,,,,,,,,,,,,,,,,327.4728,480.5552,1,[150.09819999998803],[150.09839999997615],Because it shows all the key signs of peak health and reproductive fitness it appears vibrant with bright coloration,480.5553,481.5511,0,1,1,1,1,C,E,E_C.png,training,1,2,10,high,feet,stripes,C,F,E,W,249,10_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249,2026-06-04_17h28.03.870,explain2,2025.1.1,Win32,29.85074627,6a0ba758aa0bfaee254de501,6a21d5d599f968bc9253a998,6a21ecf0cf31613f8b4e5826,,,,,,,,,,,,,,,,,,,,,,,481.7539,584.4931,1,[99.94240000003572],[99.94240000003572],it shows some positive signs of health and reproductive ability but not at the highest level ,584.4933,585.4935,0,2,2,2,1,F,W,W_F.png,training,1,3,6,low,feet,stripes,C,F,E,W,249,6_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,249,2026-06-04_17h28.03.870,explain2,2025.1.1,Win32,29.85074627,6a0ba758aa0bfaee254de501,6a21d5d599f968bc9253a998,6a21ecf0cf31613f8b4e5826,,,,,,,,,,,,,,,,,,,,,,,585.5039,678.8355,1,[90.34330000001194],[90.34330000001194],these traits can indicate poor health or lower chance of successful reproduction,678.8357,679.8329,0,3,3,3,1,F,E,E_F.png,training,1,4,2,low,feet,stripes,C,F,E,W,249,2_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
