consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,half_instruct_2.started,half_instruct_2.stopped,button_half.numClicks,button_half.timesOn,button_half.timesOff,half_instruct_loop.thisRepN,half_instruct_loop.thisTrialN,half_instruct_loop.thisN,half_instruct_loop.thisIndex,half_instruct_loop.ran,half_questions.started,half_questions.stopped,continuous_slider_mid.response,continuous_slider_mid.rt,discrete_slider_mid.response,discrete_slider_mid.rt,direction_slider_mid.response,direction_slider_mid.rt,button_mid.numClicks,button_mid.timesOn,button_mid.timesOff,direction_response_label_mid,midpoint_loop.thisRepN,midpoint_loop.thisTrialN,midpoint_loop.thisN,midpoint_loop.thisIndex,midpoint_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,half_isi_loop.thisRepN,half_isi_loop.thisTrialN,half_isi_loop.thisN,half_isi_loop.thisIndex,half_isi_loop.ran,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,265,2026-06-04_10h16.11.231,explain2,2025.1.1,iPhone,50,69d2c07a2a9739ce1d22f4fa,6a21d5d599f968bc9253a998,6a21dc99ac46c1d4b764722c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,265,2026-06-04_10h16.11.231,explain2,2025.1.1,iPhone,50,69d2c07a2a9739ce1d22f4fa,6a21d5d599f968bc9253a998,6a21dc99ac46c1d4b764722c,14.623,14.623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,265,2026-06-04_10h16.11.231,explain2,2025.1.1,iPhone,50,69d2c07a2a9739ce1d22f4fa,6a21d5d599f968bc9253a998,6a21dc99ac46c1d4b764722c,,,14.624,20.505,1,[0.8829999999999956],[0.8829999999999956],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,265,2026-06-04_10h16.11.231,explain2,2025.1.1,iPhone,50,69d2c07a2a9739ce1d22f4fa,6a21d5d599f968bc9253a998,6a21dc99ac46c1d4b764722c,,,,,,,,20.505,27.824,1,[2.3329999999999984],[2.3329999999999984],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,265,2026-06-04_10h16.11.231,explain2,2025.1.1,iPhone,50,69d2c07a2a9739ce1d22f4fa,6a21d5d599f968bc9253a998,6a21dc99ac46c1d4b764722c,,,,,,,,,,,,,27.824,34.592,1,[1.7839999999999918],[1.7839999999999918],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,265,2026-06-04_10h16.11.231,explain2,2025.1.1,iPhone,50,69d2c07a2a9739ce1d22f4fa,6a21d5d599f968bc9253a998,6a21dc99ac46c1d4b764722c,,,,,,,,,,,,,,,,,,34.592,40.69,1,[1.099000000000018],[1.099000000000018],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,265,2026-06-04_10h16.11.231,explain2,2025.1.1,iPhone,50,69d2c07a2a9739ce1d22f4fa,6a21d5d599f968bc9253a998,6a21dc99ac46c1d4b764722c,,,,,,,,,,,,,,,,,,,,,,,40.703,65.036,1,[21.34299999999999],[21.34299999999999],It has curved toes,65.036,66.036,0,0,0,0,1,C,W,W_C.png,training,1,1,4,high,feet,stripes,C,F,E,W,265,4_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/E_F.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,265,2026-06-04_10h16.11.231,explain2,2025.1.1,iPhone,50,69d2c07a2a9739ce1d22f4fa,6a21d5d599f968bc9253a998,6a21dc99ac46c1d4b764722c,,,,,,,,,,,,,,,,,,,,,,,66.042,77.737,1,[8.700999999999993],[8.700999999999993],It has stripes,77.738,78.728,0,1,1,1,1,F,E,E_F.png,training,1,2,4,low,feet,stripes,C,F,E,W,265,4_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/E_F.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,265,2026-06-04_10h16.11.231,explain2,2025.1.1,iPhone,50,69d2c07a2a9739ce1d22f4fa,6a21d5d599f968bc9253a998,6a21dc99ac46c1d4b764722c,,,,,,,,,,,,,,,,,,,,,,,78.733,95.831,1,[14.102000000000004],[14.102000000000004],It has stripes and webbed toes,95.831,96.834,0,2,2,2,1,F,W,W_F.png,training,1,3,6,low,feet,stripes,C,F,E,W,265,6_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/E_F.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,265,2026-06-04_10h16.11.231,explain2,2025.1.1,iPhone,50,69d2c07a2a9739ce1d22f4fa,6a21d5d599f968bc9253a998,6a21dc99ac46c1d4b764722c,,,,,,,,,,,,,,,,,,,,,,,96.839,116.403,1,[16.58499999999998],[16.58499999999998],It has stripes and pointy toes,116.404,117.394,0,3,3,3,1,C,E,E_C.png,training,1,4,7,high,feet,stripes,C,F,E,W,265,7_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/E_F.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
