participant,free_texts,feedback,fertility_score,trial_stop_time,testing_image_order,testing_responses,training_categories,training_feet,training_stripes,testing_categories,conditionOrder,training_image_order,attention_check,cogpro_predict,cogpro_explain,relevant_dim,irrelevant_dim,feet_high,stripes_low,stripes_high,feet_low,feet_discrete_slider.response,feet_direction_slider.response,feet_continuous_slider.response,feet_discrete_slider_mid.response,feet_direction_slider_mid.response,feet_continuous_slider_mid.response,stripes_discrete_slider.response,stripes_direction_slider.response,stripes_continuous_slider.response,stripes_discrete_slider_mid.response,stripes_direction_slider_mid.response,stripes_continuous_slider_mid.response
226,"['This reptile presents with stripes that move up and to the left, and webbed feet.\xa0The Fertility score of this reptile is reported as 8.It cannot be determined why the Fertility score is 8 and not another number.', 'This reptile presents with stripes pointing up and to the left, and curly feet.The reported Fertility score for this reptile is 8.It cannot be determined why the reported Fertility score is 8 and not another number.', 'This reptile presents with stripes moving up and to the right, and with curvy feet.The Fertility score for this reptile is 2.\xa0It cannot be determined why the reported Fertility score is 2 and not another number.', 'This reptile presents with stripes that are upward and to the right, and has webbed feet.The reported Fertility score for this reptile is 2.It cannot be determined why the Fertility score is 2 and not another number based on the information we have.', 'This reptile presents with stripes pointing up and to the right, and has curvy feet.\xa0The reported Fertility for this reptile is 5.It cannot be determined why this reptile has a Fertilty score of 5 using only the information we are given.', 'This reptile presents with stripes pointing up and to the right, and has webbed feet.The reported Fertility score is 1.\xa0It cannot be determined why the Fertility score is 1 and not another number using only the information we are given here.', 'This reptile presents with stripes pointing up and to the left, and has curvy feet.The reported Fertility score is 4.It cannot be determined why the reported Fertility score is 4 and not another number using only the information we have here.', 'This reptile present with stripes pointing up and to the left, and has webbed feet.The reported Fertility score is 10.It cannot be determined why the Fertility score is 10 and not another number using only the information we have here.', 'This reptile has stripes pointing up and to the right, and has webbed feet.The reported Fertility is 1.It cannot be determined reliably why the Fertility is 1 and not another number using only the information we have here.', 'This reptile presents with stripes pointing up and to the right, and has curvy feet.The reported Fertility score is 4.It cannot be reliably determined why the Fertility score is 4 and not another number using only the information we have here.', 'This reptile present with stripes pointing up and to the left, and has curvy feet.The reported Fertility score is 9.It cannot be reliably determined why the Fertility score is 9 and not another number using only the information we have here.', 'This reptile presents with stripes pointing up and to the left, and has webbed feet.The reported Fertility score is 10.It cannot be reliably determined why the Fertility score is 10 and not another number using only the information we have here.', 'This reptile presents with stripes pointing up and to the right, and has curvy feet.The reported Fertility score is 4.It cannot be reliably determined why the Fetility score is 4 and not another number using only the information we have here.', 'This reptile presents with stripes pointing up and to the left, and has webbed feet.The reported Fertility is 7.It cannot be reliably determined why the Fertility is 7 and not another number using only the information we have here.', 'This reptile presents with stripes pointing up and to the left, and has curvy feet.The reported Fertility is 8.It cannot be reliably determined why the Fertility score is 8 and not another number using only the information we have here.', 'This reptile presents with stripes pointing up and to the right, and has webbed feet.\xa0The reported Fertility score is 1.It cannot be reliably determined why the Fertility is 1 and not another number using only the information we have here.']","['There did not appear to be sufficient information to reliably determine which factors caused an exact Fertility score.\xa0In addition, the instructions mentioned season is a factor for Fertility, but season is not presented in the survey.']","[8.0, 8.0, 2.0, 2.0, 5.0, 1.0, 4.0, 10.0, 1.0, 4.0, 9.0, 10.0, 4.0, 7.0, 8.0, 1.0]",1915.6032,"['W_F', 'W_C', 'E_F', 'E_C']","[6.0, 6.0, 6.0, 6.0]","['high', 'high', 'low', 'low', 'low', 'low', 'high', 'high', 'low', 'low', 'high', 'high', 'low', 'high', 'high', 'low']","['F', 'C', 'C', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'C', 'F']","['W', 'W', 'E', 'E', 'E', 'E', 'W', 'W', 'E', 'E', 'W', 'W', 'E', 'W', 'W', 'E']","['high', 'high', 'low', 'low']",226,"['W_F', 'W_C', 'E_C', 'E_F', 'E_C', 'E_F', 'W_C', 'W_F', 'E_F', 'E_C', 'W_C', 'W_F', 'E_C', 'W_F', 'W_C', 'E_F']",1,4.0,4.0,stripes,feet,C,E,W,F,No,,,No,,,No,,,No,,
210,"['It has produced many offsprings', 'Few offsprings', 'Few offsprings', 'Many offsprings', 'Few offspring', 'Few offspring', 'Webbed feet', 'Fees not webbed', 'Pointy and upward left', 'webbed and upward right', 'webbed and upword left', 'pointy and upward right', 'Pointy and upward right', 'webbed and upward right', 'webbed and upward left', 'pointy and upward left']",[],"[9.0, 3.0, 3.0, 8.0, 2.0, 2.0, 7.0, 8.0, 10.0, 6.0, 7.0, 5.0, 5.0, 3.0, 5.0, 3.0]",1119.3416,"['W_C', 'E_F', 'W_F', 'E_C']","[9.0, 5.0, 8.0, 2.0]","['high', 'low', 'low', 'high', 'low', 'low', 'high', 'high', 'high', 'low', 'high', 'low', 'low', 'low', 'high', 'high']","['C', 'F', 'C', 'F', 'F', 'C', 'F', 'C', 'C', 'F', 'F', 'C', 'C', 'F', 'F', 'C']","['W', 'E', 'E', 'W', 'E', 'E', 'W', 'W', 'W', 'E', 'W', 'E', 'E', 'E', 'W', 'W']","['high', 'low', 'high', 'low']",210,"['W_C', 'E_F', 'E_C', 'W_F', 'E_F', 'E_C', 'W_F', 'W_C', 'W_C', 'E_F', 'W_F', 'E_C', 'E_C', 'E_F', 'W_F', 'W_C']",1,1.0,7.0,stripes,feet,C,E,W,F,No,,,Yes,Webbed,7.0,Yes,Up/Left,7.0,Yes, Up/Right,7.0
269,"['The webbed toes are not efficient for a tree habitat\xa0', 'The stripes may not have blended well with it’s environment\xa0', 'It’s toes and stripe pattern are compatible with its environment allowing all offspring to survive to maturity\xa0', 'The reptiles webbed toes are not compatible with its environment\xa0', 'The reptile’s pattern and toes are not compatible in its environment. It’s offspring only have a 50% chance of making it to maturity\xa0', 'The reptiles pattern likely does not camouflage well in its environment\xa0', 'The reptiles toes are better adapted to its environment allowing for its off spring to mostly survive to maturity\xa0', 'The reptiles stripe pattern and toes are very well adapted to the environment. The pattern most likely camouflages well with its surroundings and the curly toes are ideal for its habitat.\xa0', 'The reptile’s stripe pattern and toes are not ideal for its environment. The offspring only have a 60% chance of survival until maturity\xa0', 'The stripe pattern is ideal for its environment. The curly toes are best suited as well.\xa0', 'The webbed toes are not suited for its environment.\xa0', 'The webbed toes and strips pattern are not compatible with its environment\xa0', 'The stripe pattern is ideal for its environment but the webbed toes are not\xa0', 'The reptile doesn’t have ideal features for its environment\xa0', 'The stripe pattern and curled toes are moderately adequate for its environment.', 'The curled toes are ideal for its environment but the stripe pattern may hinder its ability to camouflage\xa0']","['Initially the instructions were unclear, I think if a side by side of the different traits was shown before the survey it would have been easier to differentiate them immediately instead of second guessing if they were truly different a few questions in.\xa0I did catch onto a pattern after seeing a few rounds about which trait was more beneficial.\xa0']","[5.0, 6.0, 10.0, 1.0, 5.0, 2.0, 8.0, 9.0, 6.0, 10.0, 2.0, 3.0, 4.0, 4.0, 6.0, 6.0]",941.346,"['E_C', 'W_C', 'W_F', 'E_F']","[7.0, 9.0, 3.0, 2.0]","['low', 'high', 'high', 'low', 'low', 'low', 'high', 'high', 'high', 'high', 'low', 'low', 'low', 'low', 'high', 'high']","['F', 'C', 'C', 'F', 'F', 'F', 'C', 'C', 'C', 'C', 'F', 'F', 'F', 'F', 'C', 'C']","['W', 'E', 'W', 'E', 'E', 'W', 'W', 'E', 'E', 'W', 'W', 'E', 'W', 'E', 'W', 'E']","['high', 'high', 'low', 'low']",269,"['W_F', 'E_C', 'W_C', 'E_F', 'E_F', 'W_F', 'W_C', 'E_C', 'E_C', 'W_C', 'W_F', 'E_F', 'W_F', 'E_F', 'W_C', 'E_C']",1,5.0,6.0,feet,stripes,C,E,W,F,Yes, Curved/Pointy,7.0,Yes, Curved/Pointy,6.0,Yes,Up/Left,5.0,Yes, Up/Right,6.0
215,"['Presumably this reptile received a high fertility score due to some physical characteristics. His feet appear to be webbed and his stripes are angled downwards toward his front.', ""This reptile appears to have webbed feet and a stark upwards angle to its stripes. It's possible that webbed feet may be a signal for fertility"", 'This reptile does not have webbed feet, and that appears to have had a negative effect on its fertility score', 'This reptile does not have webbed feet, which may have affected its fertility. It is also possible that a steeper stripe angel could be a negative indicator for fertility', ""This reptile does not have webbed feet, which appears to be a negative indicator for fertility. It's possible the steep angel of its striped may be another negative indicator"", ""This reptile has webbed feet, which appears to be a positive indicator for fertility. It's possible that the slightly steep angle of its stripe may be a very slight hinderance"", ""This reptile has webbed feet, which is typically considered a positive fertility indicator. It's possible that the angle and darkness of the reptiles striped could be a negative indicator"", 'This reptile does not have webbed feet, which typically leads to a lower fertility score', ""This reptile does not have webbed feet, which is typically a negative indicator for fertility. It's possible the orientation of its stripes may be a factor"", 'This reptile does not have webbed feet and has left-oriented striped. Although it received a relatively middling fertility score, so it is difficult to make any assumptions off of this', 'Typically webbed feet is an indicator of fertility.', 'The striped do not appear to be particularly relevant. It seems that webbed feet indicate higher fertility', ""This reptile has unwebbed feet, which is consistent with a lower fertility score. It's also possible the left orientation of its striped may be a contributing factor here."", ""This reptile has webbed feet and right-oriented stripes, which would typically both be indicators of high fertility. It's possible that what I currently believe to be fertility indicators may be incorrect."", 'Webbed feet are possibly indicators of high fertility. The left-oriented stripes have been present in both the highest and lowest fertility reptiles, so the relevance of stripe orientation is inconclusive.', 'unwebbed feet may be an indicator for low fertility']",[],"[7.0, 9.0, 4.0, 3.0, 4.0, 9.0, 4.0, 4.0, 7.0, 5.0, 6.0, 6.0, 1.0, 4.0, 10.0, 2.0]",830.7256,"['E_F', 'W_F', 'W_C', 'E_C']","[8.0, 8.0, 3.0, 3.0]","['high', 'high', 'low', 'low', 'low', 'high', 'high', 'low', 'low', 'low', 'high', 'high', 'low', 'high', 'high', 'low']","['F', 'F', 'C', 'C', 'C', 'F', 'F', 'C', 'C', 'C', 'F', 'F', 'C', 'F', 'F', 'C']","['W', 'E', 'W', 'E', 'E', 'W', 'E', 'W', 'E', 'W', 'E', 'W', 'W', 'E', 'W', 'E']","['high', 'high', 'low', 'low']",215,"['W_F', 'E_F', 'W_C', 'E_C', 'E_C', 'W_F', 'E_F', 'W_C', 'E_C', 'W_C', 'E_F', 'W_F', 'W_C', 'E_F', 'W_F', 'E_C']",1,4.0,2.0,feet,stripes,F,E,W,C,Yes,Webbed,4.0,Yes,Webbed,6.0,No,,,No,,
083,"['The reptile may have low viability of hatchlings or low births\xa0', 'reptile frequently reproduces offspring and is successful in keeping their species population constant', 'reptile has an average ability to consistently reproduce\xa0', 'reptile has some difficulty producing hatchlings or live births 50% success rate', 'reptile has a success rate of 100% reproducing each time it mates', 'reptile has an above average success rate reproducing with 70% success rate\xa0', 'reptile has 30% success rate reproducing\xa0', 'reptile has 60% success rate reproducing\xa0', 'reptile shows a low viability of producing off spring at a 40% rate of success', 'reptile has a 40% success rate reproducing\xa0', 'reptile has a difficult time reproducing and only is only successful 30% of the time it mates', 'reptile has ability to reproduce at 60% success rate and is able to produce offspring the majority of the time it mates\xa0', 'reptile has a 60% success rate reproducing\xa0', 'reptile has 100% success rate reproducing and producing offspring', 'reptile has success rate of 60% reproducing\xa0', 'reptile has success reproducing 50% of the time\xa0']",[],"[5.0, 10.0, 6.0, 5.0, 10.0, 7.0, 3.0, 6.0, 4.0, 4.0, 3.0, 6.0, 6.0, 10.0, 6.0, 5.0]",1354.3861,"['E_C', 'E_F', 'W_C', 'W_F']","[6.0, 7.0, 8.0, 10.0]","['low', 'high', 'high', 'low', 'high', 'low', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'high']","['C', 'F', 'F', 'C', 'F', 'C', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F']","['W', 'E', 'W', 'E', 'E', 'E', 'W', 'W', 'E', 'W', 'W', 'E', 'E', 'W', 'W', 'E']","['low', 'high', 'low', 'high']",83,"['W_C', 'E_F', 'W_F', 'E_C', 'E_F', 'E_C', 'W_C', 'W_F', 'E_C', 'W_F', 'W_C', 'E_F', 'E_C', 'W_F', 'W_C', 'E_F']",1,7.0,7.0,feet,stripes,F,W,E,C,No,,,No,,,No,,,No,,
171,"['This is because this reptile has curly feet and their stripes are angled to the right.', 'This is because their feet are curly', 'This is because they have webbed feet', 'This is because they have webbed feet', 'They have curly feet thus having a low fertility score', 'The reason to this high fertility is webbed feet', 'The reason to this low fertility is due to curly feet', 'This reptile has webbed feet which explains this fertility rate', 'This may be due to curly feet', 'This is due to webbed feet', 'The high fertility rate is due to webbed feet', 'This is due to stripes being angled to the right and curly feet', 'this is due to the stripes being angled to the left', 'This is due to the stripes being angled to the right', 'This is due to the stripes being angled to the right', 'This due to having webbed feet']",['I made my decision depending on the consistency I found on certain features'],"[2.0, 2.0, 8.0, 9.0, 2.0, 8.0, 1.0, 5.0, 6.0, 3.0, 9.0, 5.0, 3.0, 8.0, 5.0, 10.0]",877.6614,"['W_C', 'E_C', 'W_F', 'E_F']","[2.0, 5.0, 8.0, 9.0]","['low', 'low', 'high', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'high', 'low', 'low', 'low', 'high', 'high']","['C', 'C', 'F', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'C', 'C', 'F', 'F']","['E', 'W', 'W', 'E', 'E', 'E', 'W', 'W', 'W', 'W', 'E', 'E', 'W', 'E', 'E', 'W']","['low', 'low', 'high', 'high']",171,"['E_C', 'W_C', 'W_F', 'E_F', 'E_C', 'E_F', 'W_C', 'W_F', 'W_C', 'W_F', 'E_F', 'E_C', 'W_C', 'E_C', 'E_F', 'W_F']",1,6.0,7.0,feet,stripes,F,W,E,C,Yes,Webbed,6.0,Yes,Webbed,7.0,Yes, Up/Right,4.0,No,,
157,"['It looks immature and not yet an adult.\xa0 Also, it is camouflaged well and may not easily stand out to mates.\xa0', ""This reptile has a large white spot on it's chin which may be attractive to mates and it looks happy and healthy.\xa0"", 'This reptile has webbed feet and may mate in water where the change for low birth survival rate is higher.\xa0', 'This reptile has curly toes which may mean it can be stronger and healthier as it lives in multiple environments.\xa0', ""This reptile has webbed toes making it more likely to be less fertile as it lives closer to the water and it's offspring may not have the same opportunity to thrive to maturity."", 'This one has curly toes and belongs to a healthier, more fertile strain of the reptile.\xa0', 'This reptile has webbed feet and seems to be less fertile because of their evolution as compared to other similar reptiles.\xa0', 'This one has curly toes indicating stronger fertility but may suffer from an unseen health issue.\xa0', 'This reptile has curly toes and lines that go up to the right aligning it with other reptile that scored in this range.\xa0', 'This reptile has both curly toes and stripes that go up and to the left.\xa0 This strain of reptile appears to be very fertile.\xa0', 'This reptile has both webbed feet and stripes that go up to the right landing it in a mid-range fertility score.\xa0', 'This reptile has webbed feet but also stripes that go up and to the left.\xa0 This combination frequently lands in the mid-range.\xa0', 'This is another example of a web footed, strips to the right reptile that lands in the 4-6 range.', 'The web toes are a drag on this ""up to the left"" striped reptile, dropping it slightly below mid range.', 'Curly toes are the critical element taking this stripes to the right variant to an elevated level of fertility.', 'This curly toed reptile has stripes to the left which frequently puts the reptile in the 7-10 range.']",[],"[3.0, 7.0, 2.0, 6.0, 4.0, 9.0, 6.0, 4.0, 6.0, 10.0, 5.0, 4.0, 6.0, 3.0, 7.0, 7.0]",789.4351,"['W_C', 'E_F', 'E_C', 'W_F']","[9.0, 3.0, 7.0, 3.0]","['low', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'high', 'high', 'low', 'low', 'low', 'low', 'high', 'high']","['F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'C', 'C', 'F', 'F', 'F', 'F', 'C', 'C']","['E', 'W', 'W', 'E', 'E', 'W', 'W', 'E', 'E', 'W', 'E', 'W', 'E', 'W', 'E', 'W']","['high', 'low', 'high', 'low']",157,"['E_F', 'W_C', 'W_F', 'E_C', 'E_F', 'W_C', 'W_F', 'E_C', 'E_C', 'W_C', 'E_F', 'W_F', 'E_F', 'W_F', 'E_C', 'W_C']",1,5.0,5.0,feet,stripes,C,E,W,F,Yes, Curved/Pointy,6.0,Yes, Curved/Pointy,6.0,Yes,Up/Left,6.0,Yes,Up/Left,4.0
001,"['the pattern of its stripes', 'the stripe pattern\xa0', 'stripe patternwebbed toes', 'stripe pattern and webbed toes', 'stripped patternseparated toes', 'separated toes', 'webbed toes', 'web toes', 'webbed toes', 'curved toes', 'webbed toes', 'curved toes\xa0stripes to the right', 'stripes going left', 'striped going right', 'downward stripes', 'webbed toes']",['I made my decision based on the features whether it had curved toes or not'],"[9.0, 2.0, 1.0, 7.0, 10.0, 9.0, 1.0, 3.0, 3.0, 5.0, 4.0, 8.0, 7.0, 4.0, 6.0, 3.0]",523.247,"['W_C', 'E_C', 'E_F', 'W_F']","[7.0, 6.0, 4.0, 4.0]","['high', 'high', 'low', 'low', 'high', 'high', 'low', 'low', 'low', 'high', 'low', 'high', 'high', 'high', 'low', 'low']","['C', 'C', 'F', 'F', 'C', 'C', 'F', 'F', 'F', 'C', 'F', 'C', 'C', 'C', 'F', 'F']","['E', 'W', 'W', 'E', 'W', 'E', 'E', 'W', 'W', 'E', 'E', 'W', 'E', 'W', 'E', 'W']","['high', 'high', 'low', 'low']",1,"['E_C', 'W_C', 'W_F', 'E_F', 'W_C', 'E_C', 'E_F', 'W_F', 'W_F', 'E_C', 'E_F', 'W_C', 'E_C', 'W_C', 'E_F', 'W_F']",1,7.0,7.0,feet,stripes,C,W,E,F,Yes, Curved/Pointy,5.0,Yes, Curved/Pointy,6.0,Yes, Up/Right,4.0,Yes,Up/Left,5.0
122,"['I believe that this reptile received that fertility score because of its stripes. It seems that it is angled up to the left.\xa0', 'I believe that this reptile received that fertility score because its feet is curly. It is not webbed.\xa0', 'I believe that this reptile received that fertility score because of its stripes and feet. The stripes seem to be angled up and to the right. The feet is also curly.\xa0', 'I believe that this reptile received that fertility score because of its feet. Its feet is webbed.\xa0', 'I believe that this reptile received that fertility score because its feet is curly.\xa0', 'I believe that this reptile received that fertility score because its feet is webbed and its stripes are angled up to the left.\xa0', 'I believe that this reptile received that fertility score because its feet is curly and the stripes are angled up and to the right.\xa0', 'I believe that this reptile received that fertility score because the stripes are angled up and to the right.', 'I believe that this reptile received that fertility score because its feet is curly.\xa0', 'I believe that this reptile received that fertility score because its feet is webbed and the stripes are going up and to the left.\xa0', 'I believe that this reptile received that fertility score because its feet is curly.\xa0', 'I believe that this reptile received that fertility score because its stripes are angled up and to the right.\xa0', 'I believe that this reptile received that fertility score because its stripes are angled up and to the right.\xa0', 'I believe that this reptile received that fertility score because its feet is curly.\xa0', 'I believe that this reptile received that fertility score because its feet is webbed and the stripes are angled up to the left.\xa0', 'I believe that this reptile received that fertility score because its feet is curly. The stripes are angled up and to the right as well.']",['The main specific trait that ultimately mattered the most was the feet. It was mostly the webbed feet that had the most fertility.'],"[6.0, 5.0, 5.0, 6.0, 5.0, 10.0, 3.0, 6.0, 5.0, 10.0, 5.0, 3.0, 3.0, 4.0, 8.0, 6.0]",1370.3971,"['W_C', 'W_F', 'E_C', 'E_F']","[5.0, 10.0, 3.0, 6.0]","['high', 'high', 'low', 'low', 'high', 'high', 'low', 'low', 'low', 'high', 'high', 'low', 'low', 'high', 'high', 'low']","['F', 'C', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'F', 'C']","['W', 'W', 'E', 'E', 'W', 'W', 'E', 'E', 'E', 'W', 'W', 'E', 'E', 'W', 'W', 'E']","['high', 'high', 'low', 'low']",122,"['W_F', 'W_C', 'E_C', 'E_F', 'W_C', 'W_F', 'E_C', 'E_F', 'E_C', 'W_F', 'W_C', 'E_F', 'E_F', 'W_C', 'W_F', 'E_C']",1,6.0,5.0,stripes,feet,F,E,W,C,Yes,Webbed,7.0,Yes,Webbed,7.0,Yes,Up/Left,7.0,Yes,Up/Left,7.0
149,"['It has good feet for mobility', 'It has webbed feet', 'Its feet are well shaped', 'It has webbed feet', 'it has webbed feet', 'Its feet has good features like claws', 'It has claws', 'It has webbed feet', 'webbed feet', 'webbed feet', 'pointy feet', 'pointy feet', 'Upleft stripes', 'pointy feet', 'pointy feet', 'webbed feet']",[],"[7.0, 1.0, 10.0, 3.0, 2.0, 10.0, 6.0, 4.0, 6.0, 1.0, 7.0, 7.0, 7.0, 8.0, 5.0, 4.0]",728.5826,"['E_C', 'E_F', 'W_F', 'W_C']","[8.0, 4.0, 2.0, 7.0]","['high', 'low', 'high', 'low', 'low', 'high', 'high', 'low', 'low', 'low', 'high', 'high', 'low', 'high', 'high', 'low']","['C', 'F', 'C', 'F', 'F', 'C', 'C', 'F', 'F', 'F', 'C', 'C', 'F', 'C', 'C', 'F']","['E', 'W', 'W', 'E', 'E', 'E', 'W', 'W', 'W', 'E', 'E', 'W', 'W', 'E', 'W', 'E']","['high', 'low', 'low', 'high']",149,"['E_C', 'W_F', 'W_C', 'E_F', 'E_F', 'E_C', 'W_C', 'W_F', 'W_F', 'E_F', 'E_C', 'W_C', 'W_F', 'E_C', 'W_C', 'E_F']",1,7.0,7.0,feet,stripes,C,E,W,F,Yes, Curved/Pointy,6.0,Yes, Curved/Pointy,7.0,No,,,Yes,Up/Left,4.0
