participant,training_responses,fertility_score,error,feedback,trial_stop_time,testing_image_order,testing_responses,training_categories,training_feet,training_stripes,testing_categories,conditionOrder,training_image_order,attention_check,cogpro_predict,cogpro_explain,relevant_dim,irrelevant_dim,feet_high,stripes_low,stripes_high,feet_low,feet_discrete_slider.response,feet_direction_slider.response,feet_continuous_slider.response,feet_discrete_slider_mid.response,feet_direction_slider_mid.response,feet_continuous_slider_mid.response,stripes_discrete_slider.response,stripes_direction_slider.response,stripes_continuous_slider.response,stripes_discrete_slider_mid.response,stripes_direction_slider_mid.response,stripes_continuous_slider_mid.response
282,"[9.0, 5.0, 9.0, 5.0, 6.0, 6.0, 4.0, 9.0, 5.0, 3.0, 7.0, 8.0, 2.0, 9.0, 9.0, 3.0]","[5.0, 9.0, 2.0, 8.0, 7.0, 8.0, 4.0, 2.0, 7.0, 3.0, 8.0, 3.0, 1.0, 8.0, 9.0, 3.0]","[4.0, 4.0, 7.0, 3.0, 1.0, 2.0, 0.0, 7.0, 2.0, 0.0, 1.0, 5.0, 1.0, 1.0, 0.0, 0.0]",['I appreciated the amount of chances I got to observe the patterns and traits\xa0'],311.775,"['W_C', 'E_C', 'W_F', 'E_F']","[9.0, 2.0, 8.0, 3.0]","['low', 'high', 'low', 'high', 'high', 'high', 'low', 'low', 'high', 'low', 'high', 'low', 'low', 'high', 'high', 'low']","['F', 'F', 'C', 'C', 'F', 'C', 'F', 'C', 'C', 'F', 'F', 'C', 'F', 'C', 'F', 'C']","['E', 'W', 'E', 'W', 'W', 'W', 'E', 'E', 'W', 'E', 'W', 'E', 'E', 'W', 'W', 'E']","['high', 'low', 'high', 'low']",282,"['E_F', 'W_F', 'E_C', 'W_C', 'W_F', 'W_C', 'E_F', 'E_C', 'W_C', 'E_F', 'W_F', 'E_C', 'E_F', 'W_C', 'W_F', 'E_C']",1,5.0,5.0,stripes,feet,F,E,W,C,No,,,No,,,Yes,Up/Left,6.0,No,,
074,"[6.0, 5.0, 5.0, 6.0, 5.0, 4.0, 8.0, 4.0, 5.0, 6.0, 8.0, 4.0, 4.0, 6.0, 8.0, 4.0]","[5.0, 5.0, 8.0, 4.0, 8.0, 7.0, 2.0, 3.0, 4.0, 9.0, 5.0, 3.0, 2.0, 2.0, 8.0, 10.0]","[1.0, 0.0, 3.0, 2.0, 3.0, 3.0, 6.0, 1.0, 1.0, 3.0, 3.0, 1.0, 2.0, 4.0, 0.0, 6.0]",[],584.6912,"['W_F', 'E_C', 'W_C', 'E_F']","[8.0, 7.0, 7.0, 5.0]","['low', 'high', 'high', 'low', 'high', 'high', 'low', 'low', 'low', 'high', 'high', 'low', 'low', 'low', 'high', 'high']","['F', 'C', 'F', 'C', 'F', 'C', 'C', 'F', 'F', 'F', 'C', 'C', 'F', 'C', 'C', 'F']","['E', 'W', 'W', 'E', 'W', 'W', 'E', 'E', 'E', 'W', 'W', 'E', 'E', 'E', 'W', 'W']","['high', 'low', 'high', 'low']",74,"['E_F', 'W_C', 'W_F', 'E_C', 'W_F', 'W_C', 'E_C', 'E_F', 'E_F', 'W_F', 'W_C', 'E_C', 'E_F', 'E_C', 'W_C', 'W_F']",1,5.0,4.0,stripes,feet,F,E,W,C,No,,,No,,,Yes,Up/Left,4.0,No,,
211,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 7.0, 5.0, 7.0, 8.0, 9.0, 5.0, 10.0, 4.0]","[10.0, 5.0, 7.0, 6.0, 2.0, 9.0, 4.0, 5.0, 10.0, 1.0, 2.0, 3.0, 6.0, 1.0, 8.0, 1.0]","[0.0, 5.0, 3.0, 4.0, 8.0, 1.0, 6.0, 5.0, 3.0, 4.0, 5.0, 5.0, 3.0, 4.0, 2.0, 3.0]","[""at first i thought it was random or a psychological test and didn't notice the difference in photos, but then i did""]",293.8882,"['E_F', 'W_C', 'W_F', 'E_C']","[7.0, 3.0, 9.0, 4.0]","['high', 'low', 'low', 'high', 'low', 'high', 'low', 'high', 'high', 'low', 'low', 'high', 'high', 'low', 'high', 'low']","['F', 'C', 'C', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'C', 'F', 'F', 'C', 'F', 'C']","['E', 'E', 'W', 'W', 'E', 'E', 'W', 'W', 'E', 'W', 'E', 'W', 'E', 'E', 'W', 'W']","['high', 'low', 'high', 'low']",211,"['E_F', 'E_C', 'W_C', 'W_F', 'E_C', 'E_F', 'W_C', 'W_F', 'E_F', 'W_C', 'E_C', 'W_F', 'E_F', 'E_C', 'W_F', 'W_C']",1,6.0,1.0,feet,stripes,F,W,E,C,Yes,Webbed,7.0,Yes,Webbed,4.0,Yes,Up/Left,6.0,Yes, Up/Right,5.0
094,"[7.0, 8.0, 6.0, 2.0, 2.0, 4.0, 7.0, 2.0, 7.0, 8.0, 8.0, 3.0, 3.0, 5.0, 6.0, 10.0]","[8.0, 4.0, 3.0, 3.0, 7.0, 1.0, 9.0, 4.0, 10.0, 4.0, 7.0, 2.0, 1.0, 5.0, 10.0, 10.0]","[1.0, 4.0, 3.0, 1.0, 5.0, 3.0, 2.0, 2.0, 3.0, 4.0, 1.0, 1.0, 2.0, 0.0, 4.0, 0.0]",[],569.234,"['W_F', 'E_C', 'W_C', 'E_F']","[10.0, 1.0, 6.0, 4.0]","['high', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'low', 'low', 'high', 'high']","['F', 'F', 'C', 'C', 'C', 'F', 'F', 'C', 'C', 'C', 'F', 'F', 'C', 'F', 'C', 'F']","['W', 'E', 'W', 'E', 'W', 'E', 'W', 'E', 'W', 'E', 'W', 'E', 'E', 'E', 'W', 'W']","['high', 'low', 'high', 'low']",94,"['W_F', 'E_F', 'W_C', 'E_C', 'W_C', 'E_F', 'W_F', 'E_C', 'W_C', 'E_C', 'W_F', 'E_F', 'E_C', 'E_F', 'W_C', 'W_F']",1,7.0,7.0,stripes,feet,F,E,W,C,Yes,Webbed,3.0,No,,,Yes,Up/Left,5.0,Yes,Up/Left,3.0
289,"[7.0, 1.0, 9.0, 7.0, 6.0, 7.0, 5.0, 2.0, 7.0, 6.0, 2.0, 2.0, 5.0, 3.0, 6.0, 7.0]","[1.0, 8.0, 7.0, 1.0, 6.0, 2.0, 6.0, 2.0, 4.0, 5.0, 6.0, 1.0, 2.0, 5.0, 9.0, 9.0]","[6.0, 7.0, 2.0, 6.0, 0.0, 5.0, 1.0, 0.0, 3.0, 1.0, 4.0, 1.0, 3.0, 2.0, 3.0, 2.0]",['No comment\xa0'],624.0553,"['E_C', 'W_F', 'W_C', 'E_F']","[7.0, 8.0, 5.0, 7.0]","['low', 'high', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'high', 'low', 'low', 'low', 'low', 'high', 'high']","['F', 'C', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'C', 'F', 'F', 'F', 'F', 'C', 'C']","['W', 'W', 'E', 'E', 'W', 'W', 'E', 'E', 'E', 'W', 'E', 'W', 'W', 'E', 'W', 'E']","['high', 'low', 'high', 'low']",289,"['W_F', 'W_C', 'E_C', 'E_F', 'W_C', 'W_F', 'E_C', 'E_F', 'E_C', 'W_C', 'E_F', 'W_F', 'W_F', 'E_F', 'W_C', 'E_C']",1,2.0,2.0,feet,stripes,C,W,E,F,Yes, Curved/Pointy,6.0,Yes, Curved/Pointy,5.0,Yes, Up/Right,6.0,Yes, Up/Right,5.0
270,"[7.0, 6.0, 5.0, 8.0, 5.0, 7.0, 8.0, 7.0, 5.0, 2.0, 6.0, 6.0, 4.0, 10.0, 2.0, 2.0]","[6.0, 4.0, 6.0, 10.0, 9.0, 5.0, 6.0, 2.0, 8.0, 4.0, 10.0, 2.0, 6.0, 8.0, 3.0, 9.0]","[1.0, 2.0, 1.0, 2.0, 4.0, 2.0, 2.0, 5.0, 3.0, 2.0, 4.0, 4.0, 2.0, 2.0, 1.0, 7.0]",[],1061.126,"['W_C', 'E_F', 'W_F', 'E_C']","[8.0, 2.0, 9.0, 4.0]","['low', 'low', 'high', 'high', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'low', 'high', 'low', 'high']","['F', 'C', 'C', 'F', 'C', 'C', 'F', 'F', 'F', 'C', 'C', 'F', 'C', 'C', 'F', 'F']","['E', 'E', 'W', 'W', 'W', 'E', 'W', 'E', 'W', 'E', 'W', 'E', 'E', 'W', 'E', 'W']","['high', 'low', 'high', 'low']",270,"['E_F', 'E_C', 'W_C', 'W_F', 'W_C', 'E_C', 'W_F', 'E_F', 'W_F', 'E_C', 'W_C', 'E_F', 'E_C', 'W_C', 'E_F', 'W_F']",1,5.0,4.0,stripes,feet,C,E,W,F,Yes,Webbed,2.0,Yes,Webbed,5.0,Yes,Up/Left,6.0,Yes, Up/Right,5.0
254,"[5.0, 2.0, 3.0, 6.0, 5.0, 9.0, 9.0, 6.0, 9.0, 3.0, 2.0, 7.0, 10.0, 6.0, 1.0, 7.0]","[7.0, 1.0, 10.0, 1.0, 4.0, 1.0, 6.0, 9.0, 10.0, 3.0, 6.0, 6.0, 7.0, 3.0, 4.0, 5.0]","[2.0, 1.0, 7.0, 5.0, 1.0, 8.0, 3.0, 3.0, 1.0, 0.0, 4.0, 1.0, 3.0, 3.0, 3.0, 2.0]",[],441.6128,"['W_C', 'E_F', 'E_C', 'W_F']","[6.0, 4.0, 9.0, 2.0]","['high', 'low', 'high', 'low', 'high', 'low', 'low', 'high', 'high', 'low', 'high', 'low', 'low', 'low', 'high', 'high']","['C', 'F', 'F', 'C', 'F', 'F', 'C', 'C', 'C', 'F', 'F', 'C', 'C', 'F', 'F', 'C']","['W', 'E', 'W', 'E', 'W', 'E', 'E', 'W', 'W', 'E', 'W', 'E', 'E', 'E', 'W', 'W']","['high', 'low', 'low', 'high']",254,"['W_C', 'E_F', 'W_F', 'E_C', 'W_F', 'E_F', 'E_C', 'W_C', 'W_C', 'E_F', 'W_F', 'E_C', 'E_C', 'E_F', 'W_F', 'W_C']",1,6.0,2.0,stripes,feet,C,E,W,F,Yes, Curved/Pointy,4.0,Yes, Curved/Pointy,6.0,Yes, Up/Right,4.0,No,,
186,"[5.0, 4.0, 7.0, 4.0, 9.0, 2.0, 6.0, 5.0, 6.0, 4.0, 9.0, 3.0, 6.0, 7.0, 1.0, 6.0]","[5.0, 3.0, 6.0, 8.0, 2.0, 7.0, 3.0, 10.0, 4.0, 8.0, 2.0, 6.0, 10.0, 1.0, 1.0, 10.0]","[0.0, 1.0, 1.0, 4.0, 7.0, 5.0, 3.0, 5.0, 2.0, 4.0, 7.0, 3.0, 4.0, 6.0, 0.0, 4.0]",['Everything was clear thank you'],484.1301,"['E_C', 'W_C', 'W_F', 'E_F']","[8.0, 6.0, 5.0, 4.0]","['low', 'low', 'high', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'high', 'low', 'high', 'low', 'low', 'high']","['F', 'C', 'C', 'F', 'F', 'F', 'C', 'C', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F']","['E', 'E', 'W', 'W', 'E', 'W', 'E', 'W', 'E', 'W', 'W', 'E', 'W', 'E', 'E', 'W']","['low', 'high', 'high', 'low']",186,"['E_F', 'E_C', 'W_C', 'W_F', 'E_F', 'W_F', 'E_C', 'W_C', 'E_C', 'W_F', 'W_C', 'E_F', 'W_C', 'E_F', 'E_C', 'W_F']",1,5.0,6.0,stripes,feet,F,E,W,C,Yes,Webbed,4.0,Yes,Webbed,4.0,Yes, Up/Right,6.0,Yes,Up/Left,5.0
040,"[7.0, 8.0, 6.0, 5.0, 6.0, 8.0, 6.0, 7.0, 4.0, 5.0, 7.0, 9.0, 6.0, 5.0, 7.0, 5.0]","[7.0, 4.0, 5.0, 4.0, 9.0, 1.0, 10.0, 3.0, 4.0, 4.0, 8.0, 10.0, 8.0, 1.0, 4.0, 4.0]","[0.0, 4.0, 1.0, 1.0, 3.0, 7.0, 4.0, 4.0, 0.0, 1.0, 1.0, 1.0, 2.0, 4.0, 3.0, 1.0]",[],327.4657,"['E_C', 'E_F', 'W_F', 'W_C']","[9.0, 6.0, 4.0, 7.0]","['high', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'low', 'low', 'high', 'high', 'high', 'low', 'high', 'low']","['F', 'F', 'C', 'C', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'C', 'F']","['E', 'W', 'E', 'W', 'E', 'W', 'E', 'W', 'W', 'W', 'E', 'E', 'E', 'W', 'E', 'W']","['high', 'high', 'low', 'low']",40,"['E_F', 'W_F', 'E_C', 'W_C', 'E_F', 'W_F', 'E_C', 'W_C', 'W_F', 'W_C', 'E_F', 'E_C', 'E_F', 'W_C', 'E_C', 'W_F']",1,5.0,4.0,stripes,feet,F,W,E,C,Yes, Curved/Pointy,5.0,Yes, Curved/Pointy,4.0,Yes, Up/Right,6.0,Yes, Up/Right,5.0
266,"[5.0, 3.0, 8.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 8.0, 7.0, 7.0, 8.0, 10.0, 4.0, 5.0]","[7.0, 4.0, 5.0, 4.0, 6.0, 10.0, 1.0, 10.0, 5.0, 6.0, 5.0, 5.0, 3.0, 6.0, 5.0, 6.0]","[2.0, 1.0, 3.0, 1.0, 0.0, 3.0, 7.0, 1.0, 5.0, 2.0, 2.0, 2.0, 5.0, 4.0, 1.0, 1.0]",[],454.027,"['E_C', 'E_F', 'W_C', 'W_F']","[5.0, 5.0, 8.0, 6.0]","['high', 'low', 'high', 'low', 'low', 'high', 'low', 'high', 'high', 'high', 'low', 'low', 'low', 'high', 'low', 'high']","['C', 'F', 'F', 'C', 'C', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'C', 'F', 'F', 'C']","['W', 'E', 'W', 'E', 'E', 'W', 'E', 'W', 'W', 'W', 'E', 'E', 'E', 'W', 'E', 'W']","['low', 'low', 'high', 'high']",266,"['W_C', 'E_F', 'W_F', 'E_C', 'E_C', 'W_F', 'E_F', 'W_C', 'W_C', 'W_F', 'E_C', 'E_F', 'E_C', 'W_F', 'E_F', 'W_C']",1,7.0,1.0,stripes,feet,C,E,W,F,No,,,Yes, Curved/Pointy,5.0,Yes,Up/Left,5.0,Yes,Up/Left,6.0
