consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,half_instruct_2.started,half_instruct_2.stopped,button_half.numClicks,button_half.timesOn,button_half.timesOff,half_instruct_loop.thisRepN,half_instruct_loop.thisTrialN,half_instruct_loop.thisN,half_instruct_loop.thisIndex,half_instruct_loop.ran,half_questions.started,half_questions.stopped,continuous_slider_mid.response,continuous_slider_mid.rt,discrete_slider_mid.response,discrete_slider_mid.rt,direction_slider_mid.response,direction_slider_mid.rt,button_mid.numClicks,button_mid.timesOn,button_mid.timesOff,direction_response_label_mid,midpoint_loop.thisRepN,midpoint_loop.thisTrialN,midpoint_loop.thisN,midpoint_loop.thisIndex,midpoint_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,half_isi_loop.thisRepN,half_isi_loop.thisTrialN,half_isi_loop.thisN,half_isi_loop.thisIndex,half_isi_loop.ran,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,177,2026-06-04_16h08.18.896,explain2,2025.1.1,iPhone,37.03703704,6a1dc44000bbba8e46bde14f,6a21d5d599f968bc9253a998,6a21daf37c9f6a905b287956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,177,2026-06-04_16h08.18.896,explain2,2025.1.1,iPhone,37.03703704,6a1dc44000bbba8e46bde14f,6a21d5d599f968bc9253a998,6a21daf37c9f6a905b287956,27.001,27.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,177,2026-06-04_16h08.18.896,explain2,2025.1.1,iPhone,37.03703704,6a1dc44000bbba8e46bde14f,6a21d5d599f968bc9253a998,6a21daf37c9f6a905b287956,,,27.003,47.154,1,[15.162000000000006],[15.162000000000006],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,177,2026-06-04_16h08.18.896,explain2,2025.1.1,iPhone,37.03703704,6a1dc44000bbba8e46bde14f,6a21d5d599f968bc9253a998,6a21daf37c9f6a905b287956,,,,,,,,47.154,62.224,1,[10.076999999999998],[10.076999999999998],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,177,2026-06-04_16h08.18.896,explain2,2025.1.1,iPhone,37.03703704,6a1dc44000bbba8e46bde14f,6a21d5d599f968bc9253a998,6a21daf37c9f6a905b287956,,,,,,,,,,,,,62.224,82.995,1,[15.778999999999982],[15.778999999999982],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,177,2026-06-04_16h08.18.896,explain2,2025.1.1,iPhone,37.03703704,6a1dc44000bbba8e46bde14f,6a21d5d599f968bc9253a998,6a21daf37c9f6a905b287956,,,,,,,,,,,,,,,,,,82.996,98.398,1,[10.409999999999997],[10.409999999999997],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,177,2026-06-04_16h08.18.896,explain2,2025.1.1,iPhone,37.03703704,6a1dc44000bbba8e46bde14f,6a21d5d599f968bc9253a998,6a21daf37c9f6a905b287956,,,,,,,,,,,,,,,,,,,,,,,98.408,133.426,1,[32.01400000000001],[32.01400000000001],It is too early to tell why. It could be the season. ,133.427,134.43,0,0,0,0,1,F,W,W_F.png,training,1,1,1,low,feet,stripes,C,F,E,W,177,1_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,177,2026-06-04_16h08.18.896,explain2,2025.1.1,iPhone,37.03703704,6a1dc44000bbba8e46bde14f,6a21d5d599f968bc9253a998,6a21daf37c9f6a905b287956,,,,,,,,,,,,,,,,,,,,,,,134.439,160.494,1,[23.062999999999988],[23.062999999999988],This could be because feet are not webbed. ,160.495,161.49,0,1,1,1,1,C,W,W_C.png,training,1,2,8,high,feet,stripes,C,F,E,W,177,8_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,177,2026-06-04_16h08.18.896,explain2,2025.1.1,iPhone,37.03703704,6a1dc44000bbba8e46bde14f,6a21d5d599f968bc9253a998,6a21daf37c9f6a905b287956,,,,,,,,,,,,,,,,,,,,,,,161.496,179.489,1,[14.99799999999999],[14.99799999999999],Vertical stripes may be more enticing ,179.49,180.481,0,2,2,2,1,C,E,E_C.png,training,1,3,9,high,feet,stripes,C,F,E,W,177,9_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,177,2026-06-04_16h08.18.896,explain2,2025.1.1,iPhone,37.03703704,6a1dc44000bbba8e46bde14f,6a21d5d599f968bc9253a998,6a21daf37c9f6a905b287956,,,,,,,,,,,,,,,,,,,,,,,180.491,259.699,1,[76.21600000000004],[76.21600000000004],"The vertical stripes help but the webbed feet bring down the level. 
Vertical stripes and webbed feet bring ",259.7,260.702,0,3,3,3,1,F,E,E_F.png,training,1,4,5,low,feet,stripes,C,F,E,W,177,5_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
