consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,half_instruct_2.started,half_instruct_2.stopped,button_half.numClicks,button_half.timesOn,button_half.timesOff,half_instruct_loop.thisRepN,half_instruct_loop.thisTrialN,half_instruct_loop.thisN,half_instruct_loop.thisIndex,half_instruct_loop.ran,half_questions.started,half_questions.stopped,continuous_slider_mid.response,continuous_slider_mid.rt,discrete_slider_mid.response,discrete_slider_mid.rt,direction_slider_mid.response,direction_slider_mid.rt,button_mid.numClicks,button_mid.timesOn,button_mid.timesOff,direction_response_label_mid,midpoint_loop.thisRepN,midpoint_loop.thisTrialN,midpoint_loop.thisN,midpoint_loop.thisIndex,midpoint_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,half_isi_loop.thisRepN,half_isi_loop.thisTrialN,half_isi_loop.thisN,half_isi_loop.thisIndex,half_isi_loop.ran,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,240,2026-06-04_17h26.21.446,explain2,2025.1.1,Linux armv81,59.88023952,6a0892fcbcd54c4d184b8440,6a21d5d599f968bc9253a998,6a21ecdf7cb62637738c225f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,2026-06-04_17h26.21.446,explain2,2025.1.1,Linux armv81,59.88023952,6a0892fcbcd54c4d184b8440,6a21d5d599f968bc9253a998,6a21ecdf7cb62637738c225f,18.0568,18.0571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,2026-06-04_17h26.21.446,explain2,2025.1.1,Linux armv81,59.88023952,6a0892fcbcd54c4d184b8440,6a21d5d599f968bc9253a998,6a21ecdf7cb62637738c225f,,,18.0577,26.1141,1,[3.064700000047708],[3.064700000047708],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,2026-06-04_17h26.21.446,explain2,2025.1.1,Linux armv81,59.88023952,6a0892fcbcd54c4d184b8440,6a21d5d599f968bc9253a998,6a21ecdf7cb62637738c225f,,,,,,,,26.1143,34.9101,1,[3.7997999999523415],[3.7997999999523415],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,2026-06-04_17h26.21.446,explain2,2025.1.1,Linux armv81,59.88023952,6a0892fcbcd54c4d184b8440,6a21d5d599f968bc9253a998,6a21ecdf7cb62637738c225f,,,,,,,,,,,,,34.9118,46.419,1,[6.513199999928474],[6.513199999928474],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,2026-06-04_17h26.21.446,explain2,2025.1.1,Linux armv81,59.88023952,6a0892fcbcd54c4d184b8440,6a21d5d599f968bc9253a998,6a21ecdf7cb62637738c225f,,,,,,,,,,,,,,,,,,46.4193,59.4613,1,[8.045200000047686],[8.045200000047686],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,2026-06-04_17h26.21.446,explain2,2025.1.1,Linux armv81,59.88023952,6a0892fcbcd54c4d184b8440,6a21d5d599f968bc9253a998,6a21ecdf7cb62637738c225f,,,,,,,,,,,,,,,,,,,,,,,59.4756,244.8742,1,[182.40689999997613],[182.40689999997613],Striped body and curled toes,244.8753,245.864,0,0,0,0,1,C,E,E_C.png,training,1,1,8,high,stripes,feet,E,W,C,F,240,8_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,2026-06-04_17h26.21.446,explain2,2025.1.1,Linux armv81,59.88023952,6a0892fcbcd54c4d184b8440,6a21d5d599f968bc9253a998,6a21ecdf7cb62637738c225f,,,,,,,,,,,,,,,,,,,,,,,245.8829,276.5008,1,[27.60640000009539],[27.609600000023875],Striped body,276.5032,277.501,0,1,1,1,1,F,E,E_F.png,training,1,2,8,high,stripes,feet,E,W,C,F,240,8_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,2026-06-04_17h26.21.446,explain2,2025.1.1,Linux armv81,59.88023952,6a0892fcbcd54c4d184b8440,6a21d5d599f968bc9253a998,6a21ecdf7cb62637738c225f,,,,,,,,,,,,,,,,,,,,,,,277.5397,356.8609,1,[76.33710000002384],[76.34000000000003],Curled toes,356.8616,357.851,0,2,2,2,1,C,W,W_C.png,training,1,3,4,low,stripes,feet,E,W,C,F,240,4_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,240,2026-06-04_17h26.21.446,explain2,2025.1.1,Linux armv81,59.88023952,6a0892fcbcd54c4d184b8440,6a21d5d599f968bc9253a998,6a21ecdf7cb62637738c225f,,,,,,,,,,,,,,,,,,,,,,,357.901,369.2951,1,[8.410200000047723],[8.410200000047723],Flat toes,369.2952,370.2931,0,3,3,3,1,F,W,W_F.png,training,1,4,2,low,stripes,feet,E,W,C,F,240,2_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
