consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,half_instruct_2.started,half_instruct_2.stopped,button_half.numClicks,button_half.timesOn,button_half.timesOff,half_instruct_loop.thisRepN,half_instruct_loop.thisTrialN,half_instruct_loop.thisN,half_instruct_loop.thisIndex,half_instruct_loop.ran,half_questions.started,half_questions.stopped,continuous_slider_mid.response,continuous_slider_mid.rt,discrete_slider_mid.response,discrete_slider_mid.rt,direction_slider_mid.response,direction_slider_mid.rt,button_mid.numClicks,button_mid.timesOn,button_mid.timesOff,midpoint_loop.thisRepN,midpoint_loop.thisTrialN,midpoint_loop.thisN,midpoint_loop.thisIndex,midpoint_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label_mid,half_isi_loop.thisRepN,half_isi_loop.thisTrialN,half_isi_loop.thisN,half_isi_loop.thisIndex,half_isi_loop.ran,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,272,2026-06-04_15h32.50.947,explain2,2025.1.1,Win32,59.52380952,697a89fd4ba5b384a181909d,6a21d5d599f968bc9253a998,6a21ee39c236f1a83ec30ebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,272,2026-06-04_15h32.50.947,explain2,2025.1.1,Win32,59.52380952,697a89fd4ba5b384a181909d,6a21d5d599f968bc9253a998,6a21ee39c236f1a83ec30ebe,36.6366,36.6371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,272,2026-06-04_15h32.50.947,explain2,2025.1.1,Win32,59.52380952,697a89fd4ba5b384a181909d,6a21d5d599f968bc9253a998,6a21ee39c236f1a83ec30ebe,,,36.6382,59.3516,1,[17.716900000005978],[17.716900000005978],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,272,2026-06-04_15h32.50.947,explain2,2025.1.1,Win32,59.52380952,697a89fd4ba5b384a181909d,6a21d5d599f968bc9253a998,6a21ee39c236f1a83ec30ebe,,,,,,,,59.3527,81.9784,1,[17.632499999999965],[17.632499999999965],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,272,2026-06-04_15h32.50.947,explain2,2025.1.1,Win32,59.52380952,697a89fd4ba5b384a181909d,6a21d5d599f968bc9253a998,6a21ee39c236f1a83ec30ebe,,,,,,,,,,,,,81.9789,103.8739,1,[16.900199999988075],[16.900199999988075],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,272,2026-06-04_15h32.50.947,explain2,2025.1.1,Win32,59.52380952,697a89fd4ba5b384a181909d,6a21d5d599f968bc9253a998,6a21ee39c236f1a83ec30ebe,,,,,,,,,,,,,,,,,,103.8752,111.3496,1,[2.4807000000030257],[2.4807000000030257],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,272,2026-06-04_15h32.50.947,explain2,2025.1.1,Win32,59.52380952,697a89fd4ba5b384a181909d,6a21d5d599f968bc9253a998,6a21ee39c236f1a83ec30ebe,,,,,,,,,,,,,,,,,,,,,,,111.36,238.4381,1,[124.0865],[124.0865],"This reptile has webbed feet and stripes angled up and to the right, and it received a low fertility score of 3. This might suggest that one or both of these specific features are linked to lower reproductive success, though seasonal variation could also be a factor.",238.439,239.4321,0,0,0,0,1,F,W,W_F.png,training,1,1,3,low,stripes,feet,E,W,F,C,272,3_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/E_C.png,Resources/W_F.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,272,2026-06-04_15h32.50.947,explain2,2025.1.1,Win32,59.52380952,697a89fd4ba5b384a181909d,6a21d5d599f968bc9253a998,6a21ee39c236f1a83ec30ebe,,,,,,,,,,,,,,,,,,,,,,,239.4449,312.7322,1,[70.29890000000597],[70.29970000000299],"This reptile has curly feet and stripes angled up and to the left, receiving a high fertility score of 9. Compared to the previous round, this suggests that curly feet, stripes angled left, or a combination of both traits are strongly linked to higher fertility.",312.7325,313.7254,0,1,1,1,1,F,E,E_F.png,training,1,2,9,high,stripes,feet,E,W,F,C,272,9_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/E_C.png,Resources/W_F.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,272,2026-06-04_15h32.50.947,explain2,2025.1.1,Win32,59.52380952,697a89fd4ba5b384a181909d,6a21d5d599f968bc9253a998,6a21ee39c236f1a83ec30ebe,,,,,,,,,,,,,,,,,,,,,,,313.7389,384.7161,1,[67.98889999999108],[67.98889999999108],"This reptile has webbed feet and stripes angled up and to the left, receiving a high fertility score of 9. Because a previous reptile with webbed feet but right-angled stripes scored poorly (3), this strongly suggests that stripes angled up and to the left are a key driver of high fertility, regardless of foot type.",384.7163,385.7099,0,2,2,2,1,C,E,E_C.png,training,1,3,9,high,stripes,feet,E,W,F,C,272,9_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/E_C.png,Resources/W_F.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,272,2026-06-04_15h32.50.947,explain2,2025.1.1,Win32,59.52380952,697a89fd4ba5b384a181909d,6a21d5d599f968bc9253a998,6a21ee39c236f1a83ec30ebe,,,,,,,,,,,,,,,,,,,,,,,385.7198,457.2046,1,[68.49609999999404],[68.49609999999404],"This reptile has curly feet and stripes angled up and to the right, receiving a very low fertility score of 1. Across all rounds so far, reptiles with right-angled stripes consistently score very poorly (1 and 3), confirming that stripes angled up and to the right are the primary indicator of low fertility, independent of their foot structure.",457.2049,458.1964,0,3,3,3,1,C,W,W_C.png,training,1,4,1,low,stripes,feet,E,W,F,C,272,1_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/E_C.png,Resources/W_F.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
