consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,reference_button_2.numClicks,reference_button_2.timesOn,reference_button_2.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,reference_button.numClicks,reference_button.timesOn,reference_button.timesOff,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,reference_show_count,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,014,2026-05-26_11h04.30.434,explain2,2025.1.1,Win32,59.88023952,6a04cfd5f238e290a0746a15,6a1467432e19321b0c7d6ab2,6a15b65c2c69c1cdfa30ff94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,014,2026-05-26_11h04.30.434,explain2,2025.1.1,Win32,59.88023952,6a04cfd5f238e290a0746a15,6a1467432e19321b0c7d6ab2,6a15b65c2c69c1cdfa30ff94,27.8878,27.8879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,014,2026-05-26_11h04.30.434,explain2,2025.1.1,Win32,59.88023952,6a04cfd5f238e290a0746a15,6a1467432e19321b0c7d6ab2,6a15b65c2c69c1cdfa30ff94,,,27.8882,46.7346,1,[13.854],[13.854],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,014,2026-05-26_11h04.30.434,explain2,2025.1.1,Win32,59.88023952,6a04cfd5f238e290a0746a15,6a1467432e19321b0c7d6ab2,6a15b65c2c69c1cdfa30ff94,,,,,,,,46.7353,73.3489,1,[21.61710000002384],[21.61710000002384],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,014,2026-05-26_11h04.30.434,explain2,2025.1.1,Win32,59.88023952,6a04cfd5f238e290a0746a15,6a1467432e19321b0c7d6ab2,6a15b65c2c69c1cdfa30ff94,,,,,,,,,,,,,73.354,123.7499,1,[45.401200000047695],[45.401200000047695],0,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,014,2026-05-26_11h04.30.434,explain2,2025.1.1,Win32,59.88023952,6a04cfd5f238e290a0746a15,6a1467432e19321b0c7d6ab2,6a15b65c2c69c1cdfa30ff94,,,,,,,,,,,,,,,,,,,,,123.7504,153.7674,1,[25.017300000071515],[25.017300000071515],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,014,2026-05-26_11h04.30.434,explain2,2025.1.1,Win32,59.88023952,6a04cfd5f238e290a0746a15,6a1467432e19321b0c7d6ab2,6a15b65c2c69c1cdfa30ff94,,,,,,,,,,,,,,,,,,,,,,,,,,153.7763,202.4874,1,[45.71820000004766],[45.71820000004766],The reptile has stripes,1,[170.98610000002384],[171.10230000007152],202.4877,203.4855,0,0,0,0,1,F,E,E_F.png,training,1,1,1,low,stripes,feet,W,E,C,F,14,1_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,014,2026-05-26_11h04.30.434,explain2,2025.1.1,Win32,59.88023952,6a04cfd5f238e290a0746a15,6a1467432e19321b0c7d6ab2,6a15b65c2c69c1cdfa30ff94,,,,,,,,,,,,,,,,,,,,,,,,,,203.4987,243.473,1,[36.98759999990469],[36.98779999995233],the reptile stripes are more darker in color,1,[212.75739999997617],[212.887],243.4732,244.4686,0,1,1,1,1,F,W,W_F.png,training,1,2,5,high,stripes,feet,W,E,C,F,14,5_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,014,2026-05-26_11h04.30.434,explain2,2025.1.1,Win32,59.88023952,6a04cfd5f238e290a0746a15,6a1467432e19321b0c7d6ab2,6a15b65c2c69c1cdfa30ff94,,,,,,,,,,,,,,,,,,,,,,,,,,244.4745,260.3051,1,[12.833799999952305],[12.833899999976154],the reptile stipes are darker,1,[250.8223999999762],[250.93820000004774],260.3057,261.3036,0,2,2,2,1,C,E,E_C.png,training,1,3,5,low,stripes,feet,W,E,C,F,14,5_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,014,2026-05-26_11h04.30.434,explain2,2025.1.1,Win32,59.88023952,6a04cfd5f238e290a0746a15,6a1467432e19321b0c7d6ab2,6a15b65c2c69c1cdfa30ff94,,,,,,,,,,,,,,,,,,,,,,,,,,261.3236,293.2723,1,[28.967200000047683],[28.967200000047683],The color of the stipes are still more darker,1,[266.77520000004773],[266.9053000000716],293.2723,294.272,0,3,3,3,1,C,W,W_C.png,training,1,4,9,high,stripes,feet,W,E,C,F,14,9_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,014,2026-05-26_11h04.30.434,explain2,2025.1.1,Win32,59.88023952,6a04cfd5f238e290a0746a15,6a1467432e19321b0c7d6ab2,6a15b65c2c69c1cdfa30ff94,,,,,,,,,,,,,,,,,,,,,,,,,,294.2928,325.7106,1,[28.437000000000012],[28.437000000000012],There are more stipes being shown on reptile so that maybe contributed to a drop,1,[321.5567000000477],[321.6733999999762],325.7108,326.7046,0,4,4,4,1,F,E,E_F.png,training,2,5,7,low,stripes,feet,W,E,C,F,14,7_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
