consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,reference_button_2.numClicks,reference_button_2.timesOn,reference_button_2.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,reference_button.numClicks,reference_button.timesOn,reference_button.timesOff,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,reference_show_count,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,015,2026-05-26_07h01.39.111,explain2,2025.1.1,MacIntel,66.66666667,69d511233ae967b71f76a031,6a1467432e19321b0c7d6ab2,6a15a799c880c90874c07394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,015,2026-05-26_07h01.39.111,explain2,2025.1.1,MacIntel,66.66666667,69d511233ae967b71f76a031,6a1467432e19321b0c7d6ab2,6a15a799c880c90874c07394,6.914,6.914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,015,2026-05-26_07h01.39.111,explain2,2025.1.1,MacIntel,66.66666667,69d511233ae967b71f76a031,6a1467432e19321b0c7d6ab2,6a15a799c880c90874c07394,,,6.914,21.316,1,[9.406999999999996],[9.406999999999996],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,015,2026-05-26_07h01.39.111,explain2,2025.1.1,MacIntel,66.66666667,69d511233ae967b71f76a031,6a1467432e19321b0c7d6ab2,6a15a799c880c90874c07394,,,,,,,,21.316,37.168,1,[10.865000000000002],[10.865000000000002],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,015,2026-05-26_07h01.39.111,explain2,2025.1.1,MacIntel,66.66666667,69d511233ae967b71f76a031,6a1467432e19321b0c7d6ab2,6a15a799c880c90874c07394,,,,,,,,,,,,,37.172,82.619,1,[40.452],[40.452],4,"[77.11200000000001,78.09,78.717,79.09700000000001]","[77.196,78.162,78.8,79.18]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,015,2026-05-26_07h01.39.111,explain2,2025.1.1,MacIntel,66.66666667,69d511233ae967b71f76a031,6a1467432e19321b0c7d6ab2,6a15a799c880c90874c07394,,,,,,,,,,,,,,,,,,,,,82.619,121.498,1,[33.89200000000001],[33.89200000000001],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,015,2026-05-26_07h01.39.111,explain2,2025.1.1,MacIntel,66.66666667,69d511233ae967b71f76a031,6a1467432e19321b0c7d6ab2,6a15a799c880c90874c07394,,,,,,,,,,,,,,,,,,,,,,,,,,121.508,205.032,1,[80.537],[80.537],The reptile looks healthy with no clear visual injuries or defects to its body.,0,[],[],205.032,206.022,0,0,0,0,1,F,E,E_F.png,training,1,1,8,high,feet,stripes,F,C,E,W,15,8_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,015,2026-05-26_07h01.39.111,explain2,2025.1.1,MacIntel,66.66666667,69d511233ae967b71f76a031,6a1467432e19321b0c7d6ab2,6a15a799c880c90874c07394,,,,,,,,,,,,,,,,,,,,,,,,,,206.027,227.402,1,[18.38499999999999],[18.38499999999999],"This may due to the lack of webbed feet. 
",0,[],[],227.402,228.393,0,1,1,1,1,C,W,W_C.png,training,1,2,1,low,feet,stripes,F,C,E,W,15,1_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,015,2026-05-26_07h01.39.111,explain2,2025.1.1,MacIntel,66.66666667,69d511233ae967b71f76a031,6a1467432e19321b0c7d6ab2,6a15a799c880c90874c07394,,,,,,,,,,,,,,,,,,,,,,,,,,228.397,254.959,1,[23.583000000000027],[23.583000000000027],"This may be due to the longer toes of its feet
",0,[],[],254.959,255.96,0,2,2,2,1,C,E,E_C.png,training,1,3,8,low,feet,stripes,F,C,E,W,15,8_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,015,2026-05-26_07h01.39.111,explain2,2025.1.1,MacIntel,66.66666667,69d511233ae967b71f76a031,6a1467432e19321b0c7d6ab2,6a15a799c880c90874c07394,,,,,,,,,,,,,,,,,,,,,,,,,,255.964,299.802,1,[40.84300000000002],[40.84300000000002],This reptile has webbed feet which may contribute to faster movement and quicker access to food.,0,[],[],299.802,300.789,0,3,3,3,1,F,W,W_F.png,training,1,4,6,high,feet,stripes,F,C,E,W,15,6_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
