consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,reference_button_2.numClicks,reference_button_2.timesOn,reference_button_2.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,reference_button.numClicks,reference_button.timesOn,reference_button.timesOff,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,reference_show_count,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,016,2026-05-26_10h01.38.322,explain2,2025.1.1,Win32,59.88023952,699f458ae7cc388d0e5f2a60,6a1467432e19321b0c7d6ab2,6a15a79f6f6267aa3edce02f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-26_10h01.38.322,explain2,2025.1.1,Win32,59.88023952,699f458ae7cc388d0e5f2a60,6a1467432e19321b0c7d6ab2,6a15a79f6f6267aa3edce02f,35.3111,35.3114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-26_10h01.38.322,explain2,2025.1.1,Win32,59.88023952,699f458ae7cc388d0e5f2a60,6a1467432e19321b0c7d6ab2,6a15a79f6f6267aa3edce02f,,,35.3119,51.2186,1,[10.917499999999997],[10.917499999999997],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-26_10h01.38.322,explain2,2025.1.1,Win32,59.88023952,699f458ae7cc388d0e5f2a60,6a1467432e19321b0c7d6ab2,6a15a79f6f6267aa3edce02f,,,,,,,,51.2188,63.0422,1,[6.8226999998092595],[6.8226999998092595],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-26_10h01.38.322,explain2,2025.1.1,Win32,59.88023952,699f458ae7cc388d0e5f2a60,6a1467432e19321b0c7d6ab2,6a15a79f6f6267aa3edce02f,,,,,,,,,,,,,63.0452,89.7007,1,[21.66550000000001],[21.66550000000001],2,"[83.0455,83.82879999995231]","[83.2295,84.02970000004768]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-26_10h01.38.322,explain2,2025.1.1,Win32,59.88023952,699f458ae7cc388d0e5f2a60,6a1467432e19321b0c7d6ab2,6a15a79f6f6267aa3edce02f,,,,,,,,,,,,,,,,,,,,,89.701,107.4832,1,[12.782900000095367],[12.782900000095367],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-26_10h01.38.322,explain2,2025.1.1,Win32,59.88023952,699f458ae7cc388d0e5f2a60,6a1467432e19321b0c7d6ab2,6a15a79f6f6267aa3edce02f,,,,,,,,,,,,,,,,,,,,,,,,,,107.4935,177.5566,1,[67.06510000014305],[67.06510000014305],This reptile might not be as active orhave a strong enough immune system.,3,"[114.94320000004768,116.81010000014305,117.3102000000477]","[115.148,117.02740000009538,117.51040000009536]",177.5574,178.5491,0,0,0,0,1,C,W,W_C.png,training,1,1,4,low,stripes,feet,E,W,F,C,16,4_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-26_10h01.38.322,explain2,2025.1.1,Win32,59.88023952,699f458ae7cc388d0e5f2a60,6a1467432e19321b0c7d6ab2,6a15a79f6f6267aa3edce02f,,,,,,,,,,,,,,,,,,,,,,,,,,178.5568,226.1717,1,[44.621799999952316],[44.621799999952316],This reptile live in an area where thechances of reproducing are ideal andthe climate is more favorable.,1,[181.33180000019073],[181.5275],226.172,227.1702,0,1,1,1,1,C,E,E_C.png,training,1,2,7,high,stripes,feet,E,W,F,C,16,7_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-26_10h01.38.322,explain2,2025.1.1,Win32,59.88023952,699f458ae7cc388d0e5f2a60,6a1467432e19321b0c7d6ab2,6a15a79f6f6267aa3edce02f,,,,,,,,,,,,,,,,,,,,,,,,,,227.1765,280.3988,1,[50.22720000004773],[50.22720000004773],This reptile might live in a favorable areawhere the climate is slightly more ideal for reproductive abilities.,1,[229.10780000019074],[229.3127000000477],280.3993,281.3963,0,2,2,2,1,F,E,E_F.png,training,1,3,6,high,stripes,feet,E,W,F,C,16,6_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-26_10h01.38.322,explain2,2025.1.1,Win32,59.88023952,699f458ae7cc388d0e5f2a60,6a1467432e19321b0c7d6ab2,6a15a79f6f6267aa3edce02f,,,,,,,,,,,,,,,,,,,,,,,,,,281.4033,332.0976,1,[47.71509999990468],[47.71509999990468],This reptile might come from a blood line ofother reptiles that have a strong fertility rate.,1,[283.057],[283.2639000000954],332.0981,333.0964,0,3,3,3,1,F,W,W_F.png,training,1,4,6,low,stripes,feet,E,W,F,C,16,6_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
