consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,reference_button_2.numClicks,reference_button_2.timesOn,reference_button_2.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,reference_button.numClicks,reference_button.timesOn,reference_button.timesOff,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,reference_show_count,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,001,2026-05-29_12h06.50.915,explain2,2025.1.1,MacIntel,58.82352941,6a0a656a78070385bfc972f1,6a19bbb7c5caefa1d95dc8c3,6a19c7754d55ad7df445cc3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-05-29_12h06.50.915,explain2,2025.1.1,MacIntel,58.82352941,6a0a656a78070385bfc972f1,6a19bbb7c5caefa1d95dc8c3,6a19c7754d55ad7df445cc3c,7.152,7.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-05-29_12h06.50.915,explain2,2025.1.1,MacIntel,58.82352941,6a0a656a78070385bfc972f1,6a19bbb7c5caefa1d95dc8c3,6a19c7754d55ad7df445cc3c,,,7.153,14.467,1,[2.3160000000000025],[2.3160000000000025],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-05-29_12h06.50.915,explain2,2025.1.1,MacIntel,58.82352941,6a0a656a78070385bfc972f1,6a19bbb7c5caefa1d95dc8c3,6a19c7754d55ad7df445cc3c,,,,,,,,14.467,37.968,1,[18.51700000000001],[18.51700000000001],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-05-29_12h06.50.915,explain2,2025.1.1,MacIntel,58.82352941,6a0a656a78070385bfc972f1,6a19bbb7c5caefa1d95dc8c3,6a19c7754d55ad7df445cc3c,,,,,,,,,,,,,37.974,67.184,1,[24.215999999999994],[24.215999999999994],0,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-05-29_12h06.50.915,explain2,2025.1.1,MacIntel,58.82352941,6a0a656a78070385bfc972f1,6a19bbb7c5caefa1d95dc8c3,6a19c7754d55ad7df445cc3c,,,,,,,,,,,,,,,,,,,,,67.184,84.284,1,[12.100000000000009],[12.100000000000009],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-05-29_12h06.50.915,explain2,2025.1.1,MacIntel,58.82352941,6a0a656a78070385bfc972f1,6a19bbb7c5caefa1d95dc8c3,6a19c7754d55ad7df445cc3c,,,,,,,,,,,,,,,,,,,,,,,,,,84.292,137.622,1,[50.332999999999984],[50.332999999999984],Vertical stripes and a bigger leaf to eat,1,[97.06099999999998],[97.12699999999998],137.637,138.617,0,0,0,0,1,C,E,E_C.png,training,1,1,7,high,feet,stripes,C,F,E,W,1,7_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-05-29_12h06.50.915,explain2,2025.1.1,MacIntel,58.82352941,6a0a656a78070385bfc972f1,6a19bbb7c5caefa1d95dc8c3,6a19c7754d55ad7df445cc3c,,,,,,,,,,,,,,,,,,,,,,,,,,138.621,154.234,1,[12.61699999999999],[12.61699999999999],Horizontal stripes and big leaf,1,[140.72699999999998],[140.82699999999997],154.238,155.233,0,1,1,1,1,C,W,W_C.png,training,1,2,5,high,feet,stripes,C,F,E,W,1,5_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-05-29_12h06.50.915,explain2,2025.1.1,MacIntel,58.82352941,6a0a656a78070385bfc972f1,6a19bbb7c5caefa1d95dc8c3,6a19c7754d55ad7df445cc3c,,,,,,,,,,,,,,,,,,,,,,,,,,155.24,166.253,1,[8.019000000000005],[8.019000000000005],Vertical stripes and small leaf,0,[],[],166.26,167.249,0,2,2,2,1,F,W,W_F.png,training,1,3,2,low,feet,stripes,C,F,E,W,1,2_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-05-29_12h06.50.915,explain2,2025.1.1,MacIntel,58.82352941,6a0a656a78070385bfc972f1,6a19bbb7c5caefa1d95dc8c3,6a19c7754d55ad7df445cc3c,,,,,,,,,,,,,,,,,,,,,,,,,,167.256,182.301,1,[12.050999999999988],[12.050999999999988],Vertical stripes and small leaf,0,[],[],182.307,183.3,0,3,3,3,1,F,E,E_F.png,training,1,4,5,low,feet,stripes,C,F,E,W,1,5_score.png,"Resources/W_C.png,Resources/E_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
