consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,reference_button_2.numClicks,reference_button_2.timesOn,reference_button_2.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,reference_button.numClicks,reference_button.timesOn,reference_button.timesOff,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,reference_show_count,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,012,2026-05-29_11h48.48.321,explain2,2025.1.1,iPhone,45.45454545,6a109484e6f5c5a4651b4bd8,6a19bbb7c5caefa1d95dc8c3,6a19c3356a1f5ca23bec365d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-29_11h48.48.321,explain2,2025.1.1,iPhone,45.45454545,6a109484e6f5c5a4651b4bd8,6a19bbb7c5caefa1d95dc8c3,6a19c3356a1f5ca23bec365d,21.697,21.698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-29_11h48.48.321,explain2,2025.1.1,iPhone,45.45454545,6a109484e6f5c5a4651b4bd8,6a19bbb7c5caefa1d95dc8c3,6a19c3356a1f5ca23bec365d,,,21.698,36.128,1,[9.435000000000002],[9.435000000000002],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-29_11h48.48.321,explain2,2025.1.1,iPhone,45.45454545,6a109484e6f5c5a4651b4bd8,6a19bbb7c5caefa1d95dc8c3,6a19c3356a1f5ca23bec365d,,,,,,,,36.128,53.514,1,[12.402000000000001],[12.402000000000001],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-29_11h48.48.321,explain2,2025.1.1,iPhone,45.45454545,6a109484e6f5c5a4651b4bd8,6a19bbb7c5caefa1d95dc8c3,6a19c3356a1f5ca23bec365d,,,,,,,,,,,,,53.524,74.318,1,[15.819999999999993],[15.819999999999993],0,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-29_11h48.48.321,explain2,2025.1.1,iPhone,45.45454545,6a109484e6f5c5a4651b4bd8,6a19bbb7c5caefa1d95dc8c3,6a19c3356a1f5ca23bec365d,,,,,,,,,,,,,,,,,,,,,74.319,98.038,1,[18.73599999999999],[18.73599999999999],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-29_11h48.48.321,explain2,2025.1.1,iPhone,45.45454545,6a109484e6f5c5a4651b4bd8,6a19bbb7c5caefa1d95dc8c3,6a19c3356a1f5ca23bec365d,,,,,,,,,,,,,,,,,,,,,,,,,,98.049,109.359,1,[8.318999999999988],[8.318999999999988],,1,[107.36],[107.41000000000001],109.36,110.357,0,0,0,0,1,C,E,E_C.png,training,1,1,9,high,stripes,feet,E,W,C,F,12,9_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-29_11h48.48.321,explain2,2025.1.1,iPhone,45.45454545,6a109484e6f5c5a4651b4bd8,6a19bbb7c5caefa1d95dc8c3,6a19c3356a1f5ca23bec365d,,,,,,,,,,,,,,,,,,,,,,,,,,110.367,118.409,1,[5.051000000000016],[5.051000000000016],,0,[],[],118.41,119.408,0,1,1,1,1,F,W,W_F.png,training,1,2,2,low,stripes,feet,E,W,C,F,12,2_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-29_11h48.48.321,explain2,2025.1.1,iPhone,45.45454545,6a109484e6f5c5a4651b4bd8,6a19bbb7c5caefa1d95dc8c3,6a19c3356a1f5ca23bec365d,,,,,,,,,,,,,,,,,,,,,,,,,,119.418,129.928,1,[7.536999999999978],[7.536999999999978],,0,[],[],129.929,130.926,0,2,2,2,1,C,W,W_C.png,training,1,3,3,low,stripes,feet,E,W,C,F,12,3_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-05-29_11h48.48.321,explain2,2025.1.1,iPhone,45.45454545,6a109484e6f5c5a4651b4bd8,6a19bbb7c5caefa1d95dc8c3,6a19c3356a1f5ca23bec365d,,,,,,,,,,,,,,,,,,,,,,,,,,130.937,141.494,1,[7.583999999999975],[7.583999999999975],,0,[],[],141.495,142.495,0,3,3,3,1,F,E,E_F.png,training,1,4,7,high,stripes,feet,E,W,C,F,12,7_score.png,"Resources/E_F.png,Resources/E_C.png,Resources/W_F.png,Resources/W_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
