consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,reference_button_2.numClicks,reference_button_2.timesOn,reference_button_2.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,reference_button.numClicks,reference_button.timesOn,reference_button.timesOff,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,reference_show_count,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,017,2026-05-29_11h48.38.688,explain2,2025.1.1,Win32,59.88023952,669c182b2a59d2c81e9053ad,6a19bbb7c5caefa1d95dc8c3,6a19c33dec5133b8d1968db9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-05-29_11h48.38.688,explain2,2025.1.1,Win32,59.88023952,669c182b2a59d2c81e9053ad,6a19bbb7c5caefa1d95dc8c3,6a19c33dec5133b8d1968db9,16.6691,16.6692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-05-29_11h48.38.688,explain2,2025.1.1,Win32,59.88023952,669c182b2a59d2c81e9053ad,6a19bbb7c5caefa1d95dc8c3,6a19c33dec5133b8d1968db9,,,16.6698,74.9765,1,[53.31590000000002],[53.315999999999995],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-05-29_11h48.38.688,explain2,2025.1.1,Win32,59.88023952,669c182b2a59d2c81e9053ad,6a19bbb7c5caefa1d95dc8c3,6a19c33dec5133b8d1968db9,,,,,,,,74.977,83.5409,1,[3.5728000000000435],[3.5728000000000435],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-05-29_11h48.38.688,explain2,2025.1.1,Win32,59.88023952,669c182b2a59d2c81e9053ad,6a19bbb7c5caefa1d95dc8c3,6a19c33dec5133b8d1968db9,,,,,,,,,,,,,83.5649,102.6566,1,[14.129199999999955],[14.129199999999955],2,"[91.2685,92.24570000000007]","[91.37170000000008,92.33490000000002]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-05-29_11h48.38.688,explain2,2025.1.1,Win32,59.88023952,669c182b2a59d2c81e9053ad,6a19bbb7c5caefa1d95dc8c3,6a19c33dec5133b8d1968db9,,,,,,,,,,,,,,,,,,,,,102.6571,111.7899,1,[4.133100000000098],[4.133100000000098],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-05-29_11h48.38.688,explain2,2025.1.1,Win32,59.88023952,669c182b2a59d2c81e9053ad,6a19bbb7c5caefa1d95dc8c3,6a19c33dec5133b8d1968db9,,,,,,,,,,,,,,,,,,,,,,,,,,111.8046,185.999,1,[71.20850000000002],[71.20850000000002],This reptile is highly fertile and produced 7 offspring.,1,[117.38729999999995],[117.45849999999993],185.9997,186.9954,0,0,0,0,1,F,W,W_F.png,training,1,1,7,low,feet,stripes,C,F,W,E,17,7_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-05-29_11h48.38.688,explain2,2025.1.1,Win32,59.88023952,669c182b2a59d2c81e9053ad,6a19bbb7c5caefa1d95dc8c3,6a19c33dec5133b8d1968db9,,,,,,,,,,,,,,,,,,,,,,,,,,187.008,238.201,1,[48.20460000000011],[48.20470000000009],The reptile is highly fertile and produced 7 offspring,0,[],[],238.2013,239.1995,0,1,1,1,1,C,E,E_C.png,training,1,2,7,high,feet,stripes,C,F,W,E,17,7_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-05-29_11h48.38.688,explain2,2025.1.1,Win32,59.88023952,669c182b2a59d2c81e9053ad,6a19bbb7c5caefa1d95dc8c3,6a19c33dec5133b8d1968db9,,,,,,,,,,,,,,,,,,,,,,,,,,239.2056,259.6347,1,[17.432999999999993],[17.432999999999993],The strip pattern indicates high fertility,1,[240.61939999999998],[240.7027],259.635,260.6319,0,2,2,2,1,C,W,W_C.png,training,1,3,8,high,feet,stripes,C,F,W,E,17,8_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-05-29_11h48.38.688,explain2,2025.1.1,Win32,59.88023952,669c182b2a59d2c81e9053ad,6a19bbb7c5caefa1d95dc8c3,6a19c33dec5133b8d1968db9,,,,,,,,,,,,,,,,,,,,,,,,,,260.6391,286.6275,1,[22.99380000000002],[22.99380000000002],The stripe patter indicates lower fertility,1,[263.24699999999996],[263.31829999999997],286.6276,287.624,0,3,3,3,1,F,E,E_F.png,training,1,4,5,low,feet,stripes,C,F,W,E,17,5_score.png,"Resources/E_C.png,Resources/W_C.png,Resources/W_F.png,Resources/E_F.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
