participant,training_responses,fertility_score,error,feedback,trial_stop_time,testing_image_order,testing_responses,training_categories,training_feet,training_stripes,testing_categories,conditionOrder,training_image_order,attention_check,cogpro_predict,cogpro_explain,stimuli_clicks,reference_clicks,relevant_dim,irrelevant_dim,feet_high,stripes_low,stripes_high,feet_low,feet_discrete_slider.response,feet_direction_slider.response,feet_continuous_slider.response,stripes_discrete_slider.response,stripes_direction_slider.response,stripes_continuous_slider.response
038,"[5.0, 6.0, 3.0, 3.0, 8.0, 5.0, 1.0, 10.0]","[5.0, 8.0, 8.0, 1.0, 8.0, 5.0, 3.0, 5.0]","[0.0, 2.0, 5.0, 2.0, 0.0, 0.0, 2.0, 5.0]","[""I did not notice any other visual differences besides the orientation of stripes and contrasting feet.\xa0 I hope I didn't miss something!""]",357.4099,"['W_F', 'E_C', 'W_C', 'E_F']","[8.0, 5.0, 5.0, 3.0]","['low', 'high', 'high', 'low', 'high', 'low', 'low', 'high']","['C', 'F', 'C', 'F', 'F', 'C', 'F', 'C']","['E', 'W', 'W', 'E', 'W', 'E', 'E', 'W']","['high', 'low', 'high', 'low']",38,"['E_C', 'W_F', 'W_C', 'E_F', 'W_F', 'E_C', 'E_F', 'W_C']",1,7.0,7.0,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",stripes,feet,C,E,W,F,No,,,Yes,Up/Left,5.0
009,"[6.0, 7.0, 6.0, 7.0, 5.0, 6.0, 6.0, 5.0]","[7.0, 6.0, 8.0, 1.0, 5.0, 5.0, 6.0, 6.0]","[1.0, 1.0, 2.0, 6.0, 0.0, 1.0, 0.0, 1.0]","[""I don't know if it matters but I am colorblind. I looked at the images trying to figure out the differences but, I could not pick up on the differences.""]",362.8374,"['W_F', 'W_C', 'E_C', 'E_F']","[6.0, 8.0, 1.0, 6.0]","['high', 'low', 'high', 'low', 'high', 'low', 'low', 'high']","['C', 'F', 'C', 'F', 'C', 'F', 'F', 'C']","['W', 'E', 'E', 'W', 'W', 'W', 'E', 'E']","['low', 'high', 'high', 'low']",9,"['W_C', 'E_F', 'E_C', 'W_F', 'W_C', 'W_F', 'E_F', 'E_C']",1,3.0,3.0,2.0,"[2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",feet,stripes,C,W,E,F,No,,,No,,
017,"[7.0, 7.0, 7.0, 8.0, 5.0, 7.0, 8.0, 3.0]","[7.0, 7.0, 8.0, 5.0, 7.0, 8.0, 3.0, 6.0]","[0.0, 0.0, 1.0, 3.0, 2.0, 1.0, 5.0, 3.0]",['All the reptiles looked the same to me\xa0'],357.4361,"['E_C', 'W_C', 'W_F', 'E_F']","[5.0, 3.0, 7.0, 8.0]","['low', 'high', 'high', 'low', 'high', 'high', 'low', 'low']","['F', 'C', 'C', 'F', 'C', 'C', 'F', 'F']","['W', 'E', 'W', 'E', 'E', 'W', 'E', 'W']","['high', 'high', 'low', 'low']",17,"['W_F', 'E_C', 'W_C', 'E_F', 'E_C', 'W_C', 'E_F', 'W_F']",1,5.0,6.0,4.0,"[1.0, 0.0, 1.0, 2.0, 1.0, 0.0, 0.0, 0.0]",feet,stripes,C,E,W,F,No,,,No,,
026,"[5.0, 5.0, 9.0, 3.0, 8.0, 6.0, 3.0, 5.0]","[5.0, 9.0, 8.0, 5.0, 10.0, 5.0, 7.0, 4.0]","[0.0, 4.0, 1.0, 2.0, 2.0, 1.0, 4.0, 1.0]",[],219.05,"['W_F', 'E_F', 'E_C', 'W_C']","[7.0, 5.0, 6.0, 9.0]","['low', 'high', 'low', 'high', 'high', 'low', 'high', 'low']","['C', 'F', 'F', 'C', 'C', 'C', 'F', 'F']","['E', 'W', 'E', 'W', 'W', 'E', 'W', 'E']","['high', 'low', 'low', 'high']",26,"['E_C', 'W_F', 'E_F', 'W_C', 'W_C', 'E_C', 'W_F', 'E_F']",1,6.0,4.0,1.0,"[0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0]",stripes,feet,F,E,W,C,No,,,Yes, Up/Right,5.0
013,"[8.0, 4.0, 6.0, 2.0, 5.0, 9.0, 3.0, 2.0]","[7.0, 3.0, 6.0, 2.0, 8.0, 10.0, 2.0, 4.0]","[1.0, 1.0, 0.0, 0.0, 3.0, 1.0, 1.0, 2.0]",[],343.318,"['E_F', 'W_C', 'E_C', 'W_F']","[4.0, 8.0, 7.0, 2.0]","['high', 'low', 'high', 'low', 'high', 'high', 'low', 'low']","['C', 'F', 'C', 'F', 'C', 'C', 'F', 'F']","['W', 'W', 'E', 'E', 'E', 'W', 'W', 'E']","['low', 'high', 'high', 'low']",13,"['W_C', 'W_F', 'E_C', 'E_F', 'E_C', 'W_C', 'W_F', 'E_F']",1,6.0,4.0,2.0,"[1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",feet,stripes,C,E,W,F,Yes, Curved/Pointy,6.0,No,,
020,"[6.0, 6.0, 5.0, 3.0, 10.0, 3.0, 5.0, 3.0]","[6.0, 5.0, 4.0, 9.0, 8.0, 7.0, 1.0, 1.0]","[0.0, 1.0, 1.0, 6.0, 2.0, 4.0, 4.0, 2.0]",[],217.3191,"['E_F', 'E_C', 'W_F', 'W_C']","[4.0, 6.0, 5.0, 8.0]","['high', 'low', 'low', 'high', 'high', 'high', 'low', 'low']","['C', 'F', 'C', 'F', 'F', 'C', 'C', 'F']","['E', 'W', 'W', 'E', 'E', 'E', 'W', 'W']","['high', 'high', 'low', 'low']",20,"['E_C', 'W_F', 'W_C', 'E_F', 'E_F', 'E_C', 'W_C', 'W_F']",0,5.0,3.0,3.0,"[2.0, 2.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0]",stripes,feet,F,W,E,C,No,,,Yes,Up/Left,4.0
039,"[5.0, 9.0, 5.0, 3.0, 2.0, 3.0, 4.0, 7.0]","[9.0, 3.0, 3.0, 2.0, 2.0, 4.0, 7.0, 6.0]","[4.0, 6.0, 2.0, 1.0, 0.0, 1.0, 3.0, 1.0]","[""There weren't any particular differences that I noticed.\xa0""]",271.1894,"['W_F', 'W_C', 'E_F', 'E_C']","[9.0, 3.0, 4.0, 5.0]","['high', 'low', 'high', 'low', 'low', 'low', 'high', 'high']","['F', 'C', 'F', 'C', 'C', 'C', 'F', 'F']","['W', 'W', 'E', 'E', 'E', 'W', 'W', 'E']","['high', 'low', 'high', 'low']",39,"['W_F', 'W_C', 'E_F', 'E_C', 'E_C', 'W_C', 'W_F', 'E_F']",1,6.0,2.0,4.0,"[1.0, 2.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0]",feet,stripes,F,E,W,C,No,,,No,,
001,"[5.0, 6.0, 3.0, 5.0, 4.0, 7.0, 6.0, 5.0]","[7.0, 5.0, 2.0, 5.0, 5.0, 7.0, 6.0, 5.0]","[2.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]","['The diagonal up-right stripes seemed darker for the more fertile reptiles, but that could be due to lighting? The season only seemed to have a small effect on the fertility']",405.1898,"['W_C', 'E_C', 'W_F', 'E_F']","[6.0, 7.0, 5.0, 6.0]","['high', 'high', 'low', 'low', 'low', 'high', 'high', 'low']","['C', 'C', 'F', 'F', 'F', 'C', 'C', 'F']","['E', 'W', 'W', 'E', 'W', 'E', 'W', 'E']","['high', 'high', 'low', 'low']",1,"['E_C', 'W_C', 'W_F', 'E_F', 'W_F', 'E_C', 'W_C', 'E_F']",1,7.0,7.0,4.0,"[2.0, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0, 2.0]",feet,stripes,C,W,E,F,Yes, Curved/Pointy,7.0,Yes, Up/Right,7.0
023,"[6.0, 10.0, 6.0, 5.0, 7.0, 9.0, 2.0, 2.0]","[10.0, 8.0, 3.0, 2.0, 9.0, 9.0, 7.0, 5.0]","[4.0, 2.0, 3.0, 3.0, 2.0, 0.0, 5.0, 3.0]",[],322.432,"['E_C', 'W_C', 'E_F', 'W_F']","[7.0, 3.0, 9.0, 9.0]","['high', 'high', 'low', 'low', 'high', 'high', 'low', 'low']","['F', 'F', 'C', 'C', 'F', 'F', 'C', 'C']","['E', 'W', 'W', 'E', 'E', 'W', 'E', 'W']","['low', 'low', 'high', 'high']",23,"['E_F', 'W_F', 'W_C', 'E_C', 'E_F', 'W_F', 'E_C', 'W_C']",1,7.0,1.0,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",feet,stripes,F,W,E,C,Yes,Webbed,6.0,Yes, Up/Right,6.0
021,"[8.0, 9.0, 10.0, 6.0, 8.0, 10.0, 2.0, 7.0]","[10.0, 2.0, 8.0, 3.0, 10.0, 8.0, 7.0, 5.0]","[2.0, 7.0, 2.0, 3.0, 2.0, 2.0, 5.0, 2.0]",['No'],241.5104,"['E_F', 'E_C', 'W_C', 'W_F']","[5.0, 10.0, 8.0, 2.0]","['high', 'low', 'high', 'low', 'high', 'high', 'low', 'low']","['C', 'F', 'C', 'F', 'C', 'C', 'F', 'F']","['W', 'E', 'E', 'W', 'W', 'E', 'E', 'W']","['low', 'high', 'high', 'low']",21,"['W_C', 'E_F', 'E_C', 'W_F', 'W_C', 'E_C', 'E_F', 'W_F']",1,4.0,6.0,2.0,"[2.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0]",feet,stripes,C,E,W,F,Yes, Curved/Pointy,7.0,Yes, Up/Right,5.0
018,"[8.0, 5.0, 3.0, 9.0, 3.0, 8.0, 7.0, 6.0]","[1.0, 10.0, 4.0, 9.0, 2.0, 3.0, 7.0, 8.0]","[7.0, 5.0, 1.0, 0.0, 1.0, 5.0, 0.0, 2.0]",[],154.495,"['E_F', 'W_C', 'E_C', 'W_F']","[5.0, 8.0, 3.0, 8.0]","['low', 'high', 'low', 'high', 'low', 'low', 'high', 'high']","['F', 'F', 'C', 'C', 'F', 'C', 'C', 'F']","['E', 'W', 'E', 'W', 'E', 'E', 'W', 'W']","['low', 'high', 'low', 'high']",18,"['E_F', 'W_F', 'E_C', 'W_C', 'E_F', 'E_C', 'W_C', 'W_F']",1,5.0,3.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",stripes,feet,C,E,W,F,Yes, Curved/Pointy,4.0,Yes,Up/Left,3.0
016,"[5.0, 5.0, 8.0, 3.0, 8.0, 6.0, 3.0, 8.0]","[1.0, 7.0, 4.0, 7.0, 4.0, 6.0, 5.0, 2.0]","[4.0, 2.0, 4.0, 4.0, 4.0, 0.0, 2.0, 6.0]",[],386.572,"['W_C', 'E_C', 'W_F', 'E_F']","[3.0, 4.0, 5.0, 7.0]","['low', 'high', 'low', 'high', 'low', 'high', 'high', 'low']","['F', 'C', 'C', 'F', 'C', 'F', 'C', 'F']","['W', 'E', 'W', 'E', 'W', 'E', 'E', 'W']","['low', 'high', 'low', 'high']",16,"['W_F', 'E_C', 'W_C', 'E_F', 'W_C', 'E_F', 'E_C', 'W_F']",1,7.0,2.0,2.0,"[2.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",stripes,feet,C,W,E,F,Yes,Webbed,5.0,No,,
008,"[5.0, 7.0, 4.0, 8.0, 6.0, 7.0, 8.0, 4.0]","[9.0, 6.0, 7.0, 4.0, 6.0, 9.0, 3.0, 3.0]","[4.0, 1.0, 3.0, 4.0, 0.0, 2.0, 5.0, 1.0]","['No, I did not notice any other features that were different.']",323.744,"['E_C', 'E_F', 'W_C', 'W_F']","[8.0, 4.0, 3.0, 9.0]","['high', 'high', 'low', 'low', 'high', 'high', 'low', 'low']","['F', 'C', 'F', 'C', 'C', 'F', 'F', 'C']","['E', 'E', 'W', 'W', 'E', 'E', 'W', 'W']","['high', 'high', 'low', 'low']",8,"['E_F', 'E_C', 'W_F', 'W_C', 'E_C', 'E_F', 'W_F', 'W_C']",0,7.0,5.0,7.0,"[3.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0]",stripes,feet,F,W,E,C,Yes,Webbed,4.0,Yes, Up/Right,6.0
010,"[7.0, 9.0, 5.0, 5.0, 6.0, 6.0, 5.0, 7.0]","[5.0, 5.0, 5.0, 6.0, 7.0, 6.0, 2.0, 2.0]","[2.0, 4.0, 0.0, 1.0, 1.0, 0.0, 3.0, 5.0]",[],245.3183,"['E_C', 'W_C', 'E_F', 'W_F']","[2.0, 7.0, 6.0, 5.0]","['high', 'low', 'low', 'high', 'high', 'high', 'low', 'low']","['C', 'F', 'C', 'F', 'F', 'C', 'C', 'F']","['W', 'E', 'E', 'W', 'W', 'W', 'E', 'E']","['low', 'high', 'low', 'high']",10,"['W_C', 'E_F', 'E_C', 'W_F', 'W_F', 'W_C', 'E_C', 'E_F']",1,3.0,5.0,6.0,"[1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0]",stripes,feet,F,E,W,C,Yes, Curved/Pointy,4.0,No,,
002,"[6.0, 6.0, 6.0, 7.0, 4.0, 7.0, 9.0, 2.0]","[3.0, 6.0, 4.0, 10.0, 2.0, 4.0, 9.0, 4.0]","[3.0, 0.0, 2.0, 3.0, 2.0, 3.0, 0.0, 2.0]","[""I didn't notice any other visual differences.\xa0 At times, the instructions and the images overlapped, making it dificult to read the text""]",211.8815,"['E_F', 'W_F', 'E_C', 'W_C']","[6.0, 3.0, 9.0, 4.0]","['low', 'high', 'low', 'high', 'low', 'high', 'high', 'low']","['F', 'F', 'C', 'C', 'C', 'F', 'C', 'F']","['E', 'W', 'E', 'W', 'E', 'W', 'W', 'E']","['low', 'high', 'low', 'high']",2,"['E_F', 'W_F', 'E_C', 'W_C', 'E_C', 'W_F', 'W_C', 'E_F']",1,7.0,1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",stripes,feet,C,E,W,F,Yes, Curved/Pointy,2.0,Yes,Up/Left,6.0
027,"[6.0, 10.0, 9.0, 1.0, 1.0, 2.0, 6.0, 6.0]","[10.0, 7.0, 3.0, 2.0, 2.0, 4.0, 5.0, 8.0]","[4.0, 3.0, 6.0, 1.0, 1.0, 2.0, 1.0, 2.0]",[],353.3087,"['E_C', 'E_F', 'W_F', 'W_C']","[10.0, 7.0, 3.0, 6.0]","['high', 'high', 'low', 'low', 'low', 'high', 'high', 'low']","['F', 'F', 'C', 'C', 'C', 'F', 'F', 'C']","['E', 'W', 'E', 'W', 'W', 'E', 'W', 'E']","['low', 'high', 'high', 'low']",27,"['E_F', 'W_F', 'E_C', 'W_C', 'W_C', 'E_F', 'W_F', 'E_C']",1,4.0,5.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",feet,stripes,F,W,E,C,Yes,Webbed,5.0,No,,
