consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,002,2026-05-30_17h21.00.032,explain2,2025.1.1,Win32,59.88023952,6a0b3ca3199b50e208e5c94e,6a1b52fd8d36aba68ae2bfb7,6a1b549e50fc20f39cb68133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2026-05-30_17h21.00.032,explain2,2025.1.1,Win32,59.88023952,6a0b3ca3199b50e208e5c94e,6a1b52fd8d36aba68ae2bfb7,6a1b549e50fc20f39cb68133,9.6278,9.6278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2026-05-30_17h21.00.032,explain2,2025.1.1,Win32,59.88023952,6a0b3ca3199b50e208e5c94e,6a1b52fd8d36aba68ae2bfb7,6a1b549e50fc20f39cb68133,,,9.6281,34.3058,1,[19.682600000023847],[19.682600000023847],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2026-05-30_17h21.00.032,explain2,2025.1.1,Win32,59.88023952,6a0b3ca3199b50e208e5c94e,6a1b52fd8d36aba68ae2bfb7,6a1b549e50fc20f39cb68133,,,,,,,,34.3059,83.8799,1,[44.58609999996423],[44.58609999996423],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2026-05-30_17h21.00.032,explain2,2025.1.1,Win32,59.88023952,6a0b3ca3199b50e208e5c94e,6a1b52fd8d36aba68ae2bfb7,6a1b549e50fc20f39cb68133,,,,,,,,,,,,,83.88,145.7642,1,[56.896600000023824],[56.896600000023824],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2026-05-30_17h21.00.032,explain2,2025.1.1,Win32,59.88023952,6a0b3ca3199b50e208e5c94e,6a1b52fd8d36aba68ae2bfb7,6a1b549e50fc20f39cb68133,,,,,,,,,,,,,,,,,,145.7643,189.6503,1,[38.8988000000119],[38.8988000000119],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2026-05-30_17h21.00.032,explain2,2025.1.1,Win32,59.88023952,6a0b3ca3199b50e208e5c94e,6a1b52fd8d36aba68ae2bfb7,6a1b549e50fc20f39cb68133,,,,,,,,,,,,,,,,,,,,,,,189.6539,223.4285,1,[30.775000000000006],[30.775000000000006],The stripes are the reason,223.4286,224.4289,0,0,0,0,1,C,E,E_C.png,training,1,1,5,low,stripes,feet,W,E,F,C,2,5_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2026-05-30_17h21.00.032,explain2,2025.1.1,Win32,59.88023952,6a0b3ca3199b50e208e5c94e,6a1b52fd8d36aba68ae2bfb7,6a1b549e50fc20f39cb68133,,,,,,,,,,,,,,,,,,,,,,,224.4298,277.5732,1,[50.157700000047726],[50.157800000011946],the webbed toes,277.5732,278.5735,0,1,1,1,1,F,W,W_F.png,training,1,2,9,high,stripes,feet,W,E,F,C,2,9_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2026-05-30_17h21.00.032,explain2,2025.1.1,Win32,59.88023952,6a0b3ca3199b50e208e5c94e,6a1b52fd8d36aba68ae2bfb7,6a1b549e50fc20f39cb68133,,,,,,,,,,,,,,,,,,,,,,,278.5744,292.2853,1,[10.725600000023803],[10.725600000023803],the curled toes,292.2853,293.2855,0,2,2,2,1,C,W,W_C.png,training,1,3,5,high,stripes,feet,W,E,F,C,2,5_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2026-05-30_17h21.00.032,explain2,2025.1.1,Win32,59.88023952,6a0b3ca3199b50e208e5c94e,6a1b52fd8d36aba68ae2bfb7,6a1b549e50fc20f39cb68133,,,,,,,,,,,,,,,,,,,,,,,293.2864,321.6759,1,[25.404199999988066],[25.404199999988066],horizontal stripes,321.6759,322.677,0,3,3,3,1,F,E,E_F.png,training,1,4,4,low,stripes,feet,W,E,F,C,2,4_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2026-05-30_17h21.00.032,explain2,2025.1.1,Win32,59.88023952,6a0b3ca3199b50e208e5c94e,6a1b52fd8d36aba68ae2bfb7,6a1b549e50fc20f39cb68133,,,,,,,,,,,,,,,,,,,,,,,322.6799,350.6831,1,[25.020199999988108],[25.020199999988108],slanted stripes,350.6832,351.6835,0,4,4,4,1,C,W,W_C.png,training,2,5,8,high,stripes,feet,W,E,F,C,2,8_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2026-05-30_17h21.00.032,explain2,2025.1.1,Win32,59.88023952,6a0b3ca3199b50e208e5c94e,6a1b52fd8d36aba68ae2bfb7,6a1b549e50fc20f39cb68133,,,,,,,,,,,,,,,,,,,,,,,351.6843,361.1083,1,[6.438199999988058],[6.438199999988058],vertical stripes,361.1084,362.1089,0,5,5,5,1,F,E,E_F.png,training,2,6,4,low,stripes,feet,W,E,F,C,2,4_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2026-05-30_17h21.00.032,explain2,2025.1.1,Win32,59.88023952,6a0b3ca3199b50e208e5c94e,6a1b52fd8d36aba68ae2bfb7,6a1b549e50fc20f39cb68133,,,,,,,,,,,,,,,,,,,,,,,362.1098,376.3557,1,[11.259299999952304],[11.259399999976154],slanted stripes with webbed toes,376.3558,377.3553,0,6,6,6,1,F,W,W_F.png,training,2,7,9,high,stripes,feet,W,E,F,C,2,9_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2026-05-30_17h21.00.032,explain2,2025.1.1,Win32,59.88023952,6a0b3ca3199b50e208e5c94e,6a1b52fd8d36aba68ae2bfb7,6a1b549e50fc20f39cb68133,,,,,,,,,,,,,,,,,,,,,,,377.3569,394.2357,1,[13.894800000011912],[13.894800000011912],vertical stripes with curled toes,394.2357,395.2363,0,7,7,7,1,C,E,E_C.png,training,2,8,3,low,stripes,feet,W,E,F,C,2,3_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2026-05-30_17h21.00.032,explain2,2025.1.1,Win32,59.88023952,6a0b3ca3199b50e208e5c94e,6a1b52fd8d36aba68ae2bfb7,6a1b549e50fc20f39cb68133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.2365,414.6691,1,[16.446799999952304],[16.446799999952304],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2026-05-30_17h21.00.032,explain2,2025.1.1,Win32,59.88023952,6a0b3ca3199b50e208e5c94e,6a1b52fd8d36aba68ae2bfb7,6a1b549e50fc20f39cb68133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,E,E_C.png,training,1,1,5,low,stripes,feet,W,E,F,C,2,5_score.png,"Resources/E_F.png,Resources/W_C.png,Resources/E_C.png,Resources/W_F.png","low,high,low,high",,,,,,414.6774,447.6806,"[4,6,3,9]",1,[8.891300000011938],[8.891300000011938],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2026-05-30_17h21.00.032,explain2,2025.1.1,Win32,59.88023952,6a0b3ca3199b50e208e5c94e,6a1b52fd8d36aba68ae2bfb7,6a1b549e50fc20f39cb68133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447.6863,473.6344,7,24.3513,Yes,9.073,Up/Left,Up/Left,20.4799,1,[1.6008000000119296],[1.6008000000119296],0,0,0,0,1,stripe,Reptiles varied in whether they had stripes oriented UPWARDS AND RIGHT  or UPWARDS AND LEFT. Did stripe orientation make a difference to fertility?,Did stripe orientation matter to the fertility of reptiles?,"Up/Left, Up/Right",LeftvRight.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2026-05-30_17h21.00.032,explain2,2025.1.1,Win32,59.88023952,6a0b3ca3199b50e208e5c94e,6a1b52fd8d36aba68ae2bfb7,6a1b549e50fc20f39cb68133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473.6361,487.8959,2,12.1713,Yes,5.6334,Webbed,0,9.5585,1,[2.1011000000237914],[2.1011000000237914],0,1,1,1,1,feet,"Reptiles varied in whether they had WEBBED feet or POINTY, CURVED feet. Did having CURVED/POINTY or WEBBED feet make a difference to fertility?",Did foot shape matter to the fertility of reptiles?,"Webbed, Curved/Pointy",WebbedvCurly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2026-05-30_17h21.00.032,explain2,2025.1.1,Win32,59.88023952,6a0b3ca3199b50e208e5c94e,6a1b52fd8d36aba68ae2bfb7,6a1b549e50fc20f39cb68133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487.8962,496.4698,0,[],[],0,[],[],1,[6.588700000047652],[6.588700000047652],0,[],[],,,,,,,,,,,,,,,,
,002,2026-05-30_17h21.00.032,explain2,2025.1.1,Win32,59.88023952,6a0b3ca3199b50e208e5c94e,6a1b52fd8d36aba68ae2bfb7,6a1b549e50fc20f39cb68133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.4701,533.1342,All the time - 7,26.6185,Not at all - 1,35.5407,1,[1.11820000004775],[1.11820000004775],,,,,,,
,002,2026-05-30_17h21.00.032,explain2,2025.1.1,Win32,59.88023952,6a0b3ca3199b50e208e5c94e,6a1b52fd8d36aba68ae2bfb7,6a1b549e50fc20f39cb68133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533.1346,545.961,,1,[11.826100000023871],[11.826100000023871],
,002,2026-05-30_17h21.00.032,explain2,2025.1.1,Win32,59.88023952,6a0b3ca3199b50e208e5c94e,6a1b52fd8d36aba68ae2bfb7,6a1b549e50fc20f39cb68133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complete
