consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,004,2026-05-30_16h47.46.770,explain2,2025.1.1,Win32,59.52380952,699b9b277b97a559c894d112,6a1b52fd8d36aba68ae2bfb7,6a1b5ae652da28f21a542cbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2026-05-30_16h47.46.770,explain2,2025.1.1,Win32,59.52380952,699b9b277b97a559c894d112,6a1b52fd8d36aba68ae2bfb7,6a1b5ae652da28f21a542cbe,85.9327,85.9329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2026-05-30_16h47.46.770,explain2,2025.1.1,Win32,59.52380952,699b9b277b97a559c894d112,6a1b52fd8d36aba68ae2bfb7,6a1b5ae652da28f21a542cbe,,,85.9333,124.0896,1,[33.15939999985697],[33.15939999985697],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2026-05-30_16h47.46.770,explain2,2025.1.1,Win32,59.52380952,699b9b277b97a559c894d112,6a1b52fd8d36aba68ae2bfb7,6a1b5ae652da28f21a542cbe,,,,,,,,124.0897,159.3866,1,[30.30239999985696],[30.30239999985696],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2026-05-30_16h47.46.770,explain2,2025.1.1,Win32,59.52380952,699b9b277b97a559c894d112,6a1b52fd8d36aba68ae2bfb7,6a1b5ae652da28f21a542cbe,,,,,,,,,,,,,159.3867,184.6614,1,[20.28],[20.28],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2026-05-30_16h47.46.770,explain2,2025.1.1,Win32,59.52380952,699b9b277b97a559c894d112,6a1b52fd8d36aba68ae2bfb7,6a1b5ae652da28f21a542cbe,,,,,,,,,,,,,,,,,,184.6617,213.1761,1,[23.52040000009535],[23.52040000009535],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2026-05-30_16h47.46.770,explain2,2025.1.1,Win32,59.52380952,699b9b277b97a559c894d112,6a1b52fd8d36aba68ae2bfb7,6a1b5ae652da28f21a542cbe,,,,,,,,,,,,,,,,,,,,,,,213.1801,361.5656,1,[145.39809999990462],[145.39809999990462],It's fertility is 5 because it has diagonal stripes and web feet.,361.5658,362.5672,0,0,0,0,1,F,W,W_F.png,training,1,1,5,low,stripes,feet,E,W,F,C,4,5_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2026-05-30_16h47.46.770,explain2,2025.1.1,Win32,59.52380952,699b9b277b97a559c894d112,6a1b52fd8d36aba68ae2bfb7,6a1b5ae652da28f21a542cbe,,,,,,,,,,,,,,,,,,,,,,,362.5694,445.1561,1,[79.5985],[79.5985],This reptile's diagonal stripes are darker coupled with webbed feet mean it has a higher fertility.,445.1563,446.1579,0,1,1,1,1,F,E,E_F.png,training,1,2,9,high,stripes,feet,E,W,F,C,4,9_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2026-05-30_16h47.46.770,explain2,2025.1.1,Win32,59.52380952,699b9b277b97a559c894d112,6a1b52fd8d36aba68ae2bfb7,6a1b5ae652da28f21a542cbe,,,,,,,,,,,,,,,,,,,,,,,446.1601,572.7473,1,[123.59879999995235],[123.59879999995235],"Due to curled feet and moderate upper left to lower right diagonal stripes, this reptile has lower fertility",572.7476,573.749,0,2,2,2,1,C,W,W_C.png,training,1,3,3,low,stripes,feet,E,W,F,C,4,3_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2026-05-30_16h47.46.770,explain2,2025.1.1,Win32,59.52380952,699b9b277b97a559c894d112,6a1b52fd8d36aba68ae2bfb7,6a1b5ae652da28f21a542cbe,,,,,,,,,,,,,,,,,,,,,,,573.7511,682.8661,1,[106.12579999995239],[106.12579999995239],"Despite having upper right to lower left diagonal stripes, this reptile only has medium fertility due mainly to having curled feet",682.8666,683.8672,0,3,3,3,1,C,E,E_C.png,training,1,4,5,high,stripes,feet,E,W,F,C,4,5_score.png,"Resources/W_F.png,Resources/W_C.png,Resources/E_F.png,Resources/E_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
