consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,023,2026-05-30_14h27.22.841,explain2,2025.1.1,MacIntel,60.24096386,5dfbc3a1946e978e69d8e586,6a1b52fd8d36aba68ae2bfb7,6a1b561a9a4adb5685e22158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,023,2026-05-30_14h27.22.841,explain2,2025.1.1,MacIntel,60.24096386,5dfbc3a1946e978e69d8e586,6a1b52fd8d36aba68ae2bfb7,6a1b561a9a4adb5685e22158,6.1658,6.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,023,2026-05-30_14h27.22.841,explain2,2025.1.1,MacIntel,60.24096386,5dfbc3a1946e978e69d8e586,6a1b52fd8d36aba68ae2bfb7,6a1b561a9a4adb5685e22158,,,6.1666,14.8,1,[3.633700000017882],[3.633700000017882],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,023,2026-05-30_14h27.22.841,explain2,2025.1.1,MacIntel,60.24096386,5dfbc3a1946e978e69d8e586,6a1b52fd8d36aba68ae2bfb7,6a1b561a9a4adb5685e22158,,,,,,,,14.8002,25.0833,1,[5.284099999994041],[5.284099999994041],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,023,2026-05-30_14h27.22.841,explain2,2025.1.1,MacIntel,60.24096386,5dfbc3a1946e978e69d8e586,6a1b52fd8d36aba68ae2bfb7,6a1b561a9a4adb5685e22158,,,,,,,,,,,,,25.0834,44.9503,1,[14.86709999999404],[14.86709999999404],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,023,2026-05-30_14h27.22.841,explain2,2025.1.1,MacIntel,60.24096386,5dfbc3a1946e978e69d8e586,6a1b52fd8d36aba68ae2bfb7,6a1b561a9a4adb5685e22158,,,,,,,,,,,,,,,,,,44.9506,60.7329,1,[10.782800000011918],[10.782800000011918],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,023,2026-05-30_14h27.22.841,explain2,2025.1.1,MacIntel,60.24096386,5dfbc3a1946e978e69d8e586,6a1b52fd8d36aba68ae2bfb7,6a1b561a9a4adb5685e22158,,,,,,,,,,,,,,,,,,,,,,,60.7412,89.8682,1,[26.133900000005966],[26.133900000005966],This reptile had an average fertility score of 5. ,89.8684,90.867,0,0,0,0,1,F,E,E_F.png,training,1,1,5,high,feet,stripes,F,C,E,W,23,5_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/E_C.png,Resources/W_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,023,2026-05-30_14h27.22.841,explain2,2025.1.1,MacIntel,60.24096386,5dfbc3a1946e978e69d8e586,6a1b52fd8d36aba68ae2bfb7,6a1b561a9a4adb5685e22158,,,,,,,,,,,,,,,,,,,,,,,90.8703,105.3505,1,[11.483599999994041],[11.483699999988076],This time the fertility score went down.,105.3505,106.3493,0,1,1,1,1,C,W,W_C.png,training,1,2,4,low,feet,stripes,F,C,E,W,23,4_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/E_C.png,Resources/W_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,023,2026-05-30_14h27.22.841,explain2,2025.1.1,MacIntel,60.24096386,5dfbc3a1946e978e69d8e586,6a1b52fd8d36aba68ae2bfb7,6a1b561a9a4adb5685e22158,,,,,,,,,,,,,,,,,,,,,,,106.3514,137.2851,1,[27.93459999999402],[27.93459999999402],"This animal had a low fertility score, maybe due to the stripes.",137.2852,138.284,0,2,2,2,1,C,E,E_C.png,training,1,3,1,low,feet,stripes,F,C,E,W,23,1_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/E_C.png,Resources/W_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,023,2026-05-30_14h27.22.841,explain2,2025.1.1,MacIntel,60.24096386,5dfbc3a1946e978e69d8e586,6a1b52fd8d36aba68ae2bfb7,6a1b561a9a4adb5685e22158,,,,,,,,,,,,,,,,,,,,,,,138.2864,159.7851,1,[18.500299999982133],[18.500299999982133],"This reptile had a higher fertility score, due to left stripes.",159.7852,160.7832,0,3,3,3,1,F,W,W_F.png,training,1,4,6,high,feet,stripes,F,C,E,W,23,6_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/E_C.png,Resources/W_F.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
