consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,030,2026-05-30_17h31.37.552,explain2,2025.1.1,Win32,59.88023952,6a1649857384eddeae867230,6a1b52fd8d36aba68ae2bfb7,6a1b57065a6b776c245b476c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,030,2026-05-30_17h31.37.552,explain2,2025.1.1,Win32,59.88023952,6a1649857384eddeae867230,6a1b52fd8d36aba68ae2bfb7,6a1b57065a6b776c245b476c,3.049,3.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,030,2026-05-30_17h31.37.552,explain2,2025.1.1,Win32,59.88023952,6a1649857384eddeae867230,6a1b52fd8d36aba68ae2bfb7,6a1b57065a6b776c245b476c,,,3.0491,12.1415,1,[4.100999999999999],[4.100999999999999],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,030,2026-05-30_17h31.37.552,explain2,2025.1.1,Win32,59.88023952,6a1649857384eddeae867230,6a1b52fd8d36aba68ae2bfb7,6a1b57065a6b776c245b476c,,,,,,,,12.1417,18.3228,1,[1.182900000095369],[1.182900000095369],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,030,2026-05-30_17h31.37.552,explain2,2025.1.1,Win32,59.88023952,6a1649857384eddeae867230,6a1b52fd8d36aba68ae2bfb7,6a1b57065a6b776c245b476c,,,,,,,,,,,,,18.3228,25.2071,1,[1.8842000000476844],[1.8842000000476844],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,030,2026-05-30_17h31.37.552,explain2,2025.1.1,Win32,59.88023952,6a1649857384eddeae867230,6a1b52fd8d36aba68ae2bfb7,6a1b57065a6b776c245b476c,,,,,,,,,,,,,,,,,,25.2072,33.4395,1,[3.233400000095365],[3.233400000095365],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,030,2026-05-30_17h31.37.552,explain2,2025.1.1,Win32,59.88023952,6a1649857384eddeae867230,6a1b52fd8d36aba68ae2bfb7,6a1b57065a6b776c245b476c,,,,,,,,,,,,,,,,,,,,,,,33.4431,53.2065,1,[16.766599999904635],[16.766599999904635],,53.2069,54.2062,0,0,0,0,1,F,E,E_F.png,training,1,1,4,low,stripes,feet,W,E,F,C,30,4_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,030,2026-05-30_17h31.37.552,explain2,2025.1.1,Win32,59.88023952,6a1649857384eddeae867230,6a1b52fd8d36aba68ae2bfb7,6a1b57065a6b776c245b476c,,,,,,,,,,,,,,,,,,,,,,,54.2077,58.9066,1,[1.7157999999523241],[1.7157999999523241],I dont know,58.9068,59.906,0,1,1,1,1,C,E,E_C.png,training,1,2,4,low,stripes,feet,W,E,F,C,30,4_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,030,2026-05-30_17h31.37.552,explain2,2025.1.1,Win32,59.88023952,6a1649857384eddeae867230,6a1b52fd8d36aba68ae2bfb7,6a1b57065a6b776c245b476c,,,,,,,,,,,,,,,,,,,,,,,59.9078,66.5909,1,[3.684299999952316],[3.684299999952316],a lotta stripes,66.5922,67.5893,0,2,2,2,1,C,W,W_C.png,training,1,3,8,high,stripes,feet,W,E,F,C,30,8_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,030,2026-05-30_17h31.37.552,explain2,2025.1.1,Win32,59.88023952,6a1649857384eddeae867230,6a1b52fd8d36aba68ae2bfb7,6a1b57065a6b776c245b476c,,,,,,,,,,,,,,,,,,,,,,,67.5907,77.5898,1,[6.99989999985695],[7],Almost as many stripes as 8,77.5898,78.5894,0,3,3,3,1,F,W,W_F.png,training,1,4,7,high,stripes,feet,W,E,F,C,30,7_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
