participant,training_responses,fertility_score,error,feedback,trial_stop_time,testing_image_order,testing_responses,training_categories,training_feet,training_stripes,testing_categories,conditionOrder,training_image_order,attention_check,cogpro_predict,cogpro_explain,relevant_dim,irrelevant_dim,feet_high,stripes_low,stripes_high,feet_low,feet_discrete_slider.response,feet_direction_slider.response,feet_continuous_slider.response,stripes_discrete_slider.response,stripes_direction_slider.response,stripes_continuous_slider.response
025,"[4.0, 6.0, 5.0, 6.0, 7.0, 5.0, 4.0, 9.0]","[6.0, 3.0, 8.0, 6.0, 6.0, 2.0, 7.0, 2.0]","[2.0, 3.0, 3.0, 0.0, 1.0, 3.0, 3.0, 7.0]",[],337.0747,"['E_C', 'W_C', 'W_F', 'E_F']","[8.0, 6.0, 3.0, 5.0]","['high', 'low', 'high', 'low', 'high', 'low', 'high', 'low']","['C', 'F', 'C', 'F', 'C', 'F', 'C', 'F']","['E', 'E', 'W', 'W', 'W', 'W', 'E', 'E']","['high', 'high', 'low', 'low']",25,"['E_C', 'E_F', 'W_C', 'W_F', 'W_C', 'W_F', 'E_C', 'E_F']",0,3.0,4.0,feet,stripes,C,E,W,F,Yes, Curved/Pointy,5.0,Yes,Up/Left,4.0
039,"[5.0, 5.0, 5.0, 5.0, 8.0, 6.0, 5.0, 1.0]","[3.0, 10.0, 8.0, 6.0, 1.0, 6.0, 9.0, 9.0]","[2.0, 5.0, 3.0, 1.0, 7.0, 0.0, 4.0, 8.0]","[""I don't know that the traits are a causal factor in fertility.\xa0""]",579.4773,"['W_C', 'W_F', 'E_C', 'E_F']","[6.0, 9.0, 3.0, 9.0]","['low', 'high', 'high', 'low', 'low', 'low', 'high', 'high']","['C', 'F', 'F', 'C', 'C', 'C', 'F', 'F']","['E', 'W', 'E', 'W', 'E', 'W', 'W', 'E']","['low', 'high', 'low', 'high']",39,"['E_C', 'W_F', 'E_F', 'W_C', 'E_C', 'W_C', 'W_F', 'E_F']",0,3.0,1.0,feet,stripes,F,E,W,C,No,,,Yes,Up/Left,5.0
013,"[6.0, 4.0, 7.0, 7.0, 6.0, 3.0, 5.0, 7.0]","[5.0, 2.0, 1.0, 5.0, 10.0, 5.0, 10.0, 2.0]","[1.0, 2.0, 6.0, 2.0, 4.0, 2.0, 5.0, 5.0]",[],216.916,"['W_F', 'W_C', 'E_F', 'E_C']","[6.0, 7.0, 5.0, 8.0]","['high', 'low', 'low', 'high', 'high', 'low', 'high', 'low']","['C', 'F', 'F', 'C', 'C', 'F', 'C', 'F']","['W', 'E', 'W', 'E', 'E', 'W', 'W', 'E']","['low', 'high', 'low', 'high']",13,"['W_C', 'E_F', 'W_F', 'E_C', 'E_C', 'W_F', 'W_C', 'E_F']",1,6.0,4.0,feet,stripes,C,E,W,F,Yes, Curved/Pointy,5.0,Yes, Up/Right,3.0
008,"[6.0, 5.0, 10.0, 10.0, 2.0, 10.0, 10.0, 1.0]","[3.0, 10.0, 1.0, 9.0, 3.0, 8.0, 8.0, 1.0]","[3.0, 5.0, 9.0, 1.0, 1.0, 2.0, 2.0, 0.0]",[],349.885,"['E_C', 'E_F', 'W_F', 'W_C']","[9.0, 10.0, 3.0, 1.0]","['low', 'high', 'low', 'high', 'low', 'high', 'high', 'low']","['F', 'C', 'C', 'F', 'F', 'C', 'F', 'C']","['W', 'E', 'W', 'E', 'W', 'E', 'E', 'W']","['high', 'high', 'low', 'low']",8,"['W_F', 'E_C', 'W_C', 'E_F', 'W_F', 'E_C', 'E_F', 'W_C']",1,7.0,1.0,stripes,feet,F,W,E,C,Yes,Webbed,2.0,Yes, Up/Right,7.0
024,"[7.0, 3.0, 10.0, 2.0, 9.0, 6.0, 3.0, 8.0]","[10.0, 3.0, 9.0, 5.0, 4.0, 1.0, 5.0, 6.0]","[3.0, 0.0, 1.0, 3.0, 5.0, 5.0, 2.0, 2.0]","['I didn’t know what I was supposed to be looking a, so I based it all on stripe direction.']",243.414,"['E_F', 'W_C', 'W_F', 'E_C']","[9.0, 4.0, 6.0, 9.0]","['high', 'low', 'high', 'low', 'high', 'low', 'low', 'high']","['F', 'C', 'C', 'F', 'F', 'C', 'F', 'C']","['E', 'W', 'E', 'W', 'E', 'W', 'W', 'E']","['high', 'low', 'low', 'high']",24,"['E_F', 'W_C', 'E_C', 'W_F', 'E_F', 'W_C', 'W_F', 'E_C']",1,5.0,5.0,stripes,feet,F,W,E,C,Yes, Curved/Pointy,5.0,Yes, Up/Right,6.0
029,"[8.0, 4.0, 6.0, 6.0, 7.0, 7.0, 6.0, 6.0]","[6.0, 6.0, 6.0, 7.0, 3.0, 10.0, 2.0, 4.0]","[2.0, 2.0, 0.0, 1.0, 4.0, 3.0, 4.0, 2.0]",[],222.4744,"['W_F', 'W_C', 'E_C', 'E_F']","[6.0, 4.0, 4.0, 6.0]","['high', 'low', 'low', 'high', 'high', 'high', 'low', 'low']","['C', 'F', 'F', 'C', 'C', 'C', 'F', 'F']","['E', 'W', 'E', 'W', 'W', 'E', 'E', 'W']","['low', 'high', 'high', 'low']",29,"['E_C', 'W_F', 'E_F', 'W_C', 'W_C', 'E_C', 'E_F', 'W_F']",1,6.0,1.0,feet,stripes,C,W,E,F,Yes,Webbed,3.0,No,,
023,"[5.0, 10.0, 9.0, 5.0, 5.0, 5.0, 8.0, 6.0]","[5.0, 4.0, 1.0, 6.0, 10.0, 3.0, 9.0, 10.0]","[0.0, 6.0, 8.0, 1.0, 5.0, 2.0, 1.0, 4.0]",[],281.3694,"['W_C', 'E_F', 'E_C', 'W_F']","[5.0, 8.0, 2.0, 3.0]","['high', 'low', 'low', 'high', 'high', 'low', 'high', 'low']","['F', 'C', 'C', 'F', 'F', 'C', 'F', 'C']","['E', 'W', 'E', 'W', 'W', 'W', 'E', 'E']","['low', 'high', 'low', 'high']",23,"['E_F', 'W_C', 'E_C', 'W_F', 'W_F', 'W_C', 'E_F', 'E_C']",1,6.0,2.0,feet,stripes,F,W,E,C,Yes, Curved/Pointy,4.0,Yes,Up/Left,4.0
017,"[7.0, 3.0, 6.0, 6.0, 6.0, 6.0, 7.0, 7.0]","[2.0, 6.0, 5.0, 9.0, 5.0, 6.0, 10.0, 5.0]","[5.0, 3.0, 1.0, 3.0, 1.0, 0.0, 3.0, 2.0]",[],271.917,"['W_F', 'E_C', 'W_C', 'E_F']","[6.0, 5.0, 2.0, 4.0]","['low', 'high', 'low', 'high', 'low', 'high', 'high', 'low']","['F', 'C', 'F', 'C', 'F', 'C', 'C', 'F']","['W', 'W', 'E', 'E', 'E', 'W', 'E', 'W']","['low', 'high', 'high', 'low']",17,"['W_F', 'W_C', 'E_F', 'E_C', 'E_F', 'W_C', 'E_C', 'W_F']",1,6.0,5.0,feet,stripes,C,W,E,F,Yes,Webbed,4.0,No,,
010,"[5.0, 3.0, 1.0, 5.0, 7.0, 5.0, 4.0, 2.0]","[3.0, 1.0, 5.0, 7.0, 5.0, 4.0, 2.0, 7.0]","[2.0, 2.0, 4.0, 2.0, 2.0, 1.0, 2.0, 5.0]",['Great survey! Everyting was clear and easy to understand.'],213.8065,"['E_C', 'E_F', 'W_C', 'W_F']","[3.0, 2.0, 7.0, 5.0]","['low', 'low', 'high', 'high', 'high', 'low', 'low', 'high']","['F', 'C', 'F', 'C', 'F', 'C', 'F', 'C']","['E', 'E', 'W', 'W', 'W', 'E', 'E', 'W']","['low', 'low', 'high', 'high']",10,"['E_F', 'E_C', 'W_F', 'W_C', 'W_F', 'E_C', 'E_F', 'W_C']",1,6.0,5.0,stripes,feet,C,E,W,F,Yes, Curved/Pointy,5.0,Yes,Up/Left,5.0
032,"[5.0, 8.0, 3.0, 5.0, 6.0, 2.0, 7.0, 8.0]","[10.0, 1.0, 6.0, 7.0, 1.0, 6.0, 8.0, 5.0]","[5.0, 7.0, 3.0, 2.0, 5.0, 4.0, 1.0, 3.0]",[],790.03,"['E_F', 'E_C', 'W_F', 'W_C']","[8.0, 7.0, 8.0, 7.0]","['high', 'low', 'low', 'high', 'low', 'low', 'high', 'high']","['F', 'F', 'C', 'C', 'C', 'F', 'F', 'C']","['E', 'W', 'W', 'E', 'W', 'W', 'E', 'E']","['high', 'high', 'low', 'low']",32,"['E_F', 'W_F', 'W_C', 'E_C', 'W_C', 'W_F', 'E_F', 'E_C']",1,4.0,4.0,stripes,feet,F,W,E,C,Yes,Webbed,2.0,Yes,Up/Left,2.0
