participant,task,model_param_score,conditionOrder,irrelevant_dim,wing_high,overfit,intuitive_relevance,intuitive_direction
1,accommodate,3,216,wing,N,1,0,0
2,accommodate,2,31,tail,N,0,1,0
3,accommodate,1,142,wing,T,0,0,1
4,accommodate,1,18,wing,T,0,0,1
5,accommodate,3,62,wing,N,1,0,0
6,accommodate,2,152,wing,N,0,0,0
7,accommodate,2,21,color,T,0,1,1
8,accommodate,0,30,wing,T,0,0,1
9,accommodate,2,93,color,T,0,1,1
10,accommodate,3,90,wing,T,1,0,1
11,accommodate,2,133,color,T,0,1,1
12,accommodate,3,162,wing,T,1,0,1
13,accommodate,2,169,color,T,0,1,1
14,accommodate,1,191,tail,N,0,1,0
15,accommodate,2,127,tail,N,0,1,0
16,accommodate,2,6,wing,T,0,0,1
17,accommodate,3,201,color,T,1,1,1
18,accommodate,2,219,tail,N,0,1,0
19,accommodate,3,16,wing,T,1,0,1
20,accommodate,3,132,wing,T,1,0,1
21,accommodate,3,135,tail,N,1,1,0
22,accommodate,2,153,color,T,0,1,1
23,accommodate,3,119,tail,N,1,1,0
24,accommodate,1,12,wing,N,0,0,0
25,accommodate,0,167,tail,N,0,1,0
26,accommodate,2,159,tail,N,0,1,0
27,accommodate,3,146,wing,N,1,0,0
28,accommodate,3,150,wing,T,1,0,1
29,accommodate,2,140,wing,T,0,0,1
30,accommodate,2,24,wing,T,0,0,1
31,accommodate,2,61,color,T,0,1,1
32,accommodate,2,64,wing,N,0,0,0
33,accommodate,3,83,tail,N,1,1,0
34,accommodate,3,38,wing,N,1,0,0
35,accommodate,2,97,color,T,0,1,1
36,accommodate,0,164,wing,N,0,0,0
37,accommodate,2,131,tail,N,0,1,0
38,accommodate,3,78,wing,T,1,0,1
39,accommodate,3,180,wing,T,1,0,1
40,accommodate,3,156,wing,T,1,0,1
41,accommodate,2,19,tail,N,0,1,0
42,accommodate,3,107,tail,N,1,1,0
43,accommodate,2,99,tail,N,0,1,0
44,accommodate,1,202,wing,N,0,0,0
45,accommodate,2,185,color,T,0,1,1
46,accommodate,1,58,wing,T,0,0,1
47,accommodate,3,60,wing,T,1,0,1
48,accommodate,3,109,color,T,1,1,1
49,accommodate,3,160,wing,N,1,0,0
50,accommodate,3,17,color,T,1,1,1
51,accommodate,3,34,wing,T,1,0,1
52,accommodate,2,102,wing,T,0,0,1
53,accommodate,2,192,wing,N,0,0,0
54,accommodate,1,26,wing,N,0,0,0
55,accommodate,2,203,tail,N,0,1,0
56,accommodate,3,57,color,T,1,1,1
57,accommodate,3,200,wing,N,1,0,0
58,accommodate,3,11,tail,N,1,1,0
59,accommodate,2,176,wing,N,0,0,0
60,accommodate,3,104,wing,T,1,0,1
61,accommodate,2,32,wing,N,0,0,0
62,accommodate,3,177,color,T,1,1,1
63,accommodate,3,28,wing,T,1,0,1
64,accommodate,2,29,color,T,0,1,1
65,accommodate,3,15,tail,N,1,1,0
66,accommodate,2,189,color,T,0,1,1
67,accommodate,0,179,tail,N,0,1,0
68,accommodate,3,82,wing,N,1,0,0
69,accommodate,2,130,wing,T,0,0,1
70,accommodate,1,214,wing,N,0,0,0
71,accommodate,3,117,color,T,1,1,1
72,accommodate,2,196,wing,N,0,0,0
73,accommodate,2,52,wing,T,0,0,1
74,accommodate,3,73,color,T,1,1,1
75,accommodate,3,42,wing,N,1,0,0
76,accommodate,2,155,tail,N,0,1,0
77,accommodate,3,205,color,T,1,1,1
78,accommodate,3,103,tail,N,1,1,0
79,accommodate,3,89,color,T,1,1,1
80,accommodate,2,59,tail,N,0,1,0
81,accommodate,1,51,tail,N,0,1,0
82,accommodate,3,141,color,T,1,1,1
83,accommodate,1,37,color,T,0,1,1
84,accommodate,3,124,wing,N,1,0,0
85,accommodate,3,157,color,T,1,1,1
86,accommodate,3,154,wing,T,1,0,1
87,accommodate,2,170,wing,N,0,0,0
88,accommodate,0,66,wing,N,0,0,0
89,accommodate,1,79,tail,N,0,1,0
90,accommodate,3,96,wing,N,1,0,0
91,accommodate,1,77,color,T,0,1,1
92,accommodate,3,100,wing,T,1,0,1
93,accommodate,1,4,wing,T,0,0,1
94,accommodate,2,209,color,T,0,1,1
95,accommodate,3,75,tail,N,1,1,0
96,accommodate,2,95,tail,N,0,1,0
97,accommodate,2,198,wing,N,0,0,0
98,accommodate,2,126,wing,T,0,0,1
99,accommodate,3,120,wing,N,1,0,0
100,accommodate,1,46,wing,T,0,0,1
101,accommodate,1,114,wing,T,0,0,1
102,accommodate,2,143,tail,N,0,1,0
103,accommodate,3,14,wing,N,1,0,0
104,accommodate,2,206,wing,N,0,0,0
105,accommodate,3,39,tail,N,1,1,0
106,accommodate,3,63,tail,N,1,1,0
107,accommodate,2,56,wing,T,0,0,1
108,accommodate,3,105,color,T,1,1,1
109,accommodate,1,218,wing,T,0,0,1
110,accommodate,0,151,tail,N,0,1,0
111,accommodate,2,71,tail,N,0,1,0
112,accommodate,2,181,color,T,0,1,1
113,accommodate,0,48,wing,T,0,0,1
114,accommodate,3,106,wing,N,1,0,0
115,accommodate,2,111,tail,N,0,1,0
116,accommodate,2,193,color,T,0,1,1
117,accommodate,2,81,color,T,0,1,1
118,accommodate,3,92,wing,N,1,0,0
119,accommodate,3,54,wing,N,1,0,0
120,accommodate,1,40,wing,N,0,0,0
121,accommodate,2,145,color,T,0,1,1
122,accommodate,1,3,tail,N,0,1,0
123,accommodate,2,123,tail,N,0,1,0
124,accommodate,3,7,tail,N,1,1,0
125,accommodate,3,74,wing,T,1,0,1
126,accommodate,1,165,color,T,0,1,1
127,accommodate,2,183,tail,N,0,1,0
128,accommodate,0,27,tail,N,0,1,0
129,accommodate,2,112,wing,T,0,0,1
130,accommodate,2,91,tail,N,0,1,0
131,accommodate,1,84,wing,T,0,0,1
132,accommodate,2,208,wing,T,0,0,1
133,accommodate,0,187,tail,N,0,1,0
134,accommodate,2,25,color,T,0,1,1
135,accommodate,1,43,tail,N,0,1,0
136,accommodate,3,136,wing,T,1,0,1
137,accommodate,3,98,wing,N,1,0,0
138,accommodate,3,197,color,T,1,1,1
139,accommodate,3,129,color,T,1,1,1
140,accommodate,3,204,wing,T,1,0,1
141,accommodate,1,85,color,T,0,1,1
142,accommodate,3,1,color,T,1,1,1
143,accommodate,2,195,tail,N,0,1,0
144,accommodate,3,53,color,T,1,1,1
145,accommodate,1,184,wing,T,0,0,1
146,accommodate,3,199,tail,N,1,1,0
147,accommodate,3,158,wing,N,1,0,0
